run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,forward-churn,256,whitefoot,8,128,1,211000,15358196597833798381,1,2072,2072
0,normal,0,8,forward-churn,256,loop-c,8,128,1,43000,15358196597833798381,1,2072,2072
0,normal,0,8,forward-churn,256,whitefoot,9,128,1,97000,1967076800236437742,1,2072,2072
0,normal,0,8,forward-churn,256,loop-c,9,128,1,42000,1967076800236437742,1,2072,2072
0,normal,0,8,forward-churn,256,bulk-c,9,128,1,42000,1967076800236437742,1,2072,2072
0,normal,0,8,forward-churn,256,loop-c,10,128,1,42000,7022701076348628719,1,2072,2072
0,normal,0,8,forward-churn,256,bulk-c,10,128,1,44000,7022701076348628719,1,2072,2072
0,normal,0,8,forward-churn,256,whitefoot,10,128,1,114000,7022701076348628719,1,2072,2072
0,normal,0,8,forward-churn,4096,whitefoot,0,8,1,132000,12379265751026460773,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,0,8,1,51000,12379265751026460773,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,0,8,1,46000,12379265751026460773,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,1,8,1,48000,13646035695416985702,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,1,8,1,46000,13646035695416985702,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,1,8,1,115000,13646035695416985702,1,32792,32792
0,normal,0,8,forward-churn,4096,bulk-c,2,8,1,49000,14912805639807510631,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,2,8,1,105000,14912805639807510631,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,2,8,1,47000,14912805639807510631,1,32792,32792
0,normal,0,8,forward-churn,4096,whitefoot,3,8,1,106000,16179575584198035560,1,32792,32792
0,normal,0,8,forward-churn,4096,loop-c,3,8,1,46000,16179575584198035560,1,32792,32792
