comparison,workload,revision,round,warmup,wall_ms,peak_rss_bytes,source_bytes
unseeded-union,grayscale,1b916975,2,false,24.314,12402688,3774
unseeded-union,grayscale,16fed4e5,2,false,24.129,12500992,3774
unseeded-union,grayscale,16fed4e5,3,false,24.264,12468224,3774
unseeded-union,grayscale,1b916975,3,false,25.071,12566528,3774
unseeded-union,grayscale,1b916975,4,false,25.214,12320768,3774
unseeded-union,grayscale,16fed4e5,4,false,25.486,12419072,3774
unseeded-union,grayscale,16fed4e5,5,false,24.530,12386304,3774
unseeded-union,grayscale,1b916975,5,false,24.826,12533760,3774
unseeded-union,telemetry,1b916975,0,true,27.455,13172736,4901
unseeded-union,telemetry,16fed4e5,0,true,27.839,13254656,4901
unseeded-union,telemetry,16fed4e5,1,false,28.952,13385728,4901
unseeded-union,telemetry,1b916975,1,false,28.063,13910016,4901
unseeded-union,telemetry,1b916975,2,false,27.336,13123584,4901
unseeded-union,telemetry,16fed4e5,2,false,27.265,13221888,4901
unseeded-union,telemetry,16fed4e5,3,false,27.204,13287424,4901
unseeded-union,telemetry,1b916975,3,false,27.268,13205504,4901
unseeded-union,telemetry,1b916975,4,false,27.293,13025280,4901
unseeded-union,telemetry,16fed4e5,4,false,27.350,13254656,4901
unseeded-union,telemetry,16fed4e5,5,false,27.613,13287424,4901
unseeded-union,telemetry,1b916975,5,false,27.132,13058048,4901
unseeded-union,prefix-expression,1b916975,0,true,24.353,11649024,4391
unseeded-union,prefix-expression,16fed4e5,0,true,23.718,11698176,4391
unseeded-union,prefix-expression,16fed4e5,1,false,23.646,11862016,4391
unseeded-union,prefix-expression,1b916975,1,false,24.388,11649024,4391
unseeded-union,prefix-expression,1b916975,2,false,23.305,11730944,4391
unseeded-union,prefix-expression,16fed4e5,2,false,23.651,11911168,4391
unseeded-union,prefix-expression,16fed4e5,3,false,23.468,11698176,4391
unseeded-union,prefix-expression,1b916975,3,false,23.457,11632640,4391
