comparison	arm	workers	pass	words	rows	sample	wall_ns	cpu_ns	grants
matched	baseline	1	3	17	2	5	1000	1000	0
matched	candidate	1	3	17	2	0	1000	3000	0
matched	candidate	1	3	17	2	1	0	2000	0
matched	candidate	1	3	17	2	2	0	2000	0
matched	candidate	1	3	17	2	3	0	1000	0
matched	candidate	1	3	17	2	4	0	1000	0
matched	candidate	1	3	17	2	5	1000	1000	0
matched	baseline	4	3	17	2	0	1000	2000	0
matched	baseline	4	3	17	2	1	0	2000	0
matched	baseline	4	3	17	2	2	0	2000	0
matched	baseline	4	3	17	2	3	0	1000	0
matched	baseline	4	3	17	2	4	0	1000	0
matched	baseline	4	3	17	2	5	0	1000	0
matched	candidate	4	3	17	2	0	1000	5000	0
matched	candidate	4	3	17	2	1	0	3000	0
matched	candidate	4	3	17	2	2	0	2000	0
matched	candidate	4	3	17	2	3	0	1000	0
matched	candidate	4	3	17	2	4	0	1000	0
matched	candidate	4	3	17	2	5	0	1000	0
matched	baseline	1	3	16384	512	0	10682000	10679000	0
matched	baseline	1	3	16384	512	1	10549000	10549000	0
matched	baseline	1	3	16384	512	2	10467000	10469000	0
matched	baseline	1	3	16384	512	3	10451000	10452000	0
matched	baseline	1	3	16384	512	4	10537000	10510000	0
matched	baseline	1	3	16384	512	5	10419000	10419000	0
matched	candidate	1	3	16384	512	0	10543000	10507000	0
matched	candidate	1	3	16384	512	1	10466000	10466000	0
matched	candidate	1	3	16384	512	2	10544000	10534000	0
matched	candidate	1	3	16384	512	3	10994000	10960000	0
matched	candidate	1	3	16384	512	4	10987000	10975000	0
matched	candidate	1	3	16384	512	5	10526000	10516000	0
matched	baseline	2	3	16384	512	0	10654000	10658000	0
matched	baseline	2	3	16384	512	1	10408000	10410000	0
matched	baseline	2	3	16384	512	2	10523000	10487000	0
matched	baseline	2	3	16384	512	3	10607000	10569000	0
matched	baseline	2	3	16384	512	4	10438000	10430000	0
matched	baseline	2	3	16384	512	5	10467000	10464000	0
matched	candidate	2	3	16384	512	0	5406000	10751000	1
matched	candidate	2	3	16384	512	1	5403000	10743000	1
matched	candidate	2	3	16384	512	2	5416000	9252000	1
matched	candidate	2	3	16384	512	3	5272000	10495000	1
matched	candidate	2	3	16384	512	4	5403000	10789000	1
matched	candidate	2	3	16384	512	5	5396000	6836000	1
matched	candidate	8	4	16384	512	0	1905000	12819000	23
matched	candidate	8	4	16384	512	1	1713000	12356000	28
matched	candidate	8	4	16384	512	2	1891000	11867000	31
matched	candidate	8	4	16384	512	3	1638000	12452000	28
matched	candidate	8	4	16384	512	4	1794000	11991000	35
matched	candidate	8	4	16384	512	5	1767000	11788000	30
matched	baseline	8	4	16384	512	0	10581000	10565000	0
matched	baseline	8	4	16384	512	1	10424000	10416000	0
matched	baseline	8	4	16384	512	2	10487000	10484000	0
matched	baseline	8	4	16384	512	3	10508000	10457000	0
matched	baseline	8	4	16384	512	4	10415000	10416000	0
matched	baseline	8	4	16384	512	5	10425000	10428000	0
matched	candidate	1	4	17	2	0	0	5000	0
matched	candidate	1	4	17	2	1	0	1000	0
matched	candidate	1	4	17	2	2	0	1000	0
matched	candidate	1	4	17	2	3	0	1000	0
matched	candidate	1	4	17	2	4	0	1000	0
matched	candidate	1	4	17	2	5	0	2000	0
matched	baseline	1	4	17	2	0	0	5000	0
matched	baseline	1	4	17	2	1	0	1000	0
matched	baseline	1	4	17	2	2	0	2000	0
matched	baseline	1	4	17	2	3	0	1000	0
matched	baseline	1	4	17	2	4	0	1000	0
matched	baseline	1	4	17	2	5	0	1000	0
matched	candidate	4	4	17	2	0	0	4000	0
matched	candidate	4	4	17	2	1	0	1000	0
matched	candidate	4	4	17	2	2	0	1000	0
matched	candidate	4	4	17	2	3	0	1000	0
matched	candidate	4	4	17	2	4	0	1000	0
matched	candidate	4	4	17	2	5	0	1000	0
matched	baseline	4	4	17	2	0	1000	4000	0
matched	baseline	4	4	17	2	1	0	2000	0
matched	baseline	4	4	17	2	2	0	1000	0
matched	baseline	4	4	17	2	3	0	2000	0
matched	baseline	4	4	17	2	4	0	2000	0
matched	baseline	4	4	17	2	5	0	1000	0
matched	candidate	1	4	16384	512	0	10456000	10437000	0
matched	candidate	1	4	16384	512	1	10434000	10426000	0
matched	candidate	1	4	16384	512	2	10458000	10460000	0
matched	candidate	1	4	16384	512	3	10495000	10469000	0
matched	candidate	1	4	16384	512	4	10469000	10460000	0
matched	candidate	1	4	16384	512	5	10431000	10406000	0
matched	baseline	1	4	16384	512	0	10519000	10493000	0
matched	baseline	1	4	16384	512	1	10672000	10673000	0
matched	baseline	1	4	16384	512	2	10816000	10795000	0
matched	baseline	1	4	16384	512	3	10640000	10601000	0
matched	baseline	1	4	16384	512	4	10725000	10723000	0
matched	baseline	1	4	16384	512	5	10744000	10643000	0
matched	candidate	2	4	16384	512	0	5411000	10791000	1
matched	candidate	2	4	16384	512	1	5390000	9945000	1
matched	candidate	2	4	16384	512	2	5388000	10769000	1
matched	candidate	2	4	16384	512	3	5332000	10585000	1
matched	candidate	2	4	16384	512	4	5434000	10793000	1
matched	candidate	2	4	16384	512	5	5486000	10827000	1
matched	baseline	2	4	16384	512	0	10577000	10572000	0
matched	baseline	2	4	16384	512	1	10448000	10449000	0
matched	baseline	2	4	16384	512	2	10434000	10435000	0
matched	baseline	2	4	16384	512	3	10695000	10666000	0
matched	baseline	2	4	16384	512	4	10505000	10486000	0
matched	baseline	2	4	16384	512	5	10419000	10419000	0
matched	candidate	4	4	16384	512	0	2868000	11099000	3
matched	candidate	4	4	16384	512	1	2828000	11035000	5
matched	candidate	4	4	16384	512	2	2821000	10988000	6
matched	candidate	4	4	16384	512	3	2807000	10972000	4
matched	candidate	4	4	16384	512	4	2833000	11032000	3
matched	candidate	4	4	16384	512	5	2760000	10196000	18
matched	baseline	4	4	16384	512	0	10404000	10407000	0
matched	baseline	4	4	16384	512	1	10420000	10421000	0
matched	baseline	4	4	16384	512	2	10484000	10453000	0
matched	baseline	4	4	16384	512	3	10449000	10440000	0
matched	baseline	4	4	16384	512	4	10411000	10416000	0
matched	baseline	4	4	16384	512	5	10478000	10467000	0
matched	baseline	1	5	17	2	0	1000	6000	0
matched	baseline	1	5	17	2	1	1000	1000	0
matched	baseline	1	5	17	2	2	0	1000	0
matched	baseline	1	5	17	2	3	0	1000	0
matched	baseline	1	5	17	2	4	0	2000	0
matched	baseline	1	5	17	2	5	0	1000	0
matched	candidate	1	5	17	2	0	0	2000	0
matched	candidate	1	5	17	2	1	1000	2000	0
matched	candidate	1	5	17	2	2	0	2000	0
matched	candidate	1	5	17	2	3	0	1000	0
matched	candidate	1	5	17	2	4	0	2000	0
matched	candidate	1	5	17	2	5	0	1000	0
matched	baseline	4	5	17	2	0	0	6000	0
matched	baseline	4	5	17	2	1	1000	1000	0
matched	baseline	4	5	17	2	2	0	2000	0
matched	baseline	4	5	17	2	3	0	1000	0
matched	baseline	4	5	17	2	4	0	1000	0
matched	baseline	4	5	17	2	5	0	1000	0
matched	candidate	4	5	17	2	0	0	4000	0
matched	candidate	4	5	17	2	1	0	2000	0
matched	candidate	4	5	17	2	2	0	2000	0
matched	candidate	4	5	17	2	3	0	2000	0
matched	candidate	4	5	17	2	4	0	2000	0
matched	candidate	4	5	17	2	5	0	1000	0
matched	baseline	1	5	16384	512	0	10414000	10417000	0
matched	baseline	1	5	16384	512	1	10413000	10415000	0
matched	baseline	1	5	16384	512	2	10631000	10616000	0
matched	baseline	1	5	16384	512	3	10618000	10584000	0
matched	baseline	1	5	16384	512	4	10557000	10550000	0
matched	baseline	1	5	16384	512	5	10645000	10584000	0
matched	candidate	1	5	16384	512	0	10767000	10728000	0
matched	candidate	1	5	16384	512	1	10645000	10621000	0
matched	candidate	1	5	16384	512	2	10491000	10462000	0
matched	candidate	1	5	16384	512	3	10548000	10490000	0
matched	candidate	1	5	16384	512	4	10516000	10489000	0
matched	candidate	1	5	16384	512	5	10627000	10589000	0
matched	baseline	2	5	16384	512	0	10623000	10618000	0
matched	baseline	2	5	16384	512	1	10629000	10609000	0
matched	baseline	2	5	16384	512	2	10554000	10518000	0
matched	baseline	2	5	16384	512	3	10735000	10697000	0
matched	baseline	2	5	16384	512	4	10696000	10640000	0
matched	baseline	2	5	16384	512	5	10574000	10554000	0
matched	candidate	2	5	16384	512	0	5319000	10527000	1
matched	candidate	2	5	16384	512	1	5584000	10799000	1
matched	candidate	2	5	16384	512	2	5499000	10866000	1
matched	candidate	2	5	16384	512	3	5745000	11013000	1
matched	candidate	2	5	16384	512	4	5609000	11041000	1
matched	candidate	2	5	16384	512	5	5573000	10966000	1
matched	baseline	4	5	16384	512	0	10987000	10956000	0
matched	baseline	4	5	16384	512	1	10728000	10676000	0
matched	baseline	4	5	16384	512	2	10765000	10736000	0
matched	baseline	4	5	16384	512	3	10560000	10547000	0
matched	baseline	4	5	16384	512	4	10529000	10510000	0
matched	baseline	4	5	16384	512	5	10523000	10506000	0
matched	candidate	4	5	16384	512	0	3018000	11236000	4
matched	candidate	4	5	16384	512	1	2778000	10909000	10
matched	candidate	4	5	16384	512	2	2977000	11122000	16
matched	candidate	4	5	16384	512	3	3000000	11273000	4
matched	candidate	4	5	16384	512	4	2843000	11014000	6
matched	candidate	4	5	16384	512	5	2792000	8218000	5
matched	baseline	8	5	16384	512	0	10433000	10424000	0
matched	baseline	8	5	16384	512	1	10544000	10502000	0
matched	baseline	8	5	16384	512	2	10761000	10743000	0
matched	baseline	8	5	16384	512	3	10515000	10461000	0
matched	baseline	8	5	16384	512	4	10423000	10425000	0
matched	baseline	8	5	16384	512	5	10618000	10588000	0
matched	candidate	8	5	16384	512	0	2054000	12841000	34
matched	candidate	8	5	16384	512	1	1862000	12890000	38
matched	candidate	8	5	16384	512	2	1608000	8184000	17
matched	candidate	8	5	16384	512	3	1806000	14387000	35
matched	candidate	8	5	16384	512	4	2461000	12356000	28
matched	candidate	8	5	16384	512	5	2027000	12976000	33
