comparison	arm	workers	pass	words	rows	sample	wall_ns	cpu_ns	grants
null	baseline	8	2	16384	512	3	1876000	12220000	32
null	baseline	8	2	16384	512	4	1914000	12176000	32
null	baseline	8	2	16384	512	5	2086000	12812000	22
null	candidate	1	2	17	2	0	0	3000	0
null	candidate	1	2	17	2	1	0	3000	0
null	candidate	1	2	17	2	2	1000	2000	0
null	candidate	1	2	17	2	3	0	2000	0
null	candidate	1	2	17	2	4	0	1000	0
null	candidate	1	2	17	2	5	0	1000	0
null	baseline	1	2	17	2	0	0	4000	0
null	baseline	1	2	17	2	1	0	1000	0
null	baseline	1	2	17	2	2	0	1000	0
null	baseline	1	2	17	2	3	0	1000	0
null	baseline	1	2	17	2	4	0	1000	0
null	baseline	1	2	17	2	5	1000	1000	0
null	candidate	4	2	17	2	0	1000	7000	0
null	candidate	4	2	17	2	1	0	2000	0
null	candidate	4	2	17	2	2	0	1000	0
null	candidate	4	2	17	2	3	0	3000	0
null	candidate	4	2	17	2	4	0	1000	0
null	candidate	4	2	17	2	5	0	1000	0
null	baseline	4	2	17	2	0	1000	5000	0
null	baseline	4	2	17	2	1	0	2000	0
null	baseline	4	2	17	2	2	0	1000	0
null	baseline	4	2	17	2	3	0	1000	0
null	baseline	4	2	17	2	4	0	1000	0
null	baseline	4	2	17	2	5	0	1000	0
null	candidate	1	2	16384	512	0	10576000	10548000	0
null	candidate	1	2	16384	512	1	10629000	10599000	0
null	candidate	1	2	16384	512	2	10642000	10557000	0
null	candidate	1	2	16384	512	3	10462000	10434000	0
null	candidate	1	2	16384	512	4	10633000	10607000	0
null	candidate	1	2	16384	512	5	10670000	10565000	0
null	baseline	1	2	16384	512	0	10581000	10554000	0
null	baseline	1	2	16384	512	1	10610000	10588000	0
null	baseline	1	2	16384	512	2	10699000	10664000	0
null	baseline	1	2	16384	512	3	10395000	10387000	0
null	baseline	1	2	16384	512	4	10549000	10505000	0
null	baseline	1	2	16384	512	5	10523000	10489000	0
null	baseline	4	3	16384	512	0	2979000	11089000	3
null	baseline	4	3	16384	512	1	2998000	11168000	6
null	baseline	4	3	16384	512	2	2772000	5582000	6
null	baseline	4	3	16384	512	3	2774000	10883000	3
null	baseline	4	3	16384	512	4	2955000	11216000	12
null	baseline	4	3	16384	512	5	2887000	11027000	3
null	candidate	4	3	16384	512	0	2831000	5466000	3
null	candidate	4	3	16384	512	1	2803000	8207000	4
null	candidate	4	3	16384	512	2	3060000	11595000	12
null	candidate	4	3	16384	512	3	2809000	11014000	3
null	candidate	4	3	16384	512	4	2842000	11008000	3
null	candidate	4	3	16384	512	5	2997000	11374000	6
null	baseline	8	3	16384	512	0	1874000	12916000	31
null	baseline	8	3	16384	512	1	1764000	12549000	36
null	baseline	8	3	16384	512	2	1777000	12536000	35
null	baseline	8	3	16384	512	3	1615000	12464000	29
null	baseline	8	3	16384	512	4	1807000	12370000	33
null	baseline	8	3	16384	512	5	2072000	12395000	29
null	candidate	8	3	16384	512	0	1897000	12636000	39
null	candidate	8	3	16384	512	1	1613000	12446000	29
null	candidate	8	3	16384	512	2	1664000	12372000	30
null	candidate	8	3	16384	512	3	1569000	4179000	41
null	candidate	8	3	16384	512	4	1595000	17018000	32
null	candidate	8	3	16384	512	5	1795000	15450000	26
null	baseline	1	3	17	2	0	0	3000	0
null	baseline	1	3	17	2	1	0	1000	0
null	baseline	1	3	17	2	2	0	1000	0
null	baseline	1	3	17	2	3	0	1000	0
null	baseline	1	3	17	2	4	0	2000	0
null	baseline	1	3	17	2	5	0	1000	0
null	candidate	1	3	17	2	0	0	3000	0
null	candidate	1	3	17	2	1	0	2000	0
null	candidate	1	3	17	2	2	0	2000	0
null	candidate	1	3	17	2	3	0	1000	0
null	candidate	1	3	17	2	4	0	1000	0
null	candidate	1	3	17	2	5	0	1000	0
null	baseline	4	3	17	2	0	1000	2000	0
null	baseline	4	3	17	2	1	0	1000	0
null	baseline	4	3	17	2	2	0	1000	0
null	baseline	4	3	17	2	3	0	1000	0
null	baseline	4	3	17	2	4	0	2000	0
null	baseline	4	3	17	2	5	0	1000	0
null	candidate	4	3	17	2	0	0	3000	0
null	candidate	4	3	17	2	1	0	1000	0
null	candidate	4	3	17	2	2	0	1000	0
null	candidate	4	3	17	2	3	0	1000	0
null	candidate	4	3	17	2	4	0	2000	0
null	candidate	4	3	17	2	5	0	1000	0
null	baseline	1	3	16384	512	0	10416000	10421000	0
null	baseline	1	3	16384	512	1	10395000	10396000	0
null	baseline	1	3	16384	512	2	10396000	10397000	0
null	baseline	1	3	16384	512	3	10665000	10640000	0
null	baseline	1	3	16384	512	4	10828000	10814000	0
null	baseline	1	3	16384	512	5	10510000	10473000	0
null	candidate	1	3	16384	512	0	10621000	10598000	0
null	candidate	1	3	16384	512	1	10453000	10453000	0
null	candidate	1	3	16384	512	2	10481000	10464000	0
null	candidate	1	3	16384	512	3	10433000	10426000	0
null	candidate	1	3	16384	512	4	10399000	10398000	0
null	candidate	1	3	16384	512	5	10818000	10806000	0
null	baseline	2	3	16384	512	0	5442000	10828000	1
null	baseline	2	3	16384	512	1	5363000	5364000	1
null	baseline	2	3	16384	512	2	5473000	10847000	1
null	baseline	2	3	16384	512	3	5493000	10917000	1
null	baseline	2	3	16384	512	4	5394000	10669000	1
null	baseline	2	3	16384	512	5	5447000	10820000	1
null	candidate	2	3	16384	512	0	5511000	10893000	1
null	candidate	2	3	16384	512	1	5445000	10849000	1
null	candidate	2	3	16384	512	2	5419000	10780000	1
null	candidate	2	3	16384	512	3	5422000	10778000	1
null	candidate	2	3	16384	512	4	5410000	10814000	1
null	candidate	2	3	16384	512	5	5648000	10913000	1
null	candidate	8	4	16384	512	0	1794000	13096000	36
null	candidate	8	4	16384	512	1	1619000	12516000	43
null	candidate	8	4	16384	512	2	1648000	12626000	27
null	candidate	8	4	16384	512	3	1646000	12499000	36
null	candidate	8	4	16384	512	4	1838000	12447000	31
null	candidate	8	4	16384	512	5	1904000	11794000	26
null	baseline	8	4	16384	512	0	1817000	12761000	31
null	baseline	8	4	16384	512	1	1770000	13155000	46
null	baseline	8	4	16384	512	2	1708000	12501000	29
null	baseline	8	4	16384	512	3	1676000	12056000	31
null	baseline	8	4	16384	512	4	1579000	9298000	24
null	baseline	8	4	16384	512	5	1909000	15441000	38
null	candidate	1	4	17	2	0	0	4000	0
null	candidate	1	4	17	2	1	0	1000	0
null	candidate	1	4	17	2	2	0	1000	0
null	candidate	1	4	17	2	3	0	2000	0
null	candidate	1	4	17	2	4	0	1000	0
null	candidate	1	4	17	2	5	0	1000	0
null	baseline	1	4	17	2	0	0	3000	0
null	baseline	1	4	17	2	1	0	1000	0
null	baseline	1	4	17	2	2	1000	1000	0
null	baseline	1	4	17	2	3	0	1000	0
null	baseline	1	4	17	2	4	0	1000	0
null	baseline	1	4	17	2	5	1000	2000	0
null	candidate	4	4	17	2	0	0	2000	0
null	candidate	4	4	17	2	1	0	1000	0
null	candidate	4	4	17	2	2	0	1000	0
null	candidate	4	4	17	2	3	0	1000	0
null	candidate	4	4	17	2	4	0	2000	0
null	candidate	4	4	17	2	5	0	1000	0
