cohort,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,normal,interleaved,insert,256,9,64,8192,23208,0,5992509345126799584,8256,11264
0,normal,split,insert,256,9,64,8192,23414,0,5992509345126799584,8256,9472
0,normal,whitefoot,insert,256,10,64,8192,27001,0,18073023074693822304,8256,13312
0,normal,interleaved,insert,256,10,64,8192,23333,0,18073023074693822304,8256,11264
0,normal,split,insert,256,10,64,8192,23207,0,18073023074693822304,8256,9472
0,normal,whitefoot,insert,256,11,64,8192,27040,0,4901604239908314144,8256,13312
0,normal,interleaved,insert,256,11,64,8192,23498,0,4901604239908314144,8256,11264
0,normal,split,insert,256,11,64,8192,23459,0,4901604239908314144,8256,9472
0,normal,whitefoot,insert,256,12,64,8192,26999,0,4218347057476397696,8256,13312
0,normal,interleaved,insert,256,12,64,8192,23290,0,4218347057476397696,8256,11264
0,normal,split,insert,256,12,64,8192,23584,0,4218347057476397696,8256,9472
0,normal,whitefoot,insert,256,13,64,8192,27040,0,5237384556868179408,8256,13312
0,normal,interleaved,insert,256,13,64,8192,23291,0,5237384556868179408,8256,11264
0,normal,split,insert,256,13,64,8192,23126,0,5237384556868179408,8256,9472
0,normal,whitefoot,rehash,256,0,64,64,65664,1849948637904797696,5116650466399058720,8320,29696
0,normal,interleaved,rehash,256,0,64,64,48583,1849948637904797696,5116650466399058720,8320,23552
0,normal,split,rehash,256,0,64,64,42582,1849948637904797696,5116650466399058720,8320,18176
0,normal,whitefoot,rehash,256,1,64,64,66082,1849948637904797696,2345175331444990928,8320,29696
0,normal,interleaved,rehash,256,1,64,64,48541,1849948637904797696,2345175331444990928,8320,23552
0,normal,split,rehash,256,1,64,64,42248,1849948637904797696,2345175331444990928,8320,18176
0,normal,whitefoot,rehash,256,2,64,64,65831,1849948637904797696,9167743694309703168,8320,29696
0,normal,interleaved,rehash,256,2,64,64,48500,1849948637904797696,9167743694309703168,8320,23552
0,normal,split,rehash,256,2,64,64,42414,1849948637904797696,9167743694309703168,8320,18176
