cohort,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,normal,interleaved,insert,256,9,64,8192,23459,0,5992509345126799584,8256,11264
0,normal,split,insert,256,9,64,8192,23169,0,5992509345126799584,8256,9472
0,normal,whitefoot,insert,256,10,64,8192,75502,0,18073023074693822304,8256,13312
0,normal,interleaved,insert,256,10,64,8192,23166,0,18073023074693822304,8256,11264
0,normal,split,insert,256,10,64,8192,23334,0,18073023074693822304,8256,9472
0,normal,whitefoot,insert,256,11,64,8192,78624,0,4901604239908314144,8256,13312
0,normal,interleaved,insert,256,11,64,8192,23332,0,4901604239908314144,8256,11264
0,normal,split,insert,256,11,64,8192,23459,0,4901604239908314144,8256,9472
0,normal,whitefoot,insert,256,12,64,8192,78041,0,4218347057476397696,8256,13312
0,normal,interleaved,insert,256,12,64,8192,23250,0,4218347057476397696,8256,11264
0,normal,split,insert,256,12,64,8192,23251,0,4218347057476397696,8256,9472
0,normal,whitefoot,insert,256,13,64,8192,91750,0,5237384556868179408,8256,13312
0,normal,interleaved,insert,256,13,64,8192,23377,0,5237384556868179408,8256,11264
0,normal,split,insert,256,13,64,8192,23294,0,5237384556868179408,8256,9472
0,normal,whitefoot,rehash,256,0,64,64,61828,1849948637904797696,5116650466399058720,8320,29696
0,normal,interleaved,rehash,256,0,64,64,48879,1849948637904797696,5116650466399058720,8320,23552
0,normal,split,rehash,256,0,64,64,47832,1849948637904797696,5116650466399058720,8320,18176
0,normal,whitefoot,rehash,256,1,64,64,61712,1849948637904797696,2345175331444990928,8320,29696
0,normal,interleaved,rehash,256,1,64,64,48625,1849948637904797696,2345175331444990928,8320,23552
0,normal,split,rehash,256,1,64,64,46331,1849948637904797696,2345175331444990928,8320,18176
0,normal,whitefoot,rehash,256,2,64,64,61706,1849948637904797696,9167743694309703168,8320,29696
0,normal,interleaved,rehash,256,2,64,64,48626,1849948637904797696,9167743694309703168,8320,23552
0,normal,split,rehash,256,2,64,64,46463,1849948637904797696,9167743694309703168,8320,18176
0,normal,whitefoot,rehash,256,3,64,64,61415,1849948637904797696,2261161121994670040,8320,29696
0,normal,interleaved,rehash,256,3,64,64,49457,1849948637904797696,2261161121994670040,8320,23552
0,normal,split,rehash,256,3,64,64,46162,1849948637904797696,2261161121994670040,8320,18176
0,normal,whitefoot,rehash,256,4,64,64,61456,1849948637904797696,5701732356075431008,8320,29696
0,normal,interleaved,rehash,256,4,64,64,48998,1849948637904797696,5701732356075431008,8320,23552
0,normal,split,rehash,256,4,64,64,46254,1849948637904797696,5701732356075431008,8320,18176
0,normal,whitefoot,rehash,256,5,64,64,61290,1849948637904797696,6599659187284699208,8320,29696
0,normal,interleaved,rehash,256,5,64,64,48624,1849948637904797696,6599659187284699208,8320,23552
0,normal,split,rehash,256,5,64,64,45878,1849948637904797696,6599659187284699208,8320,18176
0,normal,whitefoot,rehash,256,6,64,64,62040,1849948637904797696,7026256584100517184,8320,29696
0,normal,interleaved,rehash,256,6,64,64,48830,1849948637904797696,7026256584100517184,8320,23552
0,normal,split,rehash,256,6,64,64,46663,1849948637904797696,7026256584100517184,8320,18176
0,normal,whitefoot,rehash,256,7,64,64,61459,1849948637904797696,2398031619502997424,8320,29696
0,normal,interleaved,rehash,256,7,64,64,48957,1849948637904797696,2398031619502997424,8320,23552
0,normal,split,rehash,256,7,64,64,46633,1849948637904797696,2398031619502997424,8320,18176
0,normal,whitefoot,rehash,256,8,64,64,61582,1849948637904797696,2136864517181178400,8320,29696
0,normal,interleaved,rehash,256,8,64,64,48625,1849948637904797696,2136864517181178400,8320,23552
0,normal,split,rehash,256,8,64,64,47169,1849948637904797696,2136864517181178400,8320,18176
0,normal,whitefoot,rehash,256,9,64,64,61575,1849948637904797696,1818022764526631496,8320,29696
0,normal,interleaved,rehash,256,9,64,64,48709,1849948637904797696,1818022764526631496,8320,23552
0,normal,split,rehash,256,9,64,64,47540,1849948637904797696,1818022764526631496,8320,18176
0,normal,whitefoot,rehash,256,10,64,64,61831,1849948637904797696,14795153613927278256,8320,29696
0,normal,interleaved,rehash,256,10,64,64,49584,1849948637904797696,14795153613927278256,8320,23552
0,normal,split,rehash,256,10,64,64,47916,1849948637904797696,14795153613927278256,8320,18176
0,normal,whitefoot,rehash,256,11,64,64,61618,1849948637904797696,1188486088324579704,8320,29696
0,normal,interleaved,rehash,256,11,64,64,48789,1849948637904797696,1188486088324579704,8320,23552
0,normal,split,rehash,256,11,64,64,47335,1849948637904797696,1188486088324579704,8320,18176
0,normal,whitefoot,rehash,256,12,64,64,61369,1849948637904797696,11172147813737468064,8320,29696
0,normal,interleaved,rehash,256,12,64,64,48748,1849948637904797696,11172147813737468064,8320,23552
0,normal,split,rehash,256,12,64,64,47626,1849948637904797696,11172147813737468064,8320,18176
0,normal,whitefoot,rehash,256,13,64,64,61579,1849948637904797696,15843050885541994000,8320,29696
0,normal,interleaved,rehash,256,13,64,64,48960,1849948637904797696,15843050885541994000,8320,23552
0,normal,split,rehash,256,13,64,64,47585,1849948637904797696,15843050885541994000,8320,18176
0,normal,whitefoot,lookup,4096,0,4,262144,648041,9962801879973888,1837996882287840280,8196,212992
0,normal,interleaved,lookup,4096,0,4,262144,706415,9962801879973888,1837996882287840280,8196,180224
0,normal,split,lookup,4096,0,4,262144,714459,9962801879973888,1837996882287840280,8196,151552
0,normal,whitefoot,lookup,4096,1,4,262144,653168,9962801879973888,17130842932224972264,8196,212992
0,normal,interleaved,lookup,4096,1,4,262144,707958,9962801879973888,17130842932224972264,8196,180224
0,normal,split,lookup,4096,1,4,262144,717167,9962801879973888,17130842932224972264,8196,151552
0,normal,whitefoot,lookup,4096,2,4,262144,647958,9962801879973888,7748136960903208664,8196,212992
0,normal,interleaved,lookup,4096,2,4,262144,705251,9962801879973888,7748136960903208664,8196,180224
0,normal,split,lookup,4096,2,4,262144,717125,9962801879973888,7748136960903208664,8196,151552
0,normal,whitefoot,lookup,4096,3,4,262144,646834,9962801879973888,9072104606401219352,8196,212992
0,normal,interleaved,lookup,4096,3,4,262144,703542,9962801879973888,9072104606401219352,8196,180224
0,normal,split,lookup,4096,3,4,262144,717667,9962801879973888,9072104606401219352,8196,151552
0,normal,whitefoot,lookup,4096,4,4,262144,649042,9962801879973888,13239724372104250040,8196,212992
0,normal,interleaved,lookup,4096,4,4,262144,712417,9962801879973888,13239724372104250040,8196,180224
0,normal,split,lookup,4096,4,4,262144,717125,9962801879973888,13239724372104250040,8196,151552
0,normal,whitefoot,lookup,4096,5,4,262144,648875,9962801879973888,3801496594800721496,8196,212992
0,normal,interleaved,lookup,4096,5,4,262144,705917,9962801879973888,3801496594800721496,8196,180224
0,normal,split,lookup,4096,5,4,262144,714625,9962801879973888,3801496594800721496,8196,151552
0,normal,whitefoot,lookup,4096,6,4,262144,651918,9962801879973888,7352625120983369704,8196,212992
0,normal,interleaved,lookup,4096,6,4,262144,710208,9962801879973888,7352625120983369704,8196,180224
0,normal,split,lookup,4096,6,4,262144,714292,9962801879973888,7352625120983369704,8196,151552
0,normal,whitefoot,lookup,4096,7,4,262144,650250,9962801879973888,17960812127515588248,8196,212992
0,normal,interleaved,lookup,4096,7,4,262144,709916,9962801879973888,17960812127515588248,8196,180224
0,normal,split,lookup,4096,7,4,262144,714166,9962801879973888,17960812127515588248,8196,151552
0,normal,whitefoot,lookup,4096,8,4,262144,649417,9962801879973888,2615156060198523864,8196,212992
0,normal,interleaved,lookup,4096,8,4,262144,705292,9962801879973888,2615156060198523864,8196,180224
0,normal,split,lookup,4096,8,4,262144,714250,9962801879973888,2615156060198523864,8196,151552
0,normal,whitefoot,lookup,4096,9,4,262144,647833,9962801879973888,1726498032405399000,8196,212992
0,normal,interleaved,lookup,4096,9,4,262144,703708,9962801879973888,1726498032405399000,8196,180224
0,normal,split,lookup,4096,9,4,262144,714459,9962801879973888,1726498032405399000,8196,151552
0,normal,whitefoot,lookup,4096,10,4,262144,649000,9962801879973888,4534567279263349320,8196,212992
0,normal,interleaved,lookup,4096,10,4,262144,731167,9962801879973888,4534567279263349320,8196,180224
0,normal,split,lookup,4096,10,4,262144,714876,9962801879973888,4534567279263349320,8196,151552
