control,cohort,variant,rounds,sample,calls,elapsed_ns,checksum
boundary,1,c_heap_boundary,16,0,4096,17478000,7666817075468251504
boundary,1,c_heap_boundary,16,1,4096,17527000,7666817075468251504
boundary,1,whitefoot,16,1,4096,17171000,7666817075468251504
boundary,1,whitefoot,16,2,4096,17160000,7666817075468251504
boundary,1,c_heap_boundary,16,2,4096,17490000,7666817075468251504
boundary,1,c_heap_boundary,16,3,4096,17498000,7666817075468251504
boundary,1,whitefoot,16,3,4096,17202000,7666817075468251504
boundary,1,whitefoot,16,4,4096,17200000,7666817075468251504
boundary,1,c_heap_boundary,16,4,4096,17512000,7666817075468251504
boundary,1,c_heap_boundary,16,5,4096,17545000,7666817075468251504
boundary,1,whitefoot,16,5,4096,17240000,7666817075468251504
boundary,1,whitefoot,16,6,4096,17205000,7666817075468251504
boundary,1,c_heap_boundary,16,6,4096,17523000,7666817075468251504
both_retained,0,whitefoot,1,0,4096,1108000,8241301767429094575
both_retained,0,c_heap_boundary,1,0,4096,1108000,8241301767429094575
both_retained,0,c_heap_boundary,1,1,4096,1096000,8241301767429094575
both_retained,0,whitefoot,1,1,4096,1095000,8241301767429094575
both_retained,0,whitefoot,1,2,4096,1080000,8241301767429094575
both_retained,0,c_heap_boundary,1,2,4096,1103000,8241301767429094575
both_retained,0,c_heap_boundary,1,3,4096,1091000,8241301767429094575
both_retained,0,whitefoot,1,3,4096,1097000,8241301767429094575
both_retained,0,whitefoot,1,4,4096,1094000,8241301767429094575
both_retained,0,c_heap_boundary,1,4,4096,1105000,8241301767429094575
both_retained,0,c_heap_boundary,1,5,4096,1086000,8241301767429094575
both_retained,0,whitefoot,1,5,4096,1093000,8241301767429094575
both_retained,0,whitefoot,1,6,4096,1078000,8241301767429094575
both_retained,0,c_heap_boundary,1,6,4096,1106000,8241301767429094575
both_retained,0,whitefoot,16,0,4096,17378000,7666817075468251504
both_retained,0,c_heap_boundary,16,0,4096,17576000,7666817075468251504
both_retained,0,c_heap_boundary,16,1,4096,17511000,7666817075468251504
both_retained,0,whitefoot,16,1,4096,17405000,7666817075468251504
both_retained,0,whitefoot,16,2,4096,17845000,7666817075468251504
both_retained,0,c_heap_boundary,16,2,4096,17726000,7666817075468251504
both_retained,0,c_heap_boundary,16,3,4096,17830000,7666817075468251504
both_retained,0,whitefoot,16,3,4096,17941000,7666817075468251504
both_retained,0,whitefoot,16,4,4096,17923000,7666817075468251504
both_retained,0,c_heap_boundary,16,4,4096,18098000,7666817075468251504
both_retained,0,c_heap_boundary,16,5,4096,18037000,7666817075468251504
both_retained,0,whitefoot,16,5,4096,17776000,7666817075468251504
both_retained,0,whitefoot,16,6,4096,17500000,7666817075468251504
both_retained,0,c_heap_boundary,16,6,4096,17506000,7666817075468251504
both_retained,1,whitefoot,1,0,4096,1094000,8241301767429094575
both_retained,1,c_heap_boundary,1,0,4096,1105000,8241301767429094575
both_retained,1,c_heap_boundary,1,1,4096,1096000,8241301767429094575
both_retained,1,whitefoot,1,1,4096,1096000,8241301767429094575
both_retained,1,whitefoot,1,2,4096,1081000,8241301767429094575
both_retained,1,c_heap_boundary,1,2,4096,1105000,8241301767429094575
both_retained,1,c_heap_boundary,1,3,4096,1092000,8241301767429094575
both_retained,1,whitefoot,1,3,4096,1090000,8241301767429094575
both_retained,1,whitefoot,1,4,4096,1075000,8241301767429094575
both_retained,1,c_heap_boundary,1,4,4096,1106000,8241301767429094575
both_retained,1,c_heap_boundary,1,5,4096,1091000,8241301767429094575
both_retained,1,whitefoot,1,5,4096,1093000,8241301767429094575
both_retained,1,whitefoot,1,6,4096,1080000,8241301767429094575
both_retained,1,c_heap_boundary,1,6,4096,1102000,8241301767429094575
both_retained,1,whitefoot,16,0,4096,17358000,7666817075468251504
both_retained,1,c_heap_boundary,16,0,4096,17510000,7666817075468251504
both_retained,1,c_heap_boundary,16,1,4096,17536000,7666817075468251504
both_retained,1,whitefoot,16,1,4096,17759000,7666817075468251504
both_retained,1,whitefoot,16,2,4096,17946000,7666817075468251504
both_retained,1,c_heap_boundary,16,2,4096,18034000,7666817075468251504
both_retained,1,c_heap_boundary,16,3,4096,18072000,7666817075468251504
both_retained,1,whitefoot,16,3,4096,18398000,7666817075468251504
both_retained,1,whitefoot,16,4,4096,17986000,7666817075468251504
both_retained,1,c_heap_boundary,16,4,4096,18244000,7666817075468251504
both_retained,1,c_heap_boundary,16,5,4096,18787000,7666817075468251504
both_retained,1,whitefoot,16,5,4096,17741000,7666817075468251504
both_retained,1,whitefoot,16,6,4096,17936000,7666817075468251504
both_retained,1,c_heap_boundary,16,6,4096,18030000,7666817075468251504
