cohort,implementation,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,owning-growth,retained,interleaved,insert,256,6,64,8192,24167,0,5762771361541884512,8256,11264
0,owning-growth,retained,split,insert,256,6,64,8192,24084,0,5762771361541884512,8256,9472
0,owning-growth,retained,whitefoot,insert,256,7,64,8192,28289,0,1624341757828425648,8256,13312
0,owning-growth,retained,interleaved,insert,256,7,64,8192,24167,0,1624341757828425648,8256,11264
0,owning-growth,retained,split,insert,256,7,64,8192,23916,0,1624341757828425648,8256,9472
0,owning-growth,retained,whitefoot,insert,256,8,64,8192,27792,0,12269272641764206400,8256,13312
0,owning-growth,retained,interleaved,insert,256,8,64,8192,24000,0,12269272641764206400,8256,11264
0,owning-growth,retained,split,insert,256,8,64,8192,24250,0,12269272641764206400,8256,9472
0,owning-growth,retained,whitefoot,insert,256,9,64,8192,27830,0,5992509345126799584,8256,13312
0,owning-growth,retained,interleaved,insert,256,9,64,8192,24250,0,5992509345126799584,8256,11264
0,owning-growth,retained,split,insert,256,9,64,8192,23917,0,5992509345126799584,8256,9472
0,owning-growth,retained,whitefoot,insert,256,10,64,8192,28001,0,18073023074693822304,8256,13312
0,owning-growth,retained,interleaved,insert,256,10,64,8192,24000,0,18073023074693822304,8256,11264
0,owning-growth,retained,split,insert,256,10,64,8192,23959,0,18073023074693822304,8256,9472
0,owning-growth,retained,whitefoot,insert,256,11,64,8192,27959,0,4901604239908314144,8256,13312
0,owning-growth,retained,interleaved,insert,256,11,64,8192,23916,0,4901604239908314144,8256,11264
0,owning-growth,retained,split,insert,256,11,64,8192,24000,0,4901604239908314144,8256,9472
0,owning-growth,retained,whitefoot,insert,256,12,64,8192,27706,0,4218347057476397696,8256,13312
0,owning-growth,retained,interleaved,insert,256,12,64,8192,24042,0,4218347057476397696,8256,11264
0,owning-growth,retained,split,insert,256,12,64,8192,24042,0,4218347057476397696,8256,9472
0,owning-growth,retained,whitefoot,insert,256,13,64,8192,27874,0,5237384556868179408,8256,13312
0,owning-growth,retained,interleaved,insert,256,13,64,8192,23917,0,5237384556868179408,8256,11264
0,owning-growth,retained,split,insert,256,13,64,8192,23959,0,5237384556868179408,8256,9472
0,owning-growth,retained,whitefoot,rehash,256,0,64,64,67585,1849948637904797696,5116650466399058720,8320,29696
0,owning-growth,retained,interleaved,rehash,256,0,64,64,49582,1849948637904797696,5116650466399058720,8320,23552
0,owning-growth,retained,split,rehash,256,0,64,64,42876,1849948637904797696,5116650466399058720,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,1,64,64,65580,1849948637904797696,2345175331444990928,8320,29696
0,owning-growth,retained,interleaved,rehash,256,1,64,64,49333,1849948637904797696,2345175331444990928,8320,23552
0,owning-growth,retained,split,rehash,256,1,64,64,42918,1849948637904797696,2345175331444990928,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,2,64,64,66168,1849948637904797696,9167743694309703168,8320,29696
0,owning-growth,retained,interleaved,rehash,256,2,64,64,49583,1849948637904797696,9167743694309703168,8320,23552
0,owning-growth,retained,split,rehash,256,2,64,64,42584,1849948637904797696,9167743694309703168,8320,18176
