cohort,contract,variant,rounds,sample,calls,elapsed_ns,checksum
0,behavior,whitefoot,1,1,4096,1717000,8241301767429094575
0,behavior,whitefoot,1,2,4096,1722000,8241301767429094575
0,behavior,c_heap_boundary,1,2,4096,1098000,8241301767429094575
0,behavior,c_heap_boundary,1,3,4096,1096000,8241301767429094575
0,behavior,whitefoot,1,3,4096,1742000,8241301767429094575
0,behavior,whitefoot,1,4,4096,1739000,8241301767429094575
0,behavior,c_heap_boundary,1,4,4096,1102000,8241301767429094575
0,behavior,c_heap_boundary,1,5,4096,1091000,8241301767429094575
0,behavior,whitefoot,1,5,4096,1738000,8241301767429094575
0,behavior,whitefoot,1,6,4096,1740000,8241301767429094575
0,behavior,c_heap_boundary,1,6,4096,1099000,8241301767429094575
0,behavior,whitefoot,16,0,4096,27762000,7666817075468251504
0,behavior,c_heap_boundary,16,0,4096,17517000,7666817075468251504
0,behavior,c_heap_boundary,16,1,4096,17559000,7666817075468251504
0,behavior,whitefoot,16,1,4096,27932000,7666817075468251504
0,behavior,whitefoot,16,2,4096,27693000,7666817075468251504
0,behavior,c_heap_boundary,16,2,4096,17572000,7666817075468251504
0,behavior,c_heap_boundary,16,3,4096,17682000,7666817075468251504
0,behavior,whitefoot,16,3,4096,28381000,7666817075468251504
0,behavior,whitefoot,16,4,4096,28392000,7666817075468251504
0,behavior,c_heap_boundary,16,4,4096,18052000,7666817075468251504
0,behavior,c_heap_boundary,16,5,4096,18206000,7666817075468251504
0,behavior,whitefoot,16,5,4096,29060000,7666817075468251504
0,behavior,whitefoot,16,6,4096,27951000,7666817075468251504
0,behavior,c_heap_boundary,16,6,4096,18130000,7666817075468251504
0,direct,whitefoot,1,0,4096,1796000,8241301767429094575
0,direct,c_heap_boundary,1,0,4096,1176000,8241301767429094575
0,direct,c_heap_boundary,1,1,4096,1137000,8241301767429094575
0,direct,whitefoot,1,1,4096,1802000,8241301767429094575
0,direct,whitefoot,1,2,4096,1788000,8241301767429094575
0,direct,c_heap_boundary,1,2,4096,1178000,8241301767429094575
0,direct,c_heap_boundary,1,3,4096,1174000,8241301767429094575
0,direct,whitefoot,1,3,4096,1875000,8241301767429094575
0,direct,whitefoot,1,4,4096,1804000,8241301767429094575
0,direct,c_heap_boundary,1,4,4096,1141000,8241301767429094575
0,direct,c_heap_boundary,1,5,4096,1136000,8241301767429094575
0,direct,whitefoot,1,5,4096,1772000,8241301767429094575
0,direct,whitefoot,1,6,4096,1774000,8241301767429094575
0,direct,c_heap_boundary,1,6,4096,1187000,8241301767429094575
0,direct,whitefoot,16,0,4096,28166000,7666817075468251504
0,direct,c_heap_boundary,16,0,4096,18085000,7666817075468251504
0,direct,c_heap_boundary,16,1,4096,18174000,7666817075468251504
0,direct,whitefoot,16,1,4096,28579000,7666817075468251504
0,direct,whitefoot,16,2,4096,28320000,7666817075468251504
0,direct,c_heap_boundary,16,2,4096,17916000,7666817075468251504
0,direct,c_heap_boundary,16,3,4096,17522000,7666817075468251504
0,direct,whitefoot,16,3,4096,28550000,7666817075468251504
0,direct,whitefoot,16,4,4096,27794000,7666817075468251504
0,direct,c_heap_boundary,16,4,4096,17622000,7666817075468251504
0,direct,c_heap_boundary,16,5,4096,17592000,7666817075468251504
0,direct,whitefoot,16,5,4096,27456000,7666817075468251504
0,direct,whitefoot,16,6,4096,27535000,7666817075468251504
0,direct,c_heap_boundary,16,6,4096,17564000,7666817075468251504
1,direct,whitefoot,1,0,4096,1732000,8241301767429094575
1,direct,c_heap_boundary,1,0,4096,1100000,8241301767429094575
1,direct,c_heap_boundary,1,1,4096,1095000,8241301767429094575
1,direct,whitefoot,1,1,4096,1729000,8241301767429094575
1,direct,whitefoot,1,2,4096,1741000,8241301767429094575
1,direct,c_heap_boundary,1,2,4096,1122000,8241301767429094575
1,direct,c_heap_boundary,1,3,4096,1096000,8241301767429094575
1,direct,whitefoot,1,3,4096,1725000,8241301767429094575
1,direct,whitefoot,1,4,4096,1720000,8241301767429094575
1,direct,c_heap_boundary,1,4,4096,1092000,8241301767429094575
1,direct,c_heap_boundary,1,5,4096,1083000,8241301767429094575
1,direct,whitefoot,1,5,4096,1727000,8241301767429094575
1,direct,whitefoot,1,6,4096,1716000,8241301767429094575
1,direct,c_heap_boundary,1,6,4096,1094000,8241301767429094575
1,direct,whitefoot,16,0,4096,27792000,7666817075468251504
1,direct,c_heap_boundary,16,0,4096,17789000,7666817075468251504
1,direct,c_heap_boundary,16,1,4096,18371000,7666817075468251504
1,direct,whitefoot,16,1,4096,28667000,7666817075468251504
1,direct,whitefoot,16,2,4096,28682000,7666817075468251504
1,direct,c_heap_boundary,16,2,4096,18302000,7666817075468251504
1,direct,c_heap_boundary,16,3,4096,17838000,7666817075468251504
1,direct,whitefoot,16,3,4096,27702000,7666817075468251504
1,direct,whitefoot,16,4,4096,27793000,7666817075468251504
1,direct,c_heap_boundary,16,4,4096,17534000,7666817075468251504
1,direct,c_heap_boundary,16,5,4096,17569000,7666817075468251504
1,direct,whitefoot,16,5,4096,28772000,7666817075468251504
1,direct,whitefoot,16,6,4096,28683000,7666817075468251504
1,direct,c_heap_boundary,16,6,4096,19330000,7666817075468251504
1,behavior,whitefoot,1,0,4096,1770000,8241301767429094575
1,behavior,c_heap_boundary,1,0,4096,1128000,8241301767429094575
1,behavior,c_heap_boundary,1,1,4096,1137000,8241301767429094575
1,behavior,whitefoot,1,1,4096,1742000,8241301767429094575
1,behavior,whitefoot,1,2,4096,1789000,8241301767429094575
1,behavior,c_heap_boundary,1,2,4096,1106000,8241301767429094575
1,behavior,c_heap_boundary,1,3,4096,1094000,8241301767429094575
1,behavior,whitefoot,1,3,4096,1776000,8241301767429094575
1,behavior,whitefoot,1,4,4096,1748000,8241301767429094575
1,behavior,c_heap_boundary,1,4,4096,1102000,8241301767429094575
1,behavior,c_heap_boundary,1,5,4096,1103000,8241301767429094575
1,behavior,whitefoot,1,5,4096,1724000,8241301767429094575
1,behavior,whitefoot,1,6,4096,1720000,8241301767429094575
1,behavior,c_heap_boundary,1,6,4096,1111000,8241301767429094575
1,behavior,whitefoot,16,0,4096,27945000,7666817075468251504
1,behavior,c_heap_boundary,16,0,4096,17526000,7666817075468251504
1,behavior,c_heap_boundary,16,1,4096,17570000,7666817075468251504
1,behavior,whitefoot,16,1,4096,27798000,7666817075468251504
1,behavior,whitefoot,16,2,4096,27787000,7666817075468251504
1,behavior,c_heap_boundary,16,2,4096,17497000,7666817075468251504
1,behavior,c_heap_boundary,16,3,4096,17510000,7666817075468251504
1,behavior,whitefoot,16,3,4096,27672000,7666817075468251504
1,behavior,whitefoot,16,4,4096,28251000,7666817075468251504
1,behavior,c_heap_boundary,16,4,4096,17844000,7666817075468251504
1,behavior,c_heap_boundary,16,5,4096,17530000,7666817075468251504
1,behavior,whitefoot,16,5,4096,27499000,7666817075468251504
1,behavior,whitefoot,16,6,4096,27707000,7666817075468251504
1,behavior,c_heap_boundary,16,6,4096,17548000,7666817075468251504
1,borrowed,whitefoot,1,0,4096,1091000,8241301767429094575
1,borrowed,c_heap_boundary,1,0,4096,1106000,8241301767429094575
1,borrowed,c_heap_boundary,1,1,4096,1090000,8241301767429094575
1,borrowed,whitefoot,1,1,4096,1093000,8241301767429094575
1,borrowed,whitefoot,1,2,4096,1076000,8241301767429094575
1,borrowed,c_heap_boundary,1,2,4096,1097000,8241301767429094575
1,borrowed,c_heap_boundary,1,3,4096,1089000,8241301767429094575
1,borrowed,whitefoot,1,3,4096,1089000,8241301767429094575
1,borrowed,whitefoot,1,4,4096,1075000,8241301767429094575
1,borrowed,c_heap_boundary,1,4,4096,1102000,8241301767429094575
1,borrowed,c_heap_boundary,1,5,4096,1087000,8241301767429094575
1,borrowed,whitefoot,1,5,4096,1088000,8241301767429094575
1,borrowed,whitefoot,1,6,4096,1076000,8241301767429094575
1,borrowed,c_heap_boundary,1,6,4096,1102000,8241301767429094575
1,borrowed,whitefoot,16,0,4096,17318000,7666817075468251504
1,borrowed,c_heap_boundary,16,0,4096,17460000,7666817075468251504
1,borrowed,c_heap_boundary,16,1,4096,17837000,7666817075468251504
1,borrowed,whitefoot,16,1,4096,17437000,7666817075468251504
1,borrowed,whitefoot,16,2,4096,17370000,7666817075468251504
1,borrowed,c_heap_boundary,16,2,4096,17507000,7666817075468251504
