cohort,implementation,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,owning-growth,retained,interleaved,insert,256,6,64,8192,23958,0,5762771361541884512,8256,11264
0,owning-growth,retained,split,insert,256,6,64,8192,23958,0,5762771361541884512,8256,9472
0,owning-growth,retained,whitefoot,insert,256,7,64,8192,28121,0,1624341757828425648,8256,13312
0,owning-growth,retained,interleaved,insert,256,7,64,8192,23623,0,1624341757828425648,8256,11264
0,owning-growth,retained,split,insert,256,7,64,8192,24210,0,1624341757828425648,8256,9472
0,owning-growth,retained,whitefoot,insert,256,8,64,8192,27083,0,12269272641764206400,8256,13312
0,owning-growth,retained,interleaved,insert,256,8,64,8192,23331,0,12269272641764206400,8256,11264
0,owning-growth,retained,split,insert,256,8,64,8192,23955,0,12269272641764206400,8256,9472
0,owning-growth,retained,whitefoot,insert,256,9,64,8192,27085,0,5992509345126799584,8256,13312
0,owning-growth,retained,interleaved,insert,256,9,64,8192,23540,0,5992509345126799584,8256,11264
0,owning-growth,retained,split,insert,256,9,64,8192,23040,0,5992509345126799584,8256,9472
0,owning-growth,retained,whitefoot,insert,256,10,64,8192,27002,0,18073023074693822304,8256,13312
0,owning-growth,retained,interleaved,insert,256,10,64,8192,23206,0,18073023074693822304,8256,11264
0,owning-growth,retained,split,insert,256,10,64,8192,23083,0,18073023074693822304,8256,9472
0,owning-growth,retained,whitefoot,insert,256,11,64,8192,27041,0,4901604239908314144,8256,13312
0,owning-growth,retained,interleaved,insert,256,11,64,8192,23167,0,4901604239908314144,8256,11264
0,owning-growth,retained,split,insert,256,11,64,8192,23084,0,4901604239908314144,8256,9472
0,owning-growth,retained,whitefoot,insert,256,12,64,8192,27166,0,4218347057476397696,8256,13312
0,owning-growth,retained,interleaved,insert,256,12,64,8192,23461,0,4218347057476397696,8256,11264
0,owning-growth,retained,split,insert,256,12,64,8192,23792,0,4218347057476397696,8256,9472
0,owning-growth,retained,whitefoot,insert,256,13,64,8192,27004,0,5237384556868179408,8256,13312
0,owning-growth,retained,interleaved,insert,256,13,64,8192,23709,0,5237384556868179408,8256,11264
0,owning-growth,retained,split,insert,256,13,64,8192,23832,0,5237384556868179408,8256,9472
0,owning-growth,retained,whitefoot,rehash,256,0,64,64,72913,1849948637904797696,5116650466399058720,8320,29696
0,owning-growth,retained,interleaved,rehash,256,0,64,64,48916,1849948637904797696,5116650466399058720,8320,23552
0,owning-growth,retained,split,rehash,256,0,64,64,42622,1849948637904797696,5116650466399058720,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,1,64,64,66082,1849948637904797696,2345175331444990928,8320,29696
0,owning-growth,retained,interleaved,rehash,256,1,64,64,51415,1849948637904797696,2345175331444990928,8320,23552
0,owning-growth,retained,split,rehash,256,1,64,64,43003,1849948637904797696,2345175331444990928,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,2,64,64,66000,1849948637904797696,9167743694309703168,8320,29696
0,owning-growth,retained,interleaved,rehash,256,2,64,64,49710,1849948637904797696,9167743694309703168,8320,23552
0,owning-growth,retained,split,rehash,256,2,64,64,43506,1849948637904797696,9167743694309703168,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,3,64,64,67831,1849948637904797696,2261161121994670040,8320,29696
0,owning-growth,retained,interleaved,rehash,256,3,64,64,48961,1849948637904797696,2261161121994670040,8320,23552
0,owning-growth,retained,split,rehash,256,3,64,64,42580,1849948637904797696,2261161121994670040,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,4,64,64,65581,1849948637904797696,5701732356075431008,8320,29696
0,owning-growth,retained,interleaved,rehash,256,4,64,64,48917,1849948637904797696,5701732356075431008,8320,23552
0,owning-growth,retained,split,rehash,256,4,64,64,42538,1849948637904797696,5701732356075431008,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,5,64,64,66171,1849948637904797696,6599659187284699208,8320,29696
0,owning-growth,retained,interleaved,rehash,256,5,64,64,48543,1849948637904797696,6599659187284699208,8320,23552
0,owning-growth,retained,split,rehash,256,5,64,64,42415,1849948637904797696,6599659187284699208,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,6,64,64,65753,1849948637904797696,7026256584100517184,8320,29696
0,owning-growth,retained,interleaved,rehash,256,6,64,64,49624,1849948637904797696,7026256584100517184,8320,23552
0,owning-growth,retained,split,rehash,256,6,64,64,43458,1849948637904797696,7026256584100517184,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,7,64,64,66005,1849948637904797696,2398031619502997424,8320,29696
0,owning-growth,retained,interleaved,rehash,256,7,64,64,49081,1849948637904797696,2398031619502997424,8320,23552
0,owning-growth,retained,split,rehash,256,7,64,64,44788,1849948637904797696,2398031619502997424,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,8,64,64,66672,1849948637904797696,2136864517181178400,8320,29696
0,owning-growth,retained,interleaved,rehash,256,8,64,64,48709,1849948637904797696,2136864517181178400,8320,23552
0,owning-growth,retained,split,rehash,256,8,64,64,42711,1849948637904797696,2136864517181178400,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,9,64,64,65375,1849948637904797696,1818022764526631496,8320,29696
0,owning-growth,retained,interleaved,rehash,256,9,64,64,49084,1849948637904797696,1818022764526631496,8320,23552
0,owning-growth,retained,split,rehash,256,9,64,64,42544,1849948637904797696,1818022764526631496,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,10,64,64,65918,1849948637904797696,14795153613927278256,8320,29696
0,owning-growth,retained,interleaved,rehash,256,10,64,64,49044,1849948637904797696,14795153613927278256,8320,23552
0,owning-growth,retained,split,rehash,256,10,64,64,42834,1849948637904797696,14795153613927278256,8320,18176
0,owning-growth,retained,whitefoot,rehash,256,11,64,64,65371,1849948637904797696,1188486088324579704,8320,29696
0,owning-growth,retained,interleaved,rehash,256,11,64,64,48751,1849948637904797696,1188486088324579704,8320,23552
0,owning-growth,retained,split,rehash,256,11,64,64,42543,1849948637904797696,1188486088324579704,8320,18176
