cohort,contract,variant,rounds,sample,calls,elapsed_ns,checksum
0,behavior,whitefoot,1,1,4096,1729000,8241301767429094575
0,behavior,whitefoot,1,2,4096,1726000,8241301767429094575
0,behavior,c_heap_boundary,1,2,4096,1105000,8241301767429094575
0,behavior,c_heap_boundary,1,3,4096,1100000,8241301767429094575
0,behavior,whitefoot,1,3,4096,1747000,8241301767429094575
0,behavior,whitefoot,1,4,4096,1720000,8241301767429094575
0,behavior,c_heap_boundary,1,4,4096,1099000,8241301767429094575
0,behavior,c_heap_boundary,1,5,4096,1095000,8241301767429094575
0,behavior,whitefoot,1,5,4096,1726000,8241301767429094575
0,behavior,whitefoot,1,6,4096,1719000,8241301767429094575
0,behavior,c_heap_boundary,1,6,4096,1101000,8241301767429094575
0,behavior,whitefoot,16,0,4096,27894000,7666817075468251504
0,behavior,c_heap_boundary,16,0,4096,17598000,7666817075468251504
0,behavior,c_heap_boundary,16,1,4096,17674000,7666817075468251504
0,behavior,whitefoot,16,1,4096,27675000,7666817075468251504
0,behavior,whitefoot,16,2,4096,27994000,7666817075468251504
0,behavior,c_heap_boundary,16,2,4096,17830000,7666817075468251504
0,behavior,c_heap_boundary,16,3,4096,17571000,7666817075468251504
0,behavior,whitefoot,16,3,4096,28037000,7666817075468251504
0,behavior,whitefoot,16,4,4096,28014000,7666817075468251504
0,behavior,c_heap_boundary,16,4,4096,18530000,7666817075468251504
0,behavior,c_heap_boundary,16,5,4096,18155000,7666817075468251504
0,behavior,whitefoot,16,5,4096,28106000,7666817075468251504
0,behavior,whitefoot,16,6,4096,27974000,7666817075468251504
0,behavior,c_heap_boundary,16,6,4096,17998000,7666817075468251504
0,direct,whitefoot,1,0,4096,1769000,8241301767429094575
0,direct,c_heap_boundary,1,0,4096,1111000,8241301767429094575
0,direct,c_heap_boundary,1,1,4096,1094000,8241301767429094575
0,direct,whitefoot,1,1,4096,1728000,8241301767429094575
0,direct,whitefoot,1,2,4096,1726000,8241301767429094575
0,direct,c_heap_boundary,1,2,4096,1113000,8241301767429094575
0,direct,c_heap_boundary,1,3,4096,1091000,8241301767429094575
0,direct,whitefoot,1,3,4096,1729000,8241301767429094575
0,direct,whitefoot,1,4,4096,1734000,8241301767429094575
0,direct,c_heap_boundary,1,4,4096,1114000,8241301767429094575
0,direct,c_heap_boundary,1,5,4096,1167000,8241301767429094575
0,direct,whitefoot,1,5,4096,1777000,8241301767429094575
0,direct,whitefoot,1,6,4096,1724000,8241301767429094575
0,direct,c_heap_boundary,1,6,4096,1102000,8241301767429094575
0,direct,whitefoot,16,0,4096,29103000,7666817075468251504
0,direct,c_heap_boundary,16,0,4096,18056000,7666817075468251504
0,direct,c_heap_boundary,16,1,4096,17943000,7666817075468251504
0,direct,whitefoot,16,1,4096,27836000,7666817075468251504
0,direct,whitefoot,16,2,4096,27988000,7666817075468251504
0,direct,c_heap_boundary,16,2,4096,17566000,7666817075468251504
0,direct,c_heap_boundary,16,3,4096,17675000,7666817075468251504
0,direct,whitefoot,16,3,4096,28150000,7666817075468251504
0,direct,whitefoot,16,4,4096,27807000,7666817075468251504
0,direct,c_heap_boundary,16,4,4096,17735000,7666817075468251504
0,direct,c_heap_boundary,16,5,4096,17729000,7666817075468251504
0,direct,whitefoot,16,5,4096,28034000,7666817075468251504
0,direct,whitefoot,16,6,4096,28111000,7666817075468251504
0,direct,c_heap_boundary,16,6,4096,17693000,7666817075468251504
1,direct,whitefoot,1,0,4096,1755000,8241301767429094575
1,direct,c_heap_boundary,1,0,4096,1100000,8241301767429094575
1,direct,c_heap_boundary,1,1,4096,1088000,8241301767429094575
1,direct,whitefoot,1,1,4096,1724000,8241301767429094575
1,direct,whitefoot,1,2,4096,1724000,8241301767429094575
1,direct,c_heap_boundary,1,2,4096,1101000,8241301767429094575
1,direct,c_heap_boundary,1,3,4096,1091000,8241301767429094575
1,direct,whitefoot,1,3,4096,1766000,8241301767429094575
1,direct,whitefoot,1,4,4096,1765000,8241301767429094575
1,direct,c_heap_boundary,1,4,4096,1109000,8241301767429094575
1,direct,c_heap_boundary,1,5,4096,1100000,8241301767429094575
1,direct,whitefoot,1,5,4096,1728000,8241301767429094575
1,direct,whitefoot,1,6,4096,1710000,8241301767429094575
1,direct,c_heap_boundary,1,6,4096,1103000,8241301767429094575
1,direct,whitefoot,16,0,4096,27806000,7666817075468251504
1,direct,c_heap_boundary,16,0,4096,17675000,7666817075468251504
1,direct,c_heap_boundary,16,1,4096,17581000,7666817075468251504
1,direct,whitefoot,16,1,4096,28271000,7666817075468251504
1,direct,whitefoot,16,2,4096,28738000,7666817075468251504
1,direct,c_heap_boundary,16,2,4096,17709000,7666817075468251504
1,direct,c_heap_boundary,16,3,4096,17647000,7666817075468251504
1,direct,whitefoot,16,3,4096,28849000,7666817075468251504
1,direct,whitefoot,16,4,4096,27631000,7666817075468251504
1,direct,c_heap_boundary,16,4,4096,17636000,7666817075468251504
1,direct,c_heap_boundary,16,5,4096,17603000,7666817075468251504
1,direct,whitefoot,16,5,4096,27776000,7666817075468251504
1,direct,whitefoot,16,6,4096,28158000,7666817075468251504
1,direct,c_heap_boundary,16,6,4096,17694000,7666817075468251504
1,behavior,whitefoot,1,0,4096,1729000,8241301767429094575
1,behavior,c_heap_boundary,1,0,4096,1114000,8241301767429094575
1,behavior,c_heap_boundary,1,1,4096,1096000,8241301767429094575
1,behavior,whitefoot,1,1,4096,1739000,8241301767429094575
1,behavior,whitefoot,1,2,4096,1749000,8241301767429094575
1,behavior,c_heap_boundary,1,2,4096,1102000,8241301767429094575
1,behavior,c_heap_boundary,1,3,4096,1155000,8241301767429094575
1,behavior,whitefoot,1,3,4096,1728000,8241301767429094575
1,behavior,whitefoot,1,4,4096,1717000,8241301767429094575
1,behavior,c_heap_boundary,1,4,4096,1106000,8241301767429094575
1,behavior,c_heap_boundary,1,5,4096,1084000,8241301767429094575
1,behavior,whitefoot,1,5,4096,1742000,8241301767429094575
1,behavior,whitefoot,1,6,4096,1722000,8241301767429094575
1,behavior,c_heap_boundary,1,6,4096,1106000,8241301767429094575
1,behavior,whitefoot,16,0,4096,27976000,7666817075468251504
1,behavior,c_heap_boundary,16,0,4096,17506000,7666817075468251504
1,behavior,c_heap_boundary,16,1,4096,17713000,7666817075468251504
1,behavior,whitefoot,16,1,4096,27945000,7666817075468251504
1,behavior,whitefoot,16,2,4096,27748000,7666817075468251504
1,behavior,c_heap_boundary,16,2,4096,17569000,7666817075468251504
1,behavior,c_heap_boundary,16,3,4096,17750000,7666817075468251504
1,behavior,whitefoot,16,3,4096,27982000,7666817075468251504
1,behavior,whitefoot,16,4,4096,28317000,7666817075468251504
1,behavior,c_heap_boundary,16,4,4096,17535000,7666817075468251504
1,behavior,c_heap_boundary,16,5,4096,17518000,7666817075468251504
1,behavior,whitefoot,16,5,4096,27979000,7666817075468251504
1,behavior,whitefoot,16,6,4096,27688000,7666817075468251504
1,behavior,c_heap_boundary,16,6,4096,17772000,7666817075468251504
1,borrowed,whitefoot,1,0,4096,1097000,8241301767429094575
1,borrowed,c_heap_boundary,1,0,4096,1112000,8241301767429094575
1,borrowed,c_heap_boundary,1,1,4096,1085000,8241301767429094575
1,borrowed,whitefoot,1,1,4096,1102000,8241301767429094575
1,borrowed,whitefoot,1,2,4096,1082000,8241301767429094575
1,borrowed,c_heap_boundary,1,2,4096,1107000,8241301767429094575
1,borrowed,c_heap_boundary,1,3,4096,1198000,8241301767429094575
1,borrowed,whitefoot,1,3,4096,1164000,8241301767429094575
1,borrowed,whitefoot,1,4,4096,1145000,8241301767429094575
1,borrowed,c_heap_boundary,1,4,4096,1113000,8241301767429094575
1,borrowed,c_heap_boundary,1,5,4096,1090000,8241301767429094575
1,borrowed,whitefoot,1,5,4096,1092000,8241301767429094575
1,borrowed,whitefoot,1,6,4096,1076000,8241301767429094575
1,borrowed,c_heap_boundary,1,6,4096,1102000,8241301767429094575
1,borrowed,whitefoot,16,0,4096,17980000,7666817075468251504
1,borrowed,c_heap_boundary,16,0,4096,18021000,7666817075468251504
1,borrowed,c_heap_boundary,16,1,4096,17727000,7666817075468251504
1,borrowed,whitefoot,16,1,4096,17603000,7666817075468251504
1,borrowed,whitefoot,16,2,4096,17519000,7666817075468251504
1,borrowed,c_heap_boundary,16,2,4096,17549000,7666817075468251504
1,borrowed,c_heap_boundary,16,3,4096,17583000,7666817075468251504
1,borrowed,whitefoot,16,3,4096,17417000,7666817075468251504
1,borrowed,whitefoot,16,4,4096,17558000,7666817075468251504
1,borrowed,c_heap_boundary,16,4,4096,17589000,7666817075468251504
1,borrowed,c_heap_boundary,16,5,4096,17805000,7666817075468251504
1,borrowed,whitefoot,16,5,4096,17416000,7666817075468251504
1,borrowed,whitefoot,16,6,4096,17448000,7666817075468251504
1,borrowed,c_heap_boundary,16,6,4096,17661000,7666817075468251504
1,retained,whitefoot,1,0,4096,1131000,8241301767429094575
1,retained,c_heap_boundary,1,0,4096,1128000,8241301767429094575
1,retained,c_heap_boundary,1,1,4096,1091000,8241301767429094575
1,retained,whitefoot,1,1,4096,1134000,8241301767429094575
1,retained,whitefoot,1,2,4096,1124000,8241301767429094575
1,retained,c_heap_boundary,1,2,4096,1104000,8241301767429094575
1,retained,c_heap_boundary,1,3,4096,1097000,8241301767429094575
1,retained,whitefoot,1,3,4096,1129000,8241301767429094575
1,retained,whitefoot,1,4,4096,1113000,8241301767429094575
1,retained,c_heap_boundary,1,4,4096,1104000,8241301767429094575
1,retained,c_heap_boundary,1,5,4096,1089000,8241301767429094575
1,retained,whitefoot,1,5,4096,1131000,8241301767429094575
1,retained,whitefoot,1,6,4096,1114000,8241301767429094575
1,retained,c_heap_boundary,1,6,4096,1103000,8241301767429094575
1,retained,whitefoot,16,0,4096,18083000,7666817075468251504
1,retained,c_heap_boundary,16,0,4096,17537000,7666817075468251504
1,retained,c_heap_boundary,16,1,4096,17531000,7666817075468251504
1,retained,whitefoot,16,1,4096,18084000,7666817075468251504
1,retained,whitefoot,16,2,4096,18095000,7666817075468251504
1,retained,c_heap_boundary,16,2,4096,17743000,7666817075468251504
1,retained,c_heap_boundary,16,3,4096,17559000,7666817075468251504
1,retained,whitefoot,16,3,4096,18023000,7666817075468251504
1,retained,whitefoot,16,4,4096,17924000,7666817075468251504
1,retained,c_heap_boundary,16,4,4096,17775000,7666817075468251504
1,retained,c_heap_boundary,16,5,4096,18663000,7666817075468251504
1,retained,whitefoot,16,5,4096,18039000,7666817075468251504
1,retained,whitefoot,16,6,4096,18008000,7666817075468251504
1,retained,c_heap_boundary,16,6,4096,18452000,7666817075468251504
1,normal,whitefoot,1,0,4096,1125000,8241301767429094575
1,normal,c_heap,1,0,4096,1119000,8241301767429094575
1,normal,c_heap,1,1,4096,1068000,8241301767429094575
1,normal,whitefoot,1,1,4096,1139000,8241301767429094575
1,normal,whitefoot,1,2,4096,1112000,8241301767429094575
1,normal,c_heap,1,2,4096,1137000,8241301767429094575
1,normal,c_heap,1,3,4096,1096000,8241301767429094575
1,normal,whitefoot,1,3,4096,1133000,8241301767429094575
1,normal,whitefoot,1,4,4096,1129000,8241301767429094575
