cohort	attempt	pair	order	variant	wall_ms	user_ms	kernel_ms	worker_limit
mixed-default	1	0	1	mixed.default	281.143	250.000	31.250	3
mixed-default	1	0	2	control.short	171.280	406.250	31.250	3
mixed-default	1	1	0	control.short	170.759	390.625	78.125	3
mixed-default	1	1	1	mixed.no-overlap	278.212	234.375	31.250	3
mixed-default	1	1	2	mixed.default	278.131	250.000	31.250	3
mixed-default	1	2	0	mixed.default	278.524	265.625	0.000	3
mixed-default	1	2	1	control.short	171.213	359.375	78.125	3
mixed-default	1	2	2	mixed.no-overlap	278.037	250.000	15.625	3
mixed-default	1	3	0	control.short	171.233	328.125	140.625	3
mixed-default	1	3	1	mixed.default	277.371	234.375	31.250	3
mixed-default	1	3	2	mixed.no-overlap	278.031	250.000	0.000	3
mixed-default	1	4	0	mixed.no-overlap	277.672	281.250	0.000	3
mixed-default	1	4	1	control.short	173.487	390.625	46.875	3
mixed-default	1	4	2	mixed.default	279.414	234.375	31.250	3
mixed-default	1	5	0	mixed.default	277.651	218.750	46.875	3
mixed-default	1	5	1	mixed.no-overlap	277.345	265.625	0.000	3
mixed-default	1	5	2	control.short	171.902	359.375	125.000	3
mixed-default	1	6	0	mixed.no-overlap	277.110	265.625	0.000	3
mixed-default	1	6	1	mixed.default	278.460	234.375	31.250	3
mixed-default	1	6	2	control.short	171.234	390.625	46.875	3
mixed-default	1	7	0	control.short	170.623	390.625	93.750	3
mixed-default	1	7	1	mixed.no-overlap	277.703	234.375	31.250	3
mixed-default	1	7	2	mixed.default	277.066	265.625	15.625	3
mixed-default	1	8	0	mixed.default	278.376	281.250	0.000	3
mixed-default	1	8	1	control.short	172.096	359.375	93.750	3
mixed-default	1	8	2	mixed.no-overlap	279.856	234.375	46.875	3
mixed-default	1	9	0	control.short	169.115	406.250	62.500	3
mixed-default	1	9	1	mixed.default	279.569	234.375	31.250	3
mixed-default	1	9	2	mixed.no-overlap	277.608	250.000	15.625	3
mixed-default	1	10	0	mixed.no-overlap	277.966	250.000	15.625	3
mixed-default	1	10	1	control.short	171.524	375.000	62.500	3
mixed-default	1	10	2	mixed.default	277.892	234.375	31.250	3
mixed-default	1	11	0	mixed.default	277.837	234.375	31.250	3
mixed-default	1	11	1	mixed.no-overlap	279.960	234.375	31.250	3
mixed-default	1	11	2	control.short	171.538	375.000	78.125	3
mixed-default	1	12	0	mixed.no-overlap	277.945	250.000	15.625	3
mixed-default	1	12	1	mixed.default	277.235	234.375	31.250	3
mixed-default	1	12	2	control.short	170.815	421.875	31.250	3
mixed-default	1	13	0	control.short	170.725	406.250	62.500	3
mixed-default	1	13	1	mixed.no-overlap	277.445	234.375	31.250	3
mixed-default	1	13	2	mixed.default	278.071	250.000	31.250	3
mixed-default	1	14	0	mixed.default	278.725	234.375	31.250	3
mixed-default	1	14	1	control.short	170.759	453.125	15.625	3
mixed-default	1	14	2	mixed.no-overlap	278.469	234.375	62.500	3
mixed-par	1	0	0	mixed.default	278.546	218.750	46.875	3
mixed-par	1	0	1	mixed.par	158.190	421.875	0.000	3
mixed-par	1	0	2	control.short	172.375	406.250	93.750	3
mixed-par	1	1	0	control.short	171.700	390.625	46.875	3
mixed-par	1	1	1	mixed.default	277.206	218.750	46.875	3
mixed-par	1	1	2	mixed.par	160.312	343.750	78.125	3
mixed-par	1	2	0	mixed.par	158.838	375.000	46.875	3
mixed-par	1	2	1	control.short	169.661	421.875	109.375	3
mixed-par	1	2	2	mixed.default	277.866	218.750	46.875	3
mixed-par	1	3	0	control.short	172.992	406.250	62.500	3
mixed-par	1	3	1	mixed.par	159.878	281.250	93.750	3
mixed-par	1	3	2	mixed.default	277.636	218.750	46.875	3
mixed-par	1	4	0	mixed.default	278.203	250.000	15.625	3
mixed-par	1	4	1	control.short	169.729	437.500	15.625	3
mixed-par	1	4	2	mixed.par	158.874	328.125	93.750	3
mixed-par	1	5	0	mixed.par	157.771	343.750	78.125	3
mixed-par	1	5	1	mixed.default	278.646	234.375	31.250	3
mixed-par	1	5	2	control.short	169.773	406.250	62.500	3
mixed-par	1	6	0	mixed.default	277.591	234.375	31.250	3
mixed-par	1	6	1	mixed.par	158.405	343.750	62.500	3
mixed-par	1	6	2	control.short	169.304	343.750	109.375	3
mixed-par	1	7	0	control.short	176.822	359.375	78.125	3
mixed-par	1	7	1	mixed.default	277.607	234.375	31.250	3
mixed-par	1	7	2	mixed.par	160.340	406.250	62.500	3
mixed-par	1	8	0	mixed.par	158.659	328.125	78.125	3
mixed-par	1	8	1	control.short	170.722	421.875	15.625	3
mixed-par	1	8	2	mixed.default	281.633	265.625	15.625	3
mixed-par	1	9	0	control.short	170.994	390.625	78.125	3
mixed-par	1	9	1	mixed.par	157.967	375.000	46.875	3
mixed-par	1	9	2	mixed.default	281.131	234.375	31.250	3
mixed-par	1	10	0	mixed.default	278.027	250.000	15.625	3
mixed-par	1	10	1	control.short	171.895	359.375	46.875	3
mixed-par	1	10	2	mixed.par	158.012	328.125	93.750	3
mixed-par	1	11	0	mixed.par	159.003	375.000	62.500	3
mixed-par	1	11	1	mixed.default	279.575	218.750	62.500	3
mixed-par	1	11	2	control.short	169.423	406.250	62.500	3
mixed-par	1	12	0	mixed.default	277.899	234.375	31.250	3
mixed-par	1	12	1	mixed.par	159.742	359.375	62.500	3
mixed-par	1	12	2	control.short	171.032	421.875	62.500	3
