round	shape	depth	words	reps	impl	threads	seconds	exit	output
16	bal	8	64	32000	rs_cut	2	0.275288	0	41b7bde1c5b8515c
16	bal	8	64	32000	rs_cut	4	0.192862	0	41b7bde1c5b8515c
16	bal	8	64	32000	rs_cut	8	0.284805	0	41b7bde1c5b8515c
16	bal	8	192	11500	wf_seq	0	0.599215	0	41d434bad9dda9b2
16	bal	8	192	11500	wf_par	1	0.775523	0	41d434bad9dda9b2
16	bal	8	192	11500	wf_par	2	0.404015	0	41d434bad9dda9b2
16	bal	8	192	11500	wf_par	4	0.210848	0	41d434bad9dda9b2
16	bal	8	192	11500	wf_par	8	0.182784	0	41d434bad9dda9b2
16	bal	8	192	11500	wf_par	default	0.175190	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_seq	0	0.603046	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_rayon	2	0.325242	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_rayon	4	0.193100	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_rayon	8	0.245166	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_rayon	default	0.361743	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_cut	2	0.324501	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_cut	4	0.180723	0	41d434bad9dda9b2
16	bal	8	192	11500	rs_cut	8	0.218531	0	41d434bad9dda9b2
16	bal	10	16	25000	wf_seq	0	0.567834	0	41a97eb56fcb8a7e
16	bal	10	16	25000	wf_par	1	0.608842	0	41a97eb56fcb8a7e
16	bal	10	16	25000	wf_par	2	0.324009	0	41a97eb56fcb8a7e
16	bal	10	16	25000	wf_par	4	0.188873	0	41a97eb56fcb8a7e
16	bal	10	16	25000	wf_par	8	0.247385	0	41a97eb56fcb8a7e
16	bal	10	16	25000	wf_par	default	0.256307	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_seq	0	0.568600	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_rayon	2	0.381800	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_rayon	4	0.265578	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_rayon	8	0.442027	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_rayon	default	0.757515	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_cut	2	0.301906	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_cut	4	0.188599	0	41a97eb56fcb8a7e
16	bal	10	16	25000	rs_cut	8	0.262003	0	41a97eb56fcb8a7e
16	bal	10	64	8000	wf_seq	0	0.501129	0	41d7c539f8109d29
16	bal	10	64	8000	wf_par	1	0.615092	0	41d7c539f8109d29
16	bal	10	64	8000	wf_par	2	0.317685	0	41d7c539f8109d29
16	bal	10	64	8000	wf_par	4	0.168892	0	41d7c539f8109d29
16	bal	10	64	8000	wf_par	8	0.157165	0	41d7c539f8109d29
16	bal	10	64	8000	wf_par	default	0.154598	0	41d7c539f8109d29
16	bal	10	64	8000	rs_seq	0	0.498690	0	41d7c539f8109d29
16	bal	10	64	8000	rs_rayon	2	0.277134	0	41d7c539f8109d29
16	bal	10	64	8000	rs_rayon	4	0.167166	0	41d7c539f8109d29
16	bal	10	64	8000	rs_rayon	8	0.211982	0	41d7c539f8109d29
16	bal	10	64	8000	rs_rayon	default	0.344153	0	41d7c539f8109d29
16	bal	10	64	8000	rs_cut	2	0.261868	0	41d7c539f8109d29
16	bal	10	64	8000	rs_cut	4	0.150035	0	41d7c539f8109d29
16	bal	10	64	8000	rs_cut	8	0.167518	0	41d7c539f8109d29
16	bal	10	192	2850	wf_seq	0	0.605685	0	41f43bcaafe3d6ba
16	bal	10	192	2850	wf_par	1	0.779212	0	41f43bcaafe3d6ba
