comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict
c3-c4	fixed-256	7779	3	baseline	24779	accept
c3-c4	fixed-256	7779	4	baseline	24484	accept
c3-c4	fixed-256	7779	4	candidate	24784	accept
c3-c4	growing-256	23100	0	baseline	5302100	accept
c3-c4	growing-256	23100	0	candidate	5273190	accept
c3-c4	growing-256	23100	1	candidate	5259452	accept
c3-c4	growing-256	23100	1	baseline	5253958	accept
c3-c4	growing-256	23100	2	baseline	5257436	accept
c3-c4	growing-256	23100	2	candidate	5242919	accept
c3-c4	growing-256	23100	3	candidate	5244765	accept
c3-c4	growing-256	23100	3	baseline	5287235	accept
c3-c4	growing-256	23100	4	baseline	5282256	accept
c3-c4	growing-256	23100	4	candidate	5234754	accept
c3-c4	control-256	13902	0	baseline	506903	accept
c3-c4	control-256	13902	0	candidate	488280	accept
c3-c4	control-256	13902	1	candidate	474272	accept
c3-c4	control-256	13902	1	baseline	523468	accept
c3-c4	control-256	13902	2	baseline	494731	accept
c3-c4	control-256	13902	2	candidate	480216	accept
c3-c4	control-256	13902	3	candidate	476013	accept
c3-c4	control-256	13902	3	baseline	507366	accept
c3-c4	control-256	13902	4	baseline	496901	accept
c3-c4	control-256	13902	4	candidate	487061	accept
c3-c4	fixed-4096	124045	0	baseline	283887	accept
c3-c4	fixed-4096	124045	0	candidate	293209	accept
c3-c4	fixed-4096	124045	1	candidate	284392	accept
c3-c4	fixed-4096	124045	1	baseline	286517	accept
c3-c4	fixed-4096	124045	2	baseline	284808	accept
c3-c4	fixed-4096	124045	2	candidate	283592	accept
c3-c4	fixed-4096	124045	3	candidate	286316	accept
c3-c4	fixed-4096	124045	3	baseline	282547	accept
c3-c4	fixed-4096	124045	4	baseline	284662	accept
c3-c4	fixed-4096	124045	4	candidate	287169	accept
c3-c4	real-fixed_run_library	13014	0	baseline	30246831	accept
c3-c4	real-fixed_run_library	13014	0	candidate	29383616	accept
c3-c4	real-fixed_run_library	13014	1	candidate	29364468	accept
c3-c4	real-fixed_run_library	13014	1	baseline	30549479	accept
c3-c4	real-fixed_run_library	13014	2	baseline	30458973	accept
c3-c4	real-fixed_run_library	13014	2	candidate	29485290	accept
c3-c4	real-fixed_run_library	13014	3	candidate	29381130	accept
c3-c4	real-fixed_run_library	13014	3	baseline	30396920	accept
c3-c4	real-fixed_run_library	13014	4	baseline	30420631	accept
c3-c4	real-fixed_run_library	13014	4	candidate	29201812	accept
c3-c4	real-wfgrep	83524	0	baseline	29251504	accept
c3-c4	real-wfgrep	83524	0	candidate	28081485	accept
c3-c4	real-wfgrep	83524	1	candidate	28133249	accept
c3-c4	real-wfgrep	83524	1	baseline	29130123	accept
c3-c4	real-wfgrep	83524	2	baseline	29023849	accept
c3-c4	real-wfgrep	83524	2	candidate	28314279	accept
c3-c4	real-wfgrep	83524	3	candidate	28083549	accept
c3-c4	real-wfgrep	83524	3	baseline	29032579	accept
c3-c4	real-wfgrep	83524	4	baseline	29127127	accept
c3-c4	real-wfgrep	83524	4	candidate	28120412	accept
c3-c4	real-prefix	2909	0	baseline	141819	accept
c3-c4	real-prefix	2909	0	candidate	135773	accept
c3-c4	real-prefix	2909	1	candidate	131645	accept
c3-c4	real-prefix	2909	1	baseline	132483	accept
c3-c4	real-prefix	2909	2	baseline	130907	accept
c3-c4	real-prefix	2909	2	candidate	134930	accept
c3-c4	real-prefix	2909	3	candidate	130852	accept
c3-c4	real-prefix	2909	3	baseline	131798	accept
c3-c4	real-prefix	2909	4	baseline	138689	accept
c3-c4	real-prefix	2909	4	candidate	135171	accept
c3-c4	real-histogram	3676	0	baseline	134462	accept
c3-c4	real-histogram	3676	0	candidate	136067	accept
c3-c4	real-histogram	3676	1	candidate	134460	accept
c3-c4	real-histogram	3676	1	baseline	134608	accept
c3-c4	real-histogram	3676	2	baseline	134388	accept
c3-c4	real-histogram	3676	2	candidate	135622	accept
c3-c4	real-histogram	3676	3	candidate	140021	accept
c3-c4	real-histogram	3676	3	baseline	135047	accept
c3-c4	real-histogram	3676	4	baseline	134205	accept
c3-c4	real-histogram	3676	4	candidate	136225	accept
c3-c4	real-radix_scatter	8989	0	baseline	753846	accept
c3-c4	real-radix_scatter	8989	0	candidate	740929	accept
c3-c4	real-radix_scatter	8989	1	candidate	744289	accept
c3-c4	real-radix_scatter	8989	1	baseline	749362	accept
c3-c4	real-radix_scatter	8989	2	baseline	748951	accept
c3-c4	real-radix_scatter	8989	2	candidate	739373	accept
c3-c4	real-radix_scatter	8989	3	candidate	742052	accept
c3-c4	real-radix_scatter	8989	3	baseline	749211	accept
c3-c4	real-radix_scatter	8989	4	baseline	750940	accept
c3-c4	real-radix_scatter	8989	4	candidate	742619	accept
c4-c5	fixed-16	824	0	baseline	20727	accept
c4-c5	fixed-16	824	0	candidate	17298	accept
c4-c5	fixed-16	824	1	candidate	14111	accept
c4-c5	fixed-16	824	1	baseline	12886	accept
c4-c5	fixed-16	824	2	baseline	13348	accept
c4-c5	fixed-16	824	2	candidate	12976	accept
c4-c5	fixed-16	824	3	candidate	12697	accept
c4-c5	fixed-16	824	3	baseline	12799	accept
c4-c5	fixed-16	824	4	baseline	12997	accept
c4-c5	fixed-16	824	4	candidate	13134	accept
c4-c5	growing-16	1452	0	baseline	16318	accept
c4-c5	growing-16	1452	0	candidate	16197	accept
c4-c5	growing-16	1452	1	candidate	16046	accept
c4-c5	growing-16	1452	1	baseline	16167	accept
c4-c5	growing-16	1452	2	baseline	16203	accept
c4-c5	growing-16	1452	2	candidate	16195	accept
c4-c5	growing-16	1452	3	candidate	16261	accept
c4-c5	growing-16	1452	3	baseline	16415	accept
c4-c5	growing-16	1452	4	baseline	15977	accept
c4-c5	growing-16	1452	4	candidate	16235	accept
c4-c5	control-16	1038	0	baseline	14244	accept
c4-c5	control-16	1038	0	candidate	14177	accept
c4-c5	control-16	1038	1	candidate	14215	accept
c4-c5	control-16	1038	1	baseline	14381	accept
c4-c5	control-16	1038	2	baseline	14013	accept
c4-c5	control-16	1038	2	candidate	14257	accept
c4-c5	control-16	1038	3	candidate	14087	accept
c4-c5	control-16	1038	3	baseline	14059	accept
c4-c5	control-16	1038	4	baseline	13998	accept
c4-c5	control-16	1038	4	candidate	14155	accept
c4-c5	fixed-64	2209	0	baseline	14954	accept
c4-c5	fixed-64	2209	0	candidate	14823	accept
c4-c5	fixed-64	2209	1	candidate	15269	accept
c4-c5	fixed-64	2209	1	baseline	15006	accept
c4-c5	fixed-64	2209	2	baseline	14809	accept
c4-c5	fixed-64	2209	2	candidate	15458	accept
c4-c5	fixed-64	2209	3	candidate	15771	accept
c4-c5	fixed-64	2209	3	baseline	16123	accept
c4-c5	fixed-64	2209	4	baseline	16101	accept
c4-c5	fixed-64	2209	4	candidate	15524	accept
c4-c5	growing-64	5532	0	baseline	112460	accept
c4-c5	growing-64	5532	0	candidate	112951	accept
c4-c5	growing-64	5532	1	candidate	111736	accept
c4-c5	growing-64	5532	1	baseline	112440	accept
c4-c5	growing-64	5532	2	baseline	117632	accept
c4-c5	growing-64	5532	2	candidate	113175	accept
c4-c5	growing-64	5532	3	candidate	112128	accept
c4-c5	growing-64	5532	3	baseline	112080	accept
c4-c5	growing-64	5532	4	baseline	114523	accept
c4-c5	growing-64	5532	4	candidate	112362	accept
c4-c5	control-64	3486	0	baseline	36650	accept
c4-c5	control-64	3486	0	candidate	36547	accept
c4-c5	control-64	3486	1	candidate	35967	accept
c4-c5	control-64	3486	1	baseline	36055	accept
c4-c5	control-64	3486	2	baseline	35992	accept
c4-c5	control-64	3486	2	candidate	37782	accept
c4-c5	control-64	3486	3	candidate	37367	accept
c4-c5	control-64	3486	3	baseline	36128	accept
c4-c5	control-64	3486	4	baseline	37741	accept
c4-c5	control-64	3486	4	candidate	36466	accept
c4-c5	fixed-256	7779	0	baseline	24948	accept
c4-c5	fixed-256	7779	0	candidate	24743	accept
c4-c5	fixed-256	7779	1	candidate	24545	accept
c4-c5	fixed-256	7779	1	baseline	24574	accept
c4-c5	fixed-256	7779	2	baseline	24455	accept
c4-c5	fixed-256	7779	2	candidate	24898	accept
c4-c5	fixed-256	7779	3	candidate	24499	accept
c4-c5	fixed-256	7779	3	baseline	24422	accept
c4-c5	fixed-256	7779	4	baseline	24296	accept
c4-c5	fixed-256	7779	4	candidate	24451	accept
c4-c5	growing-256	23100	0	baseline	5283513	accept
c4-c5	growing-256	23100	0	candidate	5233699	accept
c4-c5	growing-256	23100	1	candidate	5267663	accept
c4-c5	growing-256	23100	1	baseline	5239094	accept
c4-c5	growing-256	23100	2	baseline	5215532	accept
c4-c5	growing-256	23100	2	candidate	5282641	accept
c4-c5	growing-256	23100	3	candidate	5249046	accept
c4-c5	growing-256	23100	3	baseline	5274222	accept
c4-c5	growing-256	23100	4	baseline	5254705	accept
c4-c5	growing-256	23100	4	candidate	5250053	accept
c4-c5	control-256	13902	0	baseline	484386	accept
c4-c5	control-256	13902	0	candidate	492149	accept
c4-c5	control-256	13902	1	candidate	503589	accept
c4-c5	control-256	13902	1	baseline	473931	accept
c4-c5	control-256	13902	2	baseline	488645	accept
c4-c5	control-256	13902	2	candidate	479429	accept
c4-c5	control-256	13902	3	candidate	490225	accept
c4-c5	control-256	13902	3	baseline	471992	accept
c4-c5	control-256	13902	4	baseline	480509	accept
c4-c5	control-256	13902	4	candidate	483770	accept
c4-c5	fixed-4096	124045	0	baseline	282246	accept
c4-c5	fixed-4096	124045	0	candidate	286918	accept
c4-c5	fixed-4096	124045	1	candidate	282649	accept
c4-c5	fixed-4096	124045	1	baseline	282440	accept
c4-c5	fixed-4096	124045	2	baseline	287706	accept
c4-c5	fixed-4096	124045	2	candidate	285351	accept
c4-c5	fixed-4096	124045	3	candidate	285155	accept
c4-c5	fixed-4096	124045	3	baseline	283668	accept
c4-c5	fixed-4096	124045	4	baseline	286123	accept
c4-c5	fixed-4096	124045	4	candidate	284615	accept
c4-c5	real-fixed_run_library	13014	0	baseline	29247384	accept
c4-c5	real-fixed_run_library	13014	0	candidate	23532211	accept
c4-c5	real-fixed_run_library	13014	1	candidate	23506767	accept
c4-c5	real-fixed_run_library	13014	1	baseline	29257758	accept
c4-c5	real-fixed_run_library	13014	2	baseline	29313009	accept
c4-c5	real-fixed_run_library	13014	2	candidate	23496801	accept
c4-c5	real-fixed_run_library	13014	3	candidate	23506949	accept
c4-c5	real-fixed_run_library	13014	3	baseline	29367969	accept
c4-c5	real-fixed_run_library	13014	4	baseline	29401521	accept
c4-c5	real-fixed_run_library	13014	4	candidate	23496959	accept
c4-c5	real-wfgrep	83524	0	baseline	28193150	accept
c4-c5	real-wfgrep	83524	0	candidate	23214310	accept
c4-c5	real-wfgrep	83524	1	candidate	23182019	accept
c4-c5	real-wfgrep	83524	1	baseline	28174276	accept
c4-c5	real-wfgrep	83524	2	baseline	28141703	accept
c4-c5	real-wfgrep	83524	2	candidate	23254380	accept
c4-c5	real-wfgrep	83524	3	candidate	23246995	accept
c4-c5	real-wfgrep	83524	3	baseline	28088691	accept
c4-c5	real-wfgrep	83524	4	baseline	28161913	accept
c4-c5	real-wfgrep	83524	4	candidate	23219662	accept
c4-c5	real-prefix	2909	0	baseline	131456	accept
c4-c5	real-prefix	2909	0	candidate	117242	accept
c4-c5	real-prefix	2909	1	candidate	124211	accept
c4-c5	real-prefix	2909	1	baseline	134564	accept
c4-c5	real-prefix	2909	2	baseline	131692	accept
c4-c5	real-prefix	2909	2	candidate	121002	accept
c4-c5	real-prefix	2909	3	candidate	116999	accept
c4-c5	real-prefix	2909	3	baseline	130535	accept
c4-c5	real-prefix	2909	4	baseline	130273	accept
c4-c5	real-prefix	2909	4	candidate	118287	accept
c4-c5	real-histogram	3676	0	baseline	141641	accept
c4-c5	real-histogram	3676	0	candidate	121997	accept
c4-c5	real-histogram	3676	1	candidate	121065	accept
c4-c5	real-histogram	3676	1	baseline	135645	accept
c4-c5	real-histogram	3676	2	baseline	134155	accept
c4-c5	real-histogram	3676	2	candidate	120079	accept
c4-c5	real-histogram	3676	3	candidate	120242	accept
c4-c5	real-histogram	3676	3	baseline	134539	accept
c4-c5	real-histogram	3676	4	baseline	138271	accept
c4-c5	real-histogram	3676	4	candidate	121846	accept
c4-c5	real-radix_scatter	8989	0	baseline	736173	accept
c4-c5	real-radix_scatter	8989	0	candidate	622417	accept
c4-c5	real-radix_scatter	8989	1	candidate	622473	accept
c4-c5	real-radix_scatter	8989	1	baseline	736253	accept
c4-c5	real-radix_scatter	8989	2	baseline	749583	accept
c4-c5	real-radix_scatter	8989	2	candidate	617519	accept
c4-c5	real-radix_scatter	8989	3	candidate	616114	accept
c4-c5	real-radix_scatter	8989	3	baseline	744236	accept
c4-c5	real-radix_scatter	8989	4	baseline	740888	accept
c4-c5	real-radix_scatter	8989	4	candidate	615152	accept
base-c5	fixed-16	824	0	baseline	13588	accept
base-c5	fixed-16	824	0	candidate	13815	accept
base-c5	fixed-16	824	1	candidate	13230	accept
base-c5	fixed-16	824	1	baseline	13245	accept
base-c5	fixed-16	824	2	baseline	13032	accept
base-c5	fixed-16	824	2	candidate	13271	accept
base-c5	fixed-16	824	3	candidate	12985	accept
base-c5	fixed-16	824	3	baseline	13053	accept
base-c5	fixed-16	824	4	baseline	12865	accept
base-c5	fixed-16	824	4	candidate	12862	accept
base-c5	growing-16	1452	0	baseline	16706	accept
base-c5	growing-16	1452	0	candidate	16262	accept
base-c5	growing-16	1452	1	candidate	16476	accept
base-c5	growing-16	1452	1	baseline	16440	accept
base-c5	growing-16	1452	2	baseline	16288	accept
base-c5	growing-16	1452	2	candidate	16490	accept
base-c5	growing-16	1452	3	candidate	16168	accept
base-c5	growing-16	1452	3	baseline	16641	accept
base-c5	growing-16	1452	4	baseline	16230	accept
base-c5	growing-16	1452	4	candidate	16130	accept
base-c5	control-16	1038	0	baseline	14332	accept
base-c5	control-16	1038	0	candidate	14011	accept
base-c5	control-16	1038	1	candidate	14113	accept
base-c5	control-16	1038	1	baseline	14718	accept
base-c5	control-16	1038	2	baseline	14808	accept
base-c5	control-16	1038	2	candidate	15119	accept
base-c5	control-16	1038	3	candidate	14295	accept
base-c5	control-16	1038	3	baseline	14505	accept
base-c5	control-16	1038	4	baseline	14248	accept
base-c5	control-16	1038	4	candidate	14722	accept
base-c5	fixed-64	2209	0	baseline	15857	accept
base-c5	fixed-64	2209	0	candidate	15562	accept
base-c5	fixed-64	2209	1	candidate	15152	accept
base-c5	fixed-64	2209	1	baseline	15356	accept
base-c5	fixed-64	2209	2	baseline	15096	accept
base-c5	fixed-64	2209	2	candidate	15053	accept
base-c5	fixed-64	2209	3	candidate	14926	accept
base-c5	fixed-64	2209	3	baseline	15756	accept
base-c5	fixed-64	2209	4	baseline	14847	accept
base-c5	fixed-64	2209	4	candidate	15151	accept
base-c5	growing-64	5532	0	baseline	117403	accept
base-c5	growing-64	5532	0	candidate	113800	accept
base-c5	growing-64	5532	1	candidate	112452	accept
base-c5	growing-64	5532	1	baseline	120541	accept
base-c5	growing-64	5532	2	baseline	116606	accept
base-c5	growing-64	5532	2	candidate	114368	accept
base-c5	growing-64	5532	3	candidate	112121	accept
base-c5	growing-64	5532	3	baseline	118529	accept
base-c5	growing-64	5532	4	baseline	119748	accept
base-c5	growing-64	5532	4	candidate	112270	accept
base-c5	control-64	3486	0	baseline	41256	accept
base-c5	control-64	3486	0	candidate	36587	accept
base-c5	control-64	3486	1	candidate	36566	accept
base-c5	control-64	3486	1	baseline	41632	accept
base-c5	control-64	3486	2	baseline	41588	accept
base-c5	control-64	3486	2	candidate	38157	accept
base-c5	control-64	3486	3	candidate	39267	accept
base-c5	control-64	3486	3	baseline	41655	accept
base-c5	control-64	3486	4	baseline	41971	accept
base-c5	control-64	3486	4	candidate	36962	accept
base-c5	fixed-256	7779	0	baseline	24901	accept
base-c5	fixed-256	7779	0	candidate	24504	accept
base-c5	fixed-256	7779	1	candidate	24449	accept
base-c5	fixed-256	7779	1	baseline	24939	accept
base-c5	fixed-256	7779	2	baseline	24816	accept
base-c5	fixed-256	7779	2	candidate	24750	accept
base-c5	fixed-256	7779	3	candidate	24521	accept
base-c5	fixed-256	7779	3	baseline	25280	accept
base-c5	fixed-256	7779	4	baseline	25704	accept
base-c5	fixed-256	7779	4	candidate	24811	accept
base-c5	growing-256	23100	0	baseline	5314483	accept
base-c5	growing-256	23100	0	candidate	5245677	accept
base-c5	growing-256	23100	1	candidate	5234125	accept
base-c5	growing-256	23100	1	baseline	5311846	accept
base-c5	growing-256	23100	2	baseline	5335573	accept
base-c5	growing-256	23100	2	candidate	5281462	accept
base-c5	growing-256	23100	3	candidate	5275707	accept
base-c5	growing-256	23100	3	baseline	5387071	accept
base-c5	growing-256	23100	4	baseline	5335110	accept
base-c5	growing-256	23100	4	candidate	5230928	accept
base-c5	control-256	13902	0	baseline	584525	accept
base-c5	control-256	13902	0	candidate	473839	accept
base-c5	control-256	13902	1	candidate	523576	accept
base-c5	control-256	13902	1	baseline	575325	accept
base-c5	control-256	13902	2	baseline	573043	accept
base-c5	control-256	13902	2	candidate	491925	accept
base-c5	control-256	13902	3	candidate	480033	accept
base-c5	control-256	13902	3	baseline	564810	accept
base-c5	control-256	13902	4	baseline	582159	accept
base-c5	control-256	13902	4	candidate	467985	accept
base-c5	fixed-4096	124045	0	baseline	287284	accept
base-c5	fixed-4096	124045	0	candidate	284475	accept
base-c5	fixed-4096	124045	1	candidate	282927	accept
base-c5	fixed-4096	124045	1	baseline	282623	accept
base-c5	fixed-4096	124045	2	baseline	287758	accept
base-c5	fixed-4096	124045	2	candidate	283206	accept
base-c5	fixed-4096	124045	3	candidate	282834	accept
base-c5	fixed-4096	124045	3	baseline	289025	accept
base-c5	fixed-4096	124045	4	baseline	287104	accept
base-c5	fixed-4096	124045	4	candidate	282044	accept
base-c5	real-fixed_run_library	13014	0	baseline	78730793	accept
base-c5	real-fixed_run_library	13014	0	candidate	23475271	accept
base-c5	real-fixed_run_library	13014	1	candidate	23524673	accept
base-c5	real-fixed_run_library	13014	1	baseline	78251902	accept
base-c5	real-fixed_run_library	13014	2	baseline	77967819	accept
base-c5	real-fixed_run_library	13014	2	candidate	23542694	accept
base-c5	real-fixed_run_library	13014	3	candidate	23517917	accept
base-c5	real-fixed_run_library	13014	3	baseline	78764658	accept
base-c5	real-fixed_run_library	13014	4	baseline	78778174	accept
base-c5	real-fixed_run_library	13014	4	candidate	23487542	accept
base-c5	real-wfgrep	83524	0	baseline	39608793	accept
base-c5	real-wfgrep	83524	0	candidate	23225930	accept
base-c5	real-wfgrep	83524	1	candidate	23313207	accept
base-c5	real-wfgrep	83524	1	baseline	39464720	accept
base-c5	real-wfgrep	83524	2	baseline	39559715	accept
base-c5	real-wfgrep	83524	2	candidate	23223668	accept
base-c5	real-wfgrep	83524	3	candidate	23630469	accept
base-c5	real-wfgrep	83524	3	baseline	39686115	accept
base-c5	real-wfgrep	83524	4	baseline	39789539	accept
base-c5	real-wfgrep	83524	4	candidate	23292440	accept
base-c5	real-prefix	2909	0	baseline	171559	accept
base-c5	real-prefix	2909	0	candidate	118683	accept
base-c5	real-prefix	2909	1	candidate	120314	accept
base-c5	real-prefix	2909	1	baseline	172690	accept
base-c5	real-prefix	2909	2	baseline	175918	accept
base-c5	real-prefix	2909	2	candidate	116944	accept
base-c5	real-prefix	2909	3	candidate	116730	accept
base-c5	real-prefix	2909	3	baseline	171756	accept
base-c5	real-prefix	2909	4	baseline	171510	accept
base-c5	real-prefix	2909	4	candidate	116627	accept
base-c5	real-histogram	3676	0	baseline	176211	accept
base-c5	real-histogram	3676	0	candidate	122749	accept
base-c5	real-histogram	3676	1	candidate	120806	accept
base-c5	real-histogram	3676	1	baseline	175373	accept
base-c5	real-histogram	3676	2	baseline	175525	accept
base-c5	real-histogram	3676	2	candidate	120561	accept
base-c5	real-histogram	3676	3	candidate	120245	accept
base-c5	real-histogram	3676	3	baseline	182224	accept
base-c5	real-histogram	3676	4	baseline	177766	accept
base-c5	real-histogram	3676	4	candidate	120467	accept
base-c5	real-radix_scatter	8989	0	baseline	987872	accept
base-c5	real-radix_scatter	8989	0	candidate	611237	accept
base-c5	real-radix_scatter	8989	1	candidate	615236	accept
base-c5	real-radix_scatter	8989	1	baseline	991945	accept
base-c5	real-radix_scatter	8989	2	baseline	991615	accept
base-c5	real-radix_scatter	8989	2	candidate	619251	accept
base-c5	real-radix_scatter	8989	3	candidate	616974	accept
base-c5	real-radix_scatter	8989	3	baseline	989969	accept
base-c5	real-radix_scatter	8989	4	baseline	982849	accept
base-c5	real-radix_scatter	8989	4	candidate	619644	accept
