comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict
base-c1	real-fixed_run_library	13014	4	baseline	79530170	accept
base-c1	real-fixed_run_library	13014	4	candidate	39897807	accept
base-c1	real-wfgrep	83524	0	baseline	39966783	accept
base-c1	real-wfgrep	83524	0	candidate	40401537	accept
base-c1	real-wfgrep	83524	1	candidate	40410131	accept
base-c1	real-wfgrep	83524	1	baseline	40606920	accept
base-c1	real-wfgrep	83524	2	baseline	40119905	accept
base-c1	real-wfgrep	83524	2	candidate	40240207	accept
base-c1	real-wfgrep	83524	3	candidate	40965440	accept
base-c1	real-wfgrep	83524	3	baseline	40527515	accept
base-c1	real-wfgrep	83524	4	baseline	40222781	accept
base-c1	real-wfgrep	83524	4	candidate	40273341	accept
base-c1	real-prefix	2909	0	baseline	188046	accept
base-c1	real-prefix	2909	0	candidate	174364	accept
base-c1	real-prefix	2909	1	candidate	174826	accept
base-c1	real-prefix	2909	1	baseline	173552	accept
base-c1	real-prefix	2909	2	baseline	174220	accept
base-c1	real-prefix	2909	2	candidate	175758	accept
base-c1	real-prefix	2909	3	candidate	177708	accept
base-c1	real-prefix	2909	3	baseline	175522	accept
base-c1	real-prefix	2909	4	baseline	175618	accept
base-c1	real-prefix	2909	4	candidate	172683	accept
base-c1	real-histogram	3676	0	baseline	177287	accept
base-c1	real-histogram	3676	0	candidate	178405	accept
base-c1	real-histogram	3676	1	candidate	179254	accept
base-c1	real-histogram	3676	1	baseline	177629	accept
base-c1	real-histogram	3676	2	baseline	180113	accept
base-c1	real-histogram	3676	2	candidate	180484	accept
base-c1	real-histogram	3676	3	candidate	183686	accept
base-c1	real-histogram	3676	3	baseline	181058	accept
base-c1	real-histogram	3676	4	baseline	181306	accept
base-c1	real-histogram	3676	4	candidate	182542	accept
base-c1	real-radix_scatter	8989	0	baseline	1041215	accept
base-c1	real-radix_scatter	8989	0	candidate	995455	accept
base-c1	real-radix_scatter	8989	1	candidate	989641	accept
base-c1	real-radix_scatter	8989	1	baseline	987986	accept
base-c1	real-radix_scatter	8989	2	baseline	989809	accept
base-c1	real-radix_scatter	8989	2	candidate	992290	accept
base-c1	real-radix_scatter	8989	3	candidate	989130	accept
base-c1	real-radix_scatter	8989	3	baseline	988302	accept
base-c1	real-radix_scatter	8989	4	baseline	987741	accept
base-c1	real-radix_scatter	8989	4	candidate	991599	accept
c1-c2	fixed-16	824	0	baseline	21394	accept
c1-c2	fixed-16	824	0	candidate	17353	accept
c1-c2	fixed-16	824	1	candidate	14267	accept
c1-c2	fixed-16	824	1	baseline	13637	accept
c1-c2	fixed-16	824	2	baseline	13004	accept
c1-c2	fixed-16	824	2	candidate	13753	accept
c1-c2	fixed-16	824	3	candidate	12800	accept
c1-c2	fixed-16	824	3	baseline	13284	accept
c1-c2	fixed-16	824	4	baseline	13814	accept
c1-c2	fixed-16	824	4	candidate	13997	accept
c1-c2	growing-16	1452	0	baseline	18874	accept
c1-c2	growing-16	1452	0	candidate	18741	accept
c1-c2	growing-16	1452	1	candidate	18352	accept
c1-c2	growing-16	1452	1	baseline	18194	accept
c1-c2	growing-16	1452	2	baseline	17999	accept
c1-c2	growing-16	1452	2	candidate	17755	accept
c1-c2	growing-16	1452	3	candidate	17276	accept
c1-c2	growing-16	1452	3	baseline	17600	accept
c1-c2	growing-16	1452	4	baseline	17467	accept
c1-c2	growing-16	1452	4	candidate	17445	accept
c1-c2	control-16	1038	0	baseline	14638	accept
c1-c2	control-16	1038	0	candidate	14764	accept
c1-c2	control-16	1038	1	candidate	14964	accept
c1-c2	control-16	1038	1	baseline	15274	accept
c1-c2	control-16	1038	2	baseline	16003	accept
c1-c2	control-16	1038	2	candidate	15451	accept
c1-c2	control-16	1038	3	candidate	14881	accept
c1-c2	control-16	1038	3	baseline	14801	accept
c1-c2	control-16	1038	4	baseline	14563	accept
c1-c2	control-16	1038	4	candidate	15011	accept
c1-c2	fixed-64	2209	0	baseline	15320	accept
c1-c2	fixed-64	2209	0	candidate	15276	accept
c1-c2	fixed-64	2209	1	candidate	16246	accept
c1-c2	fixed-64	2209	1	baseline	15979	accept
c1-c2	fixed-64	2209	2	baseline	15362	accept
c1-c2	fixed-64	2209	2	candidate	15225	accept
c1-c2	fixed-64	2209	3	candidate	14812	accept
c1-c2	fixed-64	2209	3	baseline	15366	accept
c1-c2	fixed-64	2209	4	baseline	15775	accept
c1-c2	fixed-64	2209	4	candidate	15738	accept
c1-c2	growing-64	5532	0	baseline	182912	accept
c1-c2	growing-64	5532	0	candidate	184313	accept
c1-c2	growing-64	5532	1	candidate	185695	accept
c1-c2	growing-64	5532	1	baseline	180564	accept
c1-c2	growing-64	5532	2	baseline	182424	accept
c1-c2	growing-64	5532	2	candidate	181388	accept
c1-c2	growing-64	5532	3	candidate	181575	accept
c1-c2	growing-64	5532	3	baseline	186861	accept
c1-c2	growing-64	5532	4	baseline	183259	accept
c1-c2	growing-64	5532	4	candidate	181888	accept
c1-c2	control-64	3486	0	baseline	45764	accept
c1-c2	control-64	3486	0	candidate	45717	accept
c1-c2	control-64	3486	1	candidate	47193	accept
c1-c2	control-64	3486	1	baseline	45472	accept
c1-c2	control-64	3486	2	baseline	45300	accept
c1-c2	control-64	3486	2	candidate	45520	accept
c1-c2	control-64	3486	3	candidate	45275	accept
c1-c2	control-64	3486	3	baseline	45307	accept
c1-c2	control-64	3486	4	baseline	44905	accept
c1-c2	control-64	3486	4	candidate	45452	accept
c1-c2	fixed-256	7779	0	baseline	25471	accept
c1-c2	fixed-256	7779	0	candidate	24954	accept
c1-c2	fixed-256	7779	1	candidate	24532	accept
c1-c2	fixed-256	7779	1	baseline	24941	accept
c1-c2	fixed-256	7779	2	baseline	25271	accept
c1-c2	fixed-256	7779	2	candidate	26066	accept
c1-c2	fixed-256	7779	3	candidate	25570	accept
c1-c2	fixed-256	7779	3	baseline	24842	accept
c1-c2	fixed-256	7779	4	baseline	24391	accept
c1-c2	fixed-256	7779	4	candidate	24632	accept
c1-c2	growing-256	23100	0	baseline	9596895	accept
c1-c2	growing-256	23100	0	candidate	9606205	accept
c1-c2	growing-256	23100	1	candidate	9576188	accept
c1-c2	growing-256	23100	1	baseline	9575517	accept
c1-c2	growing-256	23100	2	baseline	9591773	accept
c1-c2	growing-256	23100	2	candidate	9630692	accept
c1-c2	growing-256	23100	3	candidate	9587293	accept
