comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
hashing	growing-64	5532	1	baseline	87409	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	2	baseline	87130	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	2	candidate	70000	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	3	candidate	70483	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	3	baseline	87514	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	4	baseline	86184	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	growing-64	5532	4	candidate	70556	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	0	baseline	39918	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	0	candidate	34354	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	1	candidate	33791	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	1	baseline	40495	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	2	baseline	40551	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	2	candidate	33157	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	3	candidate	32697	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	3	baseline	39556	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	4	baseline	39114	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	control-64	3486	4	candidate	33860	accept	990c5ca34356c71f021a435e00b99ba499a7fdf96aa10ee78a60118e7dcf2b14
hashing	fixed-256	7779	0	baseline	30344	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	0	candidate	31306	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-256	7779	1	candidate	31520	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
