fixture	source_bytes	pair	compiler	elapsed_us	verdict
real-histogram	3676	1	candidate	28104	accept
real-histogram	3676	1	baseline	124148	accept
real-histogram	3676	2	baseline	122459	accept
real-histogram	3676	2	candidate	28559	accept
real-histogram	3676	3	candidate	27754	accept
real-histogram	3676	3	baseline	123305	accept
real-histogram	3676	4	baseline	125240	accept
real-histogram	3676	4	candidate	28470	accept
real-radix_scatter	8989	0	baseline	626582	accept
real-radix_scatter	8989	0	candidate	69933	accept
real-radix_scatter	8989	1	candidate	69793	accept
real-radix_scatter	8989	1	baseline	639796	accept
real-radix_scatter	8989	2	baseline	644464	accept
real-radix_scatter	8989	2	candidate	73174	accept
real-radix_scatter	8989	3	candidate	74005	accept
real-radix_scatter	8989	3	baseline	632202	accept
real-radix_scatter	8989	4	baseline	652081	accept
real-radix_scatter	8989	4	candidate	72738	accept
