fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
growing-64	5532	2	candidate	74596	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
growing-64	5532	3	candidate	75674	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
growing-64	5532	3	baseline	74922	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
growing-64	5532	4	baseline	74750	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
growing-64	5532	4	candidate	74818	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	0	baseline	29468	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	0	candidate	29168	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	1	candidate	28931	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	1	baseline	29521	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	2	baseline	29534	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	2	candidate	29698	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	3	candidate	29068	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	3	baseline	29805	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	4	baseline	29343	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
control-64	3486	4	candidate	28870	accept	f3ee8ce0a8c2ccdc8cbc75e3b43bf77d7719bfbe844b35e7f2494977cd09489b
fixed-256	7779	0	baseline	24978	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	0	candidate	26222	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	1	candidate	25572	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	1	baseline	25279	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	2	baseline	25090	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	2	candidate	25316	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	3	candidate	25427	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	3	baseline	25431	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	4	baseline	25452	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-256	7779	4	candidate	25385	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
growing-256	23100	0	baseline	3068836	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	0	candidate	3047788	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	1	candidate	3087197	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	1	baseline	3060505	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	2	baseline	3073136	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	2	candidate	3057336	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	3	candidate	3052342	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	3	baseline	3057934	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	4	baseline	3062684	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
growing-256	23100	4	candidate	3091598	accept	d7a60b1be575290ff0bd01db99ba955505faa100e1f43652e12da0595de62a87
