round	shape	depth	words	reps	impl	threads	seconds	exit	output
1	bal	8	16	100000	wf_seq	0	0.544565	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	1	0.621611	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	2	0.346434	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	4	0.222464	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	8	0.509531	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	default	0.601166	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_seq	0	0.633192	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	2	0.665319	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	4	0.362963	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	8	0.989818	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	default	2.638813	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	2	0.336582	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	4	0.260434	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	8	0.679721	0	418978c4dfc3adcb
1	bal	8	64	32000	wf_seq	0	0.493229	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	1	0.612555	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	2	0.266380	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	4	0.156146	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	8	0.224551	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	default	0.241731	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_seq	0	0.494990	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	2	0.291012	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	4	0.242719	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	8	0.378018	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	default	0.785906	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	2	0.274990	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	4	0.181876	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	8	0.306654	0	41b7bde1c5b8515c
1	bal	8	192	11500	wf_seq	0	0.602500	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	1	0.778774	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	2	0.315595	0	41d434bad9dda9b2
