kind,capacity,load_eighths,variant,sample,queries,nanoseconds,checksum,backing_bytes
sample,65536,7,split,0,393216,11220000,15870448984799080076,2162688
sample,65536,7,split_check_each,0,393216,11257000,15870448984799080076,2162688
sample,65536,7,split_validate_batch,0,393216,11129000,15870448984799080076,2162688
sample,65536,7,split,1,393216,11052000,15870448984799080076,2162688
sample,65536,7,split_check_each,1,393216,11169000,15870448984799080076,2162688
sample,65536,7,split_validate_batch,1,393216,11179000,15870448984799080076,2162688
sample,65536,7,tagged,1,393216,11497000,15870448984799080076,2621440
sample,65536,7,split_check_each,2,393216,11445000,15870448984799080076,2162688
sample,65536,7,split_validate_batch,2,393216,10967000,15870448984799080076,2162688
sample,65536,7,tagged,2,393216,11488000,15870448984799080076,2621440
sample,65536,7,split,2,393216,11067000,15870448984799080076,2162688
sample,65536,7,split_validate_batch,3,393216,11038000,15870448984799080076,2162688
sample,65536,7,tagged,3,393216,11432000,15870448984799080076,2621440
sample,65536,7,split,3,393216,12870000,15870448984799080076,2162688
sample,65536,7,split_check_each,3,393216,11240000,15870448984799080076,2162688
sample,65536,7,tagged,4,393216,11561000,15870448984799080076,2621440
sample,65536,7,split,4,393216,11255000,15870448984799080076,2162688
sample,65536,7,split_check_each,4,393216,11276000,15870448984799080076,2162688
sample,65536,7,split_validate_batch,4,393216,11102000,15870448984799080076,2162688
sample,65536,7,split,5,393216,11148000,15870448984799080076,2162688
sample,65536,7,split_check_each,5,393216,11379000,15870448984799080076,2162688
sample,65536,7,split_validate_batch,5,393216,11807000,15870448984799080076,2162688
sample,65536,7,tagged,5,393216,11483000,15870448984799080076,2621440
sample,65536,7,split_check_each,6,393216,11245000,15870448984799080076,2162688
sample,65536,7,split_validate_batch,6,393216,11079000,15870448984799080076,2162688
sample,65536,7,tagged,6,393216,11510000,15870448984799080076,2621440
sample,65536,7,split,6,393216,11185000,15870448984799080076,2162688
