contract,element_bytes,path,count,run,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_window_c,null_window_normalized,null_tagged_c,null_tagged_normalized,ab_raw,ab_window_c,ab_window_normalized,ab_tagged_c,ab_tagged_normalized,a_wf_window_c,b_wf_window_c,a_wf_tagged_c,b_wf_tagged_c
normal,8,prefilled-lookup,16,0,0,43000,0.0975056689342404,0.0975056689342404,1,1,1.02325581395349,1,1.02272727272727,0.977777777777778,1,0.977272727272727,1,0.977272727272727,1.02325581395349,1,1.02222222222222,1
normal,8,prefilled-lookup,16,0,1,43000,0.0975056689342404,0.0975056689342404,1,1,1,1,1,1,0.977272727272727,1,1,1,1,1,1,1
normal,8,prefilled-lookup,16,1,0,43000,0.0975056689342404,0.0975056689342404,0.977272727272727,0.977777777777778,1,0.955555555555556,1,1,1,1,1,1,1,1,1,1
normal,8,prefilled-lookup,16,1,1,43000,0.0975056689342404,0.0975056689342404,1,1,1,1,1,1,0.977777777777778,1.02222222222222,1,1.02272727272727,1,1,1,1
normal,8,prefilled-lookup,256,0,0,41000,0.1025,0.1025,1,1,1,1,1,1,1.02325581395349,1,1,1,1,1,1,1
normal,8,prefilled-lookup,256,0,1,41000,0.1025,0.1025,1.02325581395349,1.02325581395349,1,1.02380952380952,1,1.02380952380952,1,1,1,1,1,1,1,1
normal,8,prefilled-lookup,256,1,0,41000,0.1025,0.1025,1,1,1,1,1.00110864745011,1,1,1,1,1,1,1,1,1
normal,8,prefilled-lookup,256,1,1,41000,0.1025,0.1025,0.976744186046512,1,1,1,1,1.02380952380952,1.02380952380952,1,1.02380952380952,1,1,1,1,1
normal,8,prefilled-lookup,4096,0,0,52000,0.0799692425990006,0.0799692425990006,1,0.981481481481482,0.981818181818182,1,1.0006993006993,1.0188679245283,1.0377358490566,0.999301187980433,1.01923076923077,0.999301187980433,1.01923076923077,1.01851851851852,1.01923076923077,1.01923076923077
normal,8,prefilled-lookup,4096,0,1,52000,0.0799692425990006,0.0799692425990006,1,1,1,1,1,1,1,1,1,1,1,1.01923076923077,1.01923076923077,1.01923076923077
normal,8,prefilled-lookup,4096,1,0,52000,0.0799692425990006,0.0799692425990006,1,1,1,1,1,1,0.981132075471698,1.0188679245283,1,1,1.01923076923077,1.01923076923077,1.01923076923077,1.01923076923077
normal,8,prefilled-lookup,4096,1,1,52000,0.0799692425990006,0.0799692425990006,1.0188679245283,1,1.0188679245283,1.0188679245283,1,1,1,1,1,1,1.01923076923077,1.01923076923077,1,1.01923076923077
normal,8,reuse-churn,16,0,0,91000,0.044938271604938,0.044938271604938,1,0.989130434782609,0.999827467218772,0.989130434782609,0.999827467218772,1.02439024390244,1.02173913043478,1.00259470679813,1.01063829787234,1.00531914893617,1.34065934065934,1.34042553191489,1.33333333333333,1.34042553191489
normal,8,reuse-churn,16,0,1,91000,0.044938271604938,0.044938271604938,1,1,1,1,1,1,1,1.01098901098901,1,1.00819672131148,1.32608695652174,1.34065934065934,1.32967032967033,1.34065934065934
normal,8,reuse-churn,16,1,0,91000,0.044938271604938,0.044938271604938,0.991869918699187,0.989130434782609,1,1,0.99723806129722,1,1,1,1,1,1.32608695652174,1.32608695652174,1.32967032967033,1.33695652173913
normal,8,reuse-churn,16,1,1,91000,0.044938271604938,0.044938271604938,1,1,1,0.989247311827957,1.00276958813544,1,1,1.00819672131148,1,0.99723806129722,1.32608695652174,1.33695652173913,1.34065934065934,1.33695652173913
normal,8,reuse-churn,256,0,0,92000,0.0444390774061103,0.0444390774061103,1,1,1,1,1,1,1,1,0.989247311827957,1.01075268817204,1.33695652173913,1.33695652173913,1.32978723404255,1.33695652173913
normal,8,reuse-churn,256,0,1,92000,0.0444390774061103,0.0444390774061103,1,1,1,1,1,1,1,1,1,1,1.33695652173913,1.33695652173913,1.33695652173913,1.33695652173913
normal,8,reuse-churn,256,1,0,92000,0.0444390774061103,0.0444390774061103,1,1.01086956521739,0.994768050226718,1,1,1,1,1,1,0.991869918699187,1.33695652173913,1.33695652173913,1.33695652173913,1.32608695652174
normal,8,reuse-churn,256,1,1,92000,0.0444390774061103,0.0444390774061103,1,0.989247311827957,1,1,1,1,1,1.00819672131148,1,1.00819672131148,1.32608695652174,1.33695652173913,1.33695652173913,1.33695652173913
normal,8,reuse-churn,4096,0,0,102000,0.0399960788158025,0.0399960788158025,1,1,1,1,1,0.950704225352113,0.944954128440367,1.00752922528235,0.953703703703704,1.00360610263523,1.2972972972973,1.31067961165049,1.29906542056075,1.31067961165049
normal,8,reuse-churn,4096,0,1,102000,0.0399960788158025,0.0399960788158025,1,1,1,1,1,1.00740740740741,1,0.997775545350172,1,1,1.30097087378641,1.30097087378641,1.30097087378641,1.29807692307692
normal,8,reuse-churn,4096,1,0,102000,0.0399960788158025,0.0399960788158025,1,1,1,1,1,1,1,1,1,1,1.30097087378641,1.31067961165049,1.31067961165049,1.30097087378641
normal,8,reuse-churn,4096,1,1,102000,0.0399960788158025,0.0399960788158025,1,1,1,1,1,1,1,1,1,1,1.30097087378641,1.31067961165049,1.30097087378641,1.31067961165049
normal,8,setup-cleanup,16,0,0,107000,0.0380918476326095,0.04375,1,1,0.997344278126509,1,1,0.975155279503106,0.955752212389381,1.0099451303155,0.956140350877193,1.02332761578045,1.41071428571429,1.42592592592593,1.38938053097345,1.42201834862385
normal,8,setup-cleanup,16,0,1,107000,0.0380918476326095,0.04375,1,1,0.997344278126509,1,1.00512331704992,1,1,0.993421052631579,1,1,1.40740740740741,1.39814814814815,1.39449541284404,1.38532110091743
normal,8,setup-cleanup,16,1,0,107000,0.0380918476326095,0.04375,0.95625,0.955752212389381,0.991341743119266,0.948275862068966,1.00262123197903,1,1,1,1,0.990909090909091,1.41666666666667,1.40740740740741,1.40366972477064,1.39449541284404
normal,8,setup-cleanup,16,1,1,107000,0.0380918476326095,0.04375,1,1,0.997301672962763,1,1,1,0.990825688073395,1.00657894736842,1,1.00262123197903,1.40366972477064,1.41666666666667,1.4,1.40366972477064
