run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,prefilled-lookup,256,tagged-c,7,128,1,44000,5625648934759185597,1,6160,6160
0,normal,0,8,prefilled-lookup,256,whitefoot,7,128,1,44000,5625648934759185597,1,8208,8208
0,normal,0,8,prefilled-lookup,256,tagged-c,8,128,1,43000,15887772082229450559,1,6160,6160
0,normal,0,8,prefilled-lookup,256,whitefoot,8,128,1,53000,15887772082229450559,1,8208,8208
0,normal,0,8,prefilled-lookup,256,window-c,8,128,1,43000,15887772082229450559,1,8208,8208
0,normal,0,8,prefilled-lookup,256,whitefoot,9,128,1,44000,11718386264199709125,1,8208,8208
0,normal,0,8,prefilled-lookup,256,window-c,9,128,1,44000,11718386264199709125,1,8208,8208
0,normal,0,8,prefilled-lookup,256,tagged-c,9,128,1,43000,11718386264199709125,1,6160,6160
0,normal,0,8,prefilled-lookup,256,window-c,10,128,1,43000,3533765337960422471,1,8208,8208
0,normal,0,8,prefilled-lookup,256,tagged-c,10,128,1,44000,3533765337960422471,1,6160,6160
0,normal,0,8,prefilled-lookup,256,whitefoot,10,128,1,44000,3533765337960422471,1,8208,8208
0,normal,0,8,prefilled-lookup,4096,whitefoot,0,8,1,86000,1492792051154100255,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,window-c,0,8,1,62000,1492792051154100255,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,0,8,1,68000,1492792051154100255,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,window-c,1,8,1,53000,10260659378101993637,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,1,8,1,54000,10260659378101993637,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,whitefoot,1,8,1,55000,10260659378101993637,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,2,8,1,54000,1467606142887878951,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,whitefoot,2,8,1,55000,1467606142887878951,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,window-c,2,8,1,53000,1467606142887878951,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,whitefoot,3,8,1,55000,8463826446740685237,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,window-c,3,8,1,54000,8463826446740685237,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,3,8,1,54000,8463826446740685237,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,window-c,4,8,1,54000,18117517285236122167,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,4,8,1,54000,18117517285236122167,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,whitefoot,4,8,1,55000,18117517285236122167,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,5,8,1,53000,8438640538474463933,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,whitefoot,5,8,1,54000,8438640538474463933,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,window-c,5,8,1,54000,8438640538474463933,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,whitefoot,6,8,1,54000,18092331376969900863,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,window-c,6,8,1,54000,18092331376969900863,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,6,8,1,56000,18092331376969900863,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,window-c,7,8,1,53000,10185101653303329725,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,7,8,1,54000,10185101653303329725,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,whitefoot,7,8,1,54000,10185101653303329725,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,8,8,1,53000,1392048418089215039,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,whitefoot,8,8,1,54000,1392048418089215039,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,window-c,8,8,1,53000,1392048418089215039,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,whitefoot,9,8,1,54000,10159915745037108421,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,window-c,9,8,1,54000,10159915745037108421,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,9,8,1,53000,10159915745037108421,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,window-c,10,8,1,53000,1366862509822993735,1,131088,131088
0,normal,0,8,prefilled-lookup,4096,tagged-c,10,8,1,54000,1366862509822993735,1,98320,98320
0,normal,0,8,prefilled-lookup,4096,whitefoot,10,8,1,54000,1366862509822993735,1,131088,131088
0,normal,0,8,reuse-churn,16,whitefoot,0,2048,1,126000,7152957620277997519,1,528,528
0,normal,0,8,reuse-churn,16,window-c,0,2048,1,94000,7152957620277997519,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,0,2048,1,94000,7152957620277997519,1,400,400
