total_threads	observed	light_per_second	light_planned	light_dispatch_p99_us	light_service_p99_us	light_count	light_p50_us	light_p99_us	light_max_us	light_span_us	light_min_count	light_worst_peer_p99_us	light_completed_by_deadline	heavy_count	heavy_p50_us	heavy_p99_us	heavy_max_us	heavy_span_us	heavy_min_count	heavy_worst_peer_p99_us	heavy_completed_by_deadline	client_service_rounds	client_service_yields	admitted	admission_us	duration_ms	drain_us	connect_us	exchange_us	roundtrips	rt_per_s	bytes_per_s	p50_us	p90_us	p99_us	max_us	client_exchange_user_us	client_exchange_system_us	server_user_seconds	server_system_seconds	server_maxrss_kib	server_voluntary_switches	server_involuntary_switches	server_total_threads	server_io_threads	server_cpu_threads	server_queue	server_submitted	server_completed	server_inflight	server_inflight_peak	server_active	server_active_peak	server_waiting	server_waiting_peak	server_light_while_active	server_light_while_saturated	server_send_waits
2	0	100	600	97	74	600	121	157	181	499284	50	181	600	255	7963	8027	8065	507747	63	8065	251	8	0	1	262	500	7780	449	507780	855	1683.8	107763.0	123	7969	8002	8065	0	32248	0.52	0.00	2312	1070	2															
4	0	100	600	122	64	600	108	180	2038	499305	50	2038	600	756	2090	3929	4867	503206	189	4019	752	8	0	1	314	500	3235	451	503235	1356	2694.6	172451.9	2025	3840	3916	4867	3451	31668	1.52	0.01	2196	1757	535															
2	1	100	600	95	81	600	119	163	177	499291	50	177	600	256	7931	8009	8021	506025	64	8021	252	8	0	1	259	500	6056	470	506056	856	1691.5	108256.6	125	7938	7979	8021	0	30801	0.53	0.00	2312	1076	4	2	1	1	2	256	256	0	2	0	1	0	2	599	599	0
4	1	100	600	118	73	600	108	163	1343	499273	50	1343	600	756	2306	3921	5076	503288	189	3974	752	8	0	1	349	500	3321	773	503321	1356	2694.1	172422.6	2024	3767	3911	5076	0	36022	1.52	0.01	2316	1708	530	4	1	3	6	756	756	0	5	0	3	0	1	600	582	0
