config	impl	threads	n	min	median	max	spread_pct
bal_d12_w16	wf_par	1	18	0.6008	0.7128	0.8398	39.8
bal_d12_w16	wf_par	2	18	0.6217	0.7806	1.1441	84.0
bal_d12_w16	wf_par	4	18	1.0425	1.3167	1.8063	73.3
bal_d12_w16	wf_par	8	18	1.6195	2.1289	2.5567	57.9
bal_d12_w16	rs_seq	0	18	0.6391	0.7782	0.9706	51.9
bal_d12_w16	rs_rayon	2	18	0.4275	0.5200	0.6925	62.0
bal_d12_w16	rs_rayon	4	18	0.3074	0.4213	0.6791	120.9
bal_d12_w16	rs_rayon	8	18	0.2915	0.4114	0.7344	151.9
bal_d12_w16	rs_cut	2	18	0.3397	0.5044	1.0127	198.1
bal_d12_w16	rs_cut	4	18	0.2414	0.3335	0.6524	170.2
bal_d12_w16	rs_cut	8	18	0.2228	0.2740	0.4081	83.1
bal_d12_w64	wf_seq	0	18	0.5546	0.7142	0.8777	58.3
bal_d12_w64	wf_par	1	18	0.5496	0.6232	0.9282	68.9
bal_d12_w64	wf_par	2	18	0.2896	0.3490	0.6587	127.4
bal_d12_w64	wf_par	4	18	0.3346	0.4388	0.8071	141.2
bal_d12_w64	wf_par	8	18	0.5295	0.7102	1.0651	101.2
bal_d12_w64	rs_seq	0	18	0.5707	0.6806	0.8173	43.2
bal_d12_w64	rs_rayon	2	18	0.3048	0.3752	0.6525	114.1
bal_d12_w64	rs_rayon	4	18	0.1850	0.2634	0.3955	113.7
bal_d12_w64	rs_rayon	8	18	0.2009	0.2299	0.4763	137.1
bal_d12_w64	rs_cut	2	18	0.3533	0.4174	0.6281	77.8
bal_d12_w64	rs_cut	4	18	0.1949	0.2725	0.4495	130.6
bal_d12_w64	rs_cut	8	18	0.1825	0.1979	0.3700	102.8
bal_d12_w192	wf_seq	0	18	0.6515	0.8248	1.0774	65.4
bal_d12_w192	wf_par	1	18	0.6077	0.7212	1.1417	87.9
bal_d12_w192	wf_par	2	18	0.3138	0.3957	0.7931	152.8
bal_d12_w192	wf_par	4	18	0.2918	0.3822	0.7449	155.3
bal_d12_w192	wf_par	8	18	0.3052	0.4557	0.6738	120.8
