sample,block,cycle,row,position,variant,nanos,len,checksum
100,20,2,8,0,rust-unsafe,92522666,512000000,69
101,20,2,8,1,whitefoot-proof,89639125,512000000,69
102,20,2,8,2,rust-chunks-full,89376083,512000000,69
103,20,2,8,3,rust-naive,144923042,512000000,69
104,20,2,8,4,rust-assert,143245125,512000000,69
105,21,2,3,0,rust-unsafe,94305250,512000000,69
106,21,2,3,1,rust-chunks-full,89092959,512000000,69
107,21,2,3,2,whitefoot-proof,89516916,512000000,69
108,21,2,3,3,rust-assert,143283875,512000000,69
109,21,2,3,4,rust-naive,143290000,512000000,69
110,22,2,6,0,rust-chunks-full,89356500,512000000,69
111,22,2,6,1,rust-unsafe,92129208,512000000,69
112,22,2,6,2,rust-assert,143194542,512000000,69
113,22,2,6,3,whitefoot-proof,90107542,512000000,69
114,22,2,6,4,rust-naive,143230708,512000000,69
115,23,2,2,0,rust-naive,143168250,512000000,69
116,23,2,2,1,rust-assert,142962041,512000000,69
117,23,2,2,2,whitefoot-proof,89462583,512000000,69
118,23,2,2,3,rust-chunks-full,89970000,512000000,69
119,23,2,2,4,rust-unsafe,92418333,512000000,69
120,24,2,7,0,rust-naive,143543500,512000000,69
121,24,2,7,1,whitefoot-proof,90154375,512000000,69
122,24,2,7,2,rust-assert,142843416,512000000,69
123,24,2,7,3,rust-unsafe,92735042,512000000,69
124,24,2,7,4,rust-chunks-full,89353750,512000000,69
125,25,2,0,0,whitefoot-proof,89359833,512000000,69
126,25,2,0,1,rust-naive,143570125,512000000,69
127,25,2,0,2,rust-unsafe,92337167,512000000,69
128,25,2,0,3,rust-assert,143241250,512000000,69
129,25,2,0,4,rust-chunks-full,90379291,512000000,69
130,26,2,5,0,whitefoot-proof,89348292,512000000,69
131,26,2,5,1,rust-unsafe,93752125,512000000,69
132,26,2,5,2,rust-naive,143250416,512000000,69
133,26,2,5,3,rust-chunks-full,89129917,512000000,69
134,26,2,5,4,rust-assert,145847500,512000000,69
135,27,2,1,0,rust-chunks-full,89021250,512000000,69
136,27,2,1,1,rust-assert,143320583,512000000,69
137,27,2,1,2,rust-unsafe,93946292,512000000,69
138,27,2,1,3,rust-naive,143906875,512000000,69
139,27,2,1,4,whitefoot-proof,89060250,512000000,69
140,28,2,4,0,rust-assert,144946125,512000000,69
141,28,2,4,1,rust-chunks-full,89900167,512000000,69
142,28,2,4,2,rust-naive,147858875,512000000,69
143,28,2,4,3,rust-unsafe,93413791,512000000,69
144,28,2,4,4,whitefoot-proof,89392667,512000000,69
145,29,2,9,0,rust-assert,146078750,512000000,69
146,29,2,9,1,rust-naive,144879667,512000000,69
147,29,2,9,2,rust-chunks-full,89188333,512000000,69
148,29,2,9,3,whitefoot-proof,89215500,512000000,69
149,29,2,9,4,rust-unsafe,92332625,512000000,69
