runtime	kernel	workers	k	n	tile	seed	pass	calls	core_mean_ns	core_min_ns	core_max_ns	cycle_mean_ns	cycle_min_ns	cycle_max_ns
recovered	wf	4	3	262144	65536	116578	2	10	604051.900	538200	810089	1786266.600	1612689	2133609
shared	wf	0	3	262144	65536	116578	2	10	586414.300	536899	863434	1538557.900	1435886	1863101
shared	wf	2	3	262144	65536	116578	2	10	485896.800	410831	588276	1866438.500	1319092	3336694
shared	wf	4	3	262144	65536	116578	2	10	584267.400	522598	874281	2430474.600	2140254	4105428
weak	direct	0	3	262144	65536	116578	2	10	495082.400	481236	511450	616729.400	597338	634544
weak	lanes4	0	3	262144	65536	116578	2	10	152675.100	152096	153087	277393.700	265395	299616
weak	lanes8	0	3	262144	65536	116578	2	10	100427.300	97124	122702	218698.400	210624	256171
weak	lanes16	0	3	262144	65536	116578	2	10	78259.300	71776	102552	202659.500	185736	287518
weak	wf	0	3	262144	257	116578	2	10	654466.400	640162	697027	3603107.200	3476852	3841475
weak	wf	0	3	262144	65536	116578	3	10	1073979.800	562246	1158413	2725345.400	1815100	2966003
shared	wf	4	3	262144	4096	116578	3	10	461895.500	387907	733681	3475756.100	2319651	4881927
shared	wf	2	3	262144	4096	116578	3	10	579072.400	557830	612781	2611083.200	2408533	3381830
shared	wf	0	3	262144	4096	116578	3	10	710258.800	544310	1089180	2793929.400	2361613	4717829
recovered	wf	4	3	262144	4096	116578	3	10	417269.800	299225	685500	2478350.900	2204880	2680367
recovered	wf	2	3	262144	4096	116578	3	10	565683.500	548877	605431	2497277.000	2404257	2639586
recovered	wf	0	3	262144	4096	116578	3	10	563394.200	547484	582546	2463826.400	2369525	2514992
weak	wf	0	3	262144	4096	116578	3	10	564197.200	552161	604319	2458716.600	2427391	2500971
shared	wf	4	3	262144	257	116578	3	10	617340.400	539032	743797	4560091.700	3517823	6330929
shared	wf	2	3	262144	257	116578	3	10	796844.200	687457	1215779	4167592.800	3740740	6217650
shared	wf	0	3	262144	257	116578	3	10	759511.900	624559	1213525	3805268.800	3433497	4482748
recovered	wf	4	3	262144	257	116578	3	10	685948.300	343541	2350737	3615109.000	3235663	5258563
recovered	wf	2	3	262144	257	116578	3	10	444203.600	353716	541796	3318356.600	3180832	3557933
recovered	wf	0	3	262144	257	116578	3	10	649427.000	634013	708093	3562015.900	3443513	3813092
weak	wf	0	3	262144	257	116578	3	10	704340.800	639111	1148519	3566185.000	3399627	4099238
weak	lanes16	0	3	262144	65536	116578	3	10	117179.600	111747	128752	237456.400	225725	249121
weak	lanes8	0	3	262144	65536	116578	3	10	153346.100	99087	232335	286171.600	217123	390040
weak	lanes4	0	3	262144	65536	116578	3	10	162137.000	151916	198465	279291.600	266156	314427
weak	direct	0	3	262144	65536	116578	3	10	556960.400	496448	604720	688727.600	613793	737467
shared	wf	4	3	262144	65536	116578	3	10	563358.700	480405	889523	2010795.900	1345011	3530322
shared	wf	2	3	262144	65536	116578	3	10	665058.600	547515	1224452	1669554.500	1452691	2985190
shared	wf	0	3	262144	65536	116578	3	10	688058.700	532753	1057544	1741216.300	1419001	2690463
recovered	wf	4	3	262144	65536	116578	3	10	594636.000	486083	919337	1760158.700	1550366	2098862
recovered	wf	2	3	262144	65536	116578	3	10	535209.200	516148	567435	2321530.500	1640801	2474621
recovered	wf	0	3	262144	65536	116578	3	10	567233.000	533163	701835	1733921.300	1554262	2298399
recovered	wf	4	3	262144	257	116578	4	10	446186.800	335920	720522	4067775.100	3099781	5986175
shared	wf	0	3	262144	257	116578	4	10	740431.700	626723	1287816	3949595.700	3589210	4532653
shared	wf	2	3	262144	257	116578	4	10	640413.300	498582	836595	4760300.300	3560818	6327754
shared	wf	4	3	262144	257	116578	4	10	847554.900	534229	2981535	5535454.100	3667742	8866700
weak	wf	0	3	262144	4096	116578	4	10	619891.100	546463	1142720	2659330.100	2412208	3626134
recovered	wf	0	3	262144	4096	116578	4	10	864553.300	547314	1089561	3605487.700	2392019	4561937
recovered	wf	2	3	262144	4096	116578	4	10	572919.200	548997	614184	2606164.100	2404417	3350184
recovered	wf	4	3	262144	4096	116578	4	10	400878.200	351452	450390	2495051.500	2226642	3454749
shared	wf	0	3	262144	4096	116578	4	10	582661.500	549657	712831	2510740.000	2348103	3220581
shared	wf	2	3	262144	4096	116578	4	10	583144.900	557780	606082	2642588.600	2410276	3475921
shared	wf	4	3	262144	4096	116578	4	10	495253.700	390075	1077042	2872429.100	2309661	5324610
weak	wf	0	3	262144	65536	116578	4	10	588068.900	536679	927349	1655218.400	1558258	2250337
recovered	wf	0	3	262144	65536	116578	4	10	592530.500	534465	996743	1723490.700	1612178	2220754
recovered	wf	2	3	262144	65536	116578	4	10	581649.200	550909	758628	1709531.200	1609434	1969910
recovered	wf	4	3	262144	65536	116578	4	10	673029.100	524931	1127107	1826781.600	1672519	2383906
shared	wf	0	3	262144	65536	116578	4	10	620186.500	533494	1064924	1620221.200	1457628	2130910
shared	wf	2	3	262144	65536	116578	4	10	542873.900	410000	764087	1722855.400	1373293	2497600
shared	wf	4	3	262144	65536	116578	4	10	609192.700	450130	910194	2327172.700	1401545	3324976
weak	direct	0	3	262144	65536	116578	4	10	500233.100	481156	551651	624886.700	598931	676196
weak	lanes4	0	3	262144	65536	116578	4	10	153267.100	151335	158156	276931.200	267017	315449
weak	lanes8	0	3	262144	65536	116578	4	10	99814.700	97746	108592	221304.100	212366	247868
weak	lanes16	0	3	262144	65536	116578	4	10	72690.100	71937	74320	197059.300	186748	220958
weak	wf	0	3	262144	257	116578	4	10	673971.600	637809	844426	3563115.700	3363784	4345535
recovered	wf	0	3	262144	257	116578	4	10	651840.700	635926	669396	3581486.000	3388471	4202271
recovered	wf	2	3	262144	257	116578	4	10	752066.300	501076	1787955	3654045.300	3399047	4595802
weak	wf	0	15	33	257	124497	0	256	259.258	220	2504	454.477	400	2834
recovered	wf	0	15	33	257	124497	0	256	258.754	220	2253	465.000	410	2754
recovered	wf	2	15	33	257	124497	0	256	225.840	220	320	414.457	410	601
recovered	wf	4	15	33	257	124497	0	256	307.777	220	14812	508.801	410	15253
shared	wf	0	15	33	257	124497	0	256	384.668	310	490	636.379	521	862
shared	wf	2	15	33	257	124497	0	256	261.688	220	972	457.980	380	3796
shared	wf	4	15	33	257	124497	0	256	227.016	220	301	392.070	380	561
weak	wf	0	15	33	4096	124497	0	256	226.977	220	310	411.703	400	640
recovered	wf	0	15	33	4096	124497	0	256	227.527	220	310	416.742	410	591
recovered	wf	2	15	33	4096	124497	0	256	225.133	220	330	414.184	400	611
recovered	wf	4	15	33	4096	124497	0	256	226.152	220	340	414.578	410	611
shared	wf	0	15	33	4096	124497	0	256	228.730	220	491	393.785	380	791
shared	wf	2	15	33	4096	124497	0	256	227.062	220	301	392.070	380	561
shared	wf	4	15	33	4096	124497	0	256	275.867	220	3806	460.637	390	4096
weak	wf	0	15	33	65536	124497	0	256	226.742	220	310	406.262	400	601
recovered	wf	0	15	33	65536	124497	0	256	336.281	220	581	589.273	410	892
recovered	wf	2	15	33	65536	124497	0	256	243.570	220	761	450.688	410	2975
recovered	wf	4	15	33	65536	124497	0	256	319.172	220	13551	525.227	410	13891
shared	wf	0	15	33	65536	124497	0	256	225.109	220	300	389.762	380	551
shared	wf	2	15	33	65536	124497	0	256	233.000	220	681	398.484	390	851
shared	wf	4	15	33	65536	124497	0	256	225.340	220	311	392.996	380	551
weak	direct	0	15	33	65536	124497	0	256	424.215	210	16925	534.004	290	17085
weak	lanes4	0	15	33	65536	124497	0	256	95.219	90	140	172.641	170	281
weak	lanes8	0	15	33	65536	124497	0	256	81.137	80	231	158.203	150	351
weak	lanes16	0	15	33	65536	124497	0	256	72.844	70	121	149.645	140	240
recovered	wf	0	15	33	65536	124497	1	256	276.703	220	2514	488.672	410	2885
weak	wf	0	15	33	65536	124497	1	256	226.785	220	301	411.672	400	611
shared	wf	4	15	33	4096	124497	1	256	226.324	220	300	391.445	380	601
shared	wf	2	15	33	4096	124497	1	256	227.215	220	310	392.824	390	571
shared	wf	0	15	33	4096	124497	1	256	247.988	220	2413	422.438	380	2754
recovered	wf	4	15	33	4096	124497	1	256	224.211	220	341	413.141	410	631
recovered	wf	2	15	33	4096	124497	1	256	225.352	220	321	415.066	410	591
recovered	wf	0	15	33	4096	124497	1	256	352.367	220	17527	563.953	410	17867
weak	wf	0	15	33	4096	124497	1	256	225.141	220	330	409.707	400	631
shared	wf	4	15	33	257	124497	1	256	388.250	301	431	636.496	500	751
shared	wf	2	15	33	257	124497	1	256	224.738	220	311	389.355	380	561
shared	wf	0	15	33	257	124497	1	256	404.676	310	1663	668.125	541	2393
recovered	wf	4	15	33	257	124497	1	256	227.484	220	331	416.156	410	621
recovered	wf	2	15	33	257	124497	1	256	399.258	330	541	687.125	621	961
recovered	wf	0	15	33	257	124497	1	256	228.023	220	330	496.895	410	21071
weak	wf	0	15	33	257	124497	1	256	226.738	220	310	411.969	400	650
weak	lanes16	0	15	33	65536	124497	1	256	73.668	70	120	150.426	140	271
weak	lanes8	0	15	33	65536	124497	1	256	89.203	70	320	183.133	150	2784
weak	lanes4	0	15	33	65536	124497	1	256	178.781	90	21071	258.051	170	21191
weak	direct	0	15	33	65536	124497	1	256	213.570	210	251	290.871	280	391
shared	wf	4	15	33	65536	124497	1	256	392.223	310	600	745.359	510	25869
shared	wf	2	15	33	65536	124497	1	256	226.828	220	310	392.754	380	561
shared	wf	0	15	33	65536	124497	1	256	399.414	311	1362	661.867	520	2093
recovered	wf	4	15	33	65536	124497	1	256	225.641	220	571	510.598	410	24747
recovered	wf	2	15	33	65536	124497	1	256	394.418	321	511	681.711	571	901
recovered	wf	2	15	33	257	124497	2	256	257.141	250	371	447.109	440	671
recovered	wf	4	15	33	257	124497	2	256	229.680	220	341	417.645	410	621
shared	wf	0	15	33	257	124497	2	256	387.828	301	461	638.211	511	841
shared	wf	2	15	33	257	124497	2	256	385.340	301	641	635.441	510	931
shared	wf	4	15	33	257	124497	2	256	226.805	220	311	391.672	381	581
weak	wf	0	15	33	4096	124497	2	256	374.473	300	601	662.402	551	901
recovered	wf	0	15	33	4096	124497	2	256	227.055	220	310	415.191	410	601
recovered	wf	2	15	33	4096	124497	2	256	236.289	220	2804	425.449	401	3025
recovered	wf	4	15	33	4096	124497	2	256	310.312	220	21522	498.559	410	21763
shared	wf	0	15	33	4096	124497	2	256	389.398	310	491	643.051	501	882
shared	wf	2	15	33	4096	124497	2	256	226.230	220	320	391.828	381	571
shared	wf	4	15	33	4096	124497	2	256	226.590	220	291	391.234	380	551
weak	wf	0	15	33	65536	124497	2	256	251.773	220	671	460.215	400	2734
recovered	wf	0	15	33	65536	124497	2	256	224.711	220	321	412.930	410	601
recovered	wf	2	15	33	65536	124497	2	256	226.113	220	330	414.879	410	611
recovered	wf	4	15	33	65536	124497	2	256	227.480	220	310	416.672	410	601
shared	wf	0	15	33	65536	124497	2	256	383.969	310	451	633.859	501	871
shared	wf	2	15	33	65536	124497	2	256	388.770	300	440	641.309	511	772
shared	wf	4	15	33	65536	124497	2	256	225.648	220	301	391.676	390	531
weak	direct	0	15	33	65536	124497	2	256	333.633	210	581	438.574	290	671
weak	lanes4	0	15	33	65536	124497	2	256	98.578	90	151	176.750	170	271
weak	lanes8	0	15	33	65536	124497	2	256	81.629	80	221	159.254	150	341
weak	lanes16	0	15	33	65536	124497	2	256	79.828	70	440	176.309	140	2724
weak	wf	0	15	33	257	124497	2	256	225.059	220	320	410.609	400	661
recovered	wf	0	15	33	257	124497	2	256	237.148	220	671	431.387	410	1192
shared	wf	4	15	33	4096	124497	3	256	251.312	220	2994	497.852	380	19379
shared	wf	2	15	33	4096	124497	3	256	225.145	220	300	390.922	380	571
shared	wf	0	15	33	4096	124497	3	256	331.852	220	851	567.457	380	3305
recovered	wf	4	15	33	4096	124497	3	256	224.859	220	341	415.051	410	610
recovered	wf	2	15	33	4096	124497	3	256	411.074	331	661	699.355	621	962
recovered	wf	0	15	33	4096	124497	3	256	227.793	220	320	415.809	410	581
weak	wf	0	15	33	4096	124497	3	256	226.238	220	321	415.262	410	611
shared	wf	4	15	33	257	124497	3	256	226.844	220	390	394.535	380	752
shared	wf	2	15	33	257	124497	3	256	225.418	220	331	389.496	380	581
shared	wf	0	15	33	257	124497	3	256	395.578	340	480	653.137	560	861
recovered	wf	4	15	33	257	124497	3	256	224.746	220	340	414.074	410	621
recovered	wf	2	15	33	257	124497	3	256	224.625	220	331	417.672	410	861
recovered	wf	0	15	33	257	124497	3	256	227.531	220	331	416.281	410	601
weak	wf	0	15	33	257	124497	3	256	246.492	220	481	439.199	400	881
weak	lanes16	0	15	33	65536	124497	3	256	94.766	80	170	202.457	170	381
weak	lanes8	0	15	33	65536	124497	3	256	80.207	70	231	156.410	150	361
weak	lanes4	0	15	33	65536	124497	3	256	101.438	90	210	180.348	170	411
weak	direct	0	15	33	65536	124497	3	256	240.117	210	2453	324.066	280	2583
shared	wf	4	15	33	65536	124497	3	256	257.020	220	751	510.332	380	14251
shared	wf	2	15	33	65536	124497	3	256	225.883	220	291	391.836	380	561
shared	wf	0	15	33	65536	124497	3	256	225.250	220	300	389.363	380	561
recovered	wf	4	15	33	65536	124497	3	256	223.375	220	310	411.199	400	611
recovered	wf	2	15	33	65536	124497	3	256	224.828	220	321	414.180	410	611
recovered	wf	0	15	33	65536	124497	3	256	229.473	220	430	422.430	410	1182
weak	wf	0	15	33	65536	124497	3	256	242.164	220	601	432.203	400	951
shared	wf	0	15	33	257	124497	4	256	227.371	220	320	391.629	380	571
shared	wf	2	15	33	257	124497	4	256	226.898	220	290	391.195	380	541
shared	wf	4	15	33	257	124497	4	256	390.426	310	421	644.309	521	761
weak	wf	0	15	33	4096	124497	4	256	404.559	341	461	701.355	641	922
recovered	wf	0	15	33	4096	124497	4	256	226.391	220	321	415.316	410	601
recovered	wf	2	15	33	4096	124497	4	256	237.434	220	531	492.438	410	14902
recovered	wf	4	15	33	4096	124497	4	256	224.477	220	321	413.277	410	611
shared	wf	0	15	33	4096	124497	4	256	473.637	310	22554	725.219	511	22844
shared	wf	2	15	33	4096	124497	4	256	385.910	300	491	635.125	501	821
shared	wf	4	15	33	4096	124497	4	256	400.820	310	1953	662.672	510	2434
weak	wf	0	15	33	65536	124497	4	256	224.512	220	310	403.609	400	581
recovered	wf	0	15	33	65536	124497	4	256	227.328	220	330	416.242	410	601
recovered	wf	2	15	33	65536	124497	4	256	231.836	220	581	488.043	410	16505
recovered	wf	4	15	33	65536	124497	4	256	227.715	220	341	420.195	410	631
shared	wf	0	15	33	65536	124497	4	256	382.113	301	451	630.824	510	791
shared	wf	2	15	33	65536	124497	4	256	225.137	220	310	391.191	380	561
shared	wf	4	15	33	65536	124497	4	256	240.785	220	2564	411.902	380	3054
weak	direct	0	15	33	65536	124497	4	256	383.844	350	430	499.406	460	620
weak	lanes4	0	15	33	65536	124497	4	256	99.223	90	161	176.789	170	301
weak	lanes8	0	15	33	65536	124497	4	256	85.996	70	271	167.219	150	431
weak	lanes16	0	15	33	65536	124497	4	256	72.141	70	130	148.625	140	260
weak	wf	0	15	33	257	124497	4	256	225.801	220	331	410.730	400	631
recovered	wf	0	15	33	257	124497	4	256	225.062	220	381	416.777	410	691
recovered	wf	2	15	33	257	124497	4	256	225.023	220	321	414.125	410	601
recovered	wf	4	15	33	257	124497	4	256	242.375	220	461	442.762	410	911
recovered	wf	0	15	4097	257	132416	0	130	27710.923	24506	57205	54383.962	48732	90144
recovered	wf	2	15	4097	257	132416	0	130	24702.300	23565	79158	67164.438	63584	122732
recovered	wf	4	15	4097	257	132416	0	130	19892.508	17826	129102	66768.700	59949	166728
shared	wf	0	15	4097	257	132416	0	130	46463.823	41041	68782	89988.054	79208	165787
shared	wf	2	15	4097	257	132416	0	130	32318.254	24447	49704	73400.923	63244	94230
shared	wf	4	15	4097	257	132416	0	130	31139.985	18833	125241	75432.838	43665	173002
weak	wf	0	15	4097	4096	132416	0	130	34549.215	23104	137204	51699.977	34811	158836
recovered	wf	0	15	4097	4096	132416	0	130	26353.200	23074	49133	42351.769	37606	79298
recovered	wf	2	15	4097	4096	132416	0	130	23195.246	22453	45488	46471.646	45197	68502
recovered	wf	4	15	4097	4096	132416	0	130	25064.200	22574	86008	49689.277	45497	152146
shared	wf	0	15	4097	4096	132416	0	130	32136.600	23345	103704	46468.308	34301	114771
shared	wf	2	15	4097	4096	132416	0	130	24956.108	22454	142171	43534.877	40070	153449
shared	wf	4	15	4097	4096	132416	0	130	25540.554	22324	70345	47359.385	40450	98086
weak	wf	0	15	4097	65536	132416	0	130	41217.423	23475	117535	58876.477	33179	135742
recovered	wf	0	15	4097	65536	132416	0	130	27853.054	23235	101080	41404.900	35563	115071
recovered	wf	2	15	4097	65536	132416	0	130	24126.431	23235	52568	36953.369	35573	67100
recovered	wf	4	15	4097	65536	132416	0	130	27722.308	23234	58417	41924.446	35562	77185
shared	wf	0	15	4097	65536	132416	0	130	24456.062	23465	77815	34084.054	31567	87390
shared	wf	2	15	4097	65536	132416	0	130	30624.392	23325	55292	40788.362	31377	70866
shared	wf	4	15	4097	65536	132416	0	130	32706.877	23264	58948	44514.215	31316	132066
weak	direct	0	15	4097	65536	132416	0	130	25868.177	22744	59539	27617.062	24427	61381
weak	lanes4	0	15	4097	65536	132416	0	130	11225.554	9044	40810	13359.892	10766	42924
weak	lanes8	0	15	4097	65536	132416	0	130	5436.923	5078	23174	7267.692	6760	25127
weak	lanes16	0	15	4097	65536	132416	0	130	5034.646	4106	7491	7001.131	5789	24266
weak	wf	0	15	4097	257	132416	0	130	25298.077	24476	45879	48647.785	46960	80039
weak	wf	0	15	4097	65536	132416	1	130	27712.338	23465	47721	40434.238	32969	177884
shared	wf	4	15	4097	4096	132416	1	130	25803.992	22193	50024	46973.146	40901	81091
shared	wf	2	15	4097	4096	132416	1	130	33274.962	22689	77556	52081.638	33990	101401
shared	wf	0	15	4097	4096	132416	1	130	32148.538	23565	120840	46653.746	34532	140610
recovered	wf	4	15	4097	4096	132416	1	130	25416.885	22653	119999	49019.900	41843	134941
recovered	wf	2	15	4097	4096	132416	1	130	23859.115	22433	140188	47032.192	45257	163303
recovered	wf	0	15	4097	4096	132416	1	130	27138.500	23064	56574	43152.962	37616	77825
weak	wf	0	15	4097	4096	132416	1	130	24447.054	23064	83043	37010.008	34771	105847
shared	wf	4	15	4097	257	132416	1	130	30955.900	19223	129713	74597.977	43685	175861
shared	wf	2	15	4097	257	132416	1	130	33094.662	24456	63705	72868.962	46359	106559
shared	wf	0	15	4097	257	132416	1	130	25483.354	24206	46299	48973.846	45638	90965
recovered	wf	4	15	4097	257	132416	1	130	27300.662	18016	759320	74508.062	61261	795984
recovered	wf	2	15	4097	257	132416	1	130	24393.123	23555	46669	68075.108	63805	100210
recovered	wf	0	15	4097	257	132416	1	130	27200.100	24506	76624	53919.092	48742	150854
weak	wf	0	15	4097	257	132416	1	130	25492.369	24487	49083	48782.200	46919	85888
weak	lanes16	0	15	4097	65536	132416	1	130	5405.908	4116	18437	7355.846	5819	20461
weak	lanes8	0	15	4097	65536	132416	1	130	5998.985	5849	7861	7958.431	7552	30906
weak	lanes4	0	15	4097	65536	132416	1	130	12628.638	7281	561315	14449.262	9003	563778
weak	direct	0	15	4097	65536	132416	1	130	23378.700	22644	55904	25184.654	24326	57756
shared	wf	4	15	4097	65536	132416	1	130	28337.900	23285	109363	38042.700	31347	118957
shared	wf	2	15	4097	65536	132416	1	130	34389.385	23384	137575	45868.485	31426	151986
shared	wf	0	15	4097	65536	132416	1	130	41109.315	23395	112838	54383.754	31467	121841
recovered	wf	4	15	4097	65536	132416	1	130	28872.931	23745	56504	43025.462	36093	77866
recovered	wf	2	15	4097	65536	132416	1	130	24251.608	23435	48673	36734.331	35814	61251
recovered	wf	0	15	4097	65536	132416	1	130	26762.269	23265	62112	40660.362	35633	78577
recovered	wf	4	15	4097	257	132416	2	130	20345.377	18097	171916	67992.138	61331	224123
shared	wf	0	15	4097	257	132416	2	130	27018.608	24246	88752	51164.238	45678	127900
shared	wf	2	15	4097	257	132416	2	130	31937.769	25207	56695	70572.146	60350	101722
shared	wf	4	15	4097	257	132416	2	130	26985.585	16030	124615	70883.923	57495	182978
weak	wf	0	15	4097	4096	132416	2	130	27414.269	23134	48181	41773.738	34872	71646
recovered	wf	0	15	4097	4096	132416	2	130	24197.508	23185	43394	39654.323	37726	67411
recovered	wf	2	15	4097	4096	132416	2	130	23653.469	22433	139598	47066.662	45307	162872
recovered	wf	4	15	4097	4096	132416	2	130	25898.623	22223	121000	49816.846	44877	135822
shared	wf	0	15	4097	4096	132416	2	130	27763.669	23185	83334	40313.408	34141	94351
shared	wf	2	15	4097	4096	132416	2	130	24909.931	22724	59258	43747.669	40480	84941
shared	wf	4	15	4097	4096	132416	2	130	27204.215	22464	57014	45227.631	34041	76875
weak	wf	0	15	4097	65536	132416	2	130	26075.523	23224	54061	37659.315	32729	70485
recovered	wf	0	15	4097	65536	132416	2	130	23930.431	23264	42664	36995.969	35593	82803
recovered	wf	2	15	4097	65536	132416	2	130	40327.423	23245	63885	64700.631	35593	877806
recovered	wf	4	15	4097	65536	132416	2	130	26601.900	23454	53930	40075.469	34982	73099
shared	wf	0	15	4097	65536	132416	2	130	26835.538	23305	69874	37245.631	31426	77996
shared	wf	2	15	4097	65536	132416	2	130	43483.531	23315	162432	57493.446	31366	177103
shared	wf	4	15	4097	65536	132416	2	130	31575.754	23285	123974	42413.446	31327	137715
weak	direct	0	15	4097	65536	132416	2	130	31259.269	22874	59428	33335.108	24537	61391
weak	lanes4	0	15	4097	65536	132416	2	130	9996.646	8072	26630	11877.208	9755	28543
weak	lanes8	0	15	4097	65536	132416	2	130	6567.446	6210	29705	8343.208	7882	31477
weak	lanes16	0	15	4097	65536	132416	2	130	5350.985	4596	8693	7314.200	6269	22313
weak	wf	0	15	4097	257	132416	2	130	26093.638	24467	63505	50402.038	46980	87621
recovered	wf	0	15	4097	257	132416	2	130	27909.200	24496	84806	54217.792	48702	109563
recovered	wf	2	15	4097	257	132416	2	130	24659.354	23575	58357	67839.177	63715	103884
shared	wf	2	15	4097	4096	132416	3	130	26983.269	19319	108621	49900.092	39879	141601
shared	wf	0	15	4097	4096	132416	3	130	28818.931	23115	68522	42909.938	34071	144545
recovered	wf	4	15	4097	4096	132416	3	130	33512.608	22133	821001	57870.877	45528	835833
recovered	wf	2	15	4097	4096	132416	3	130	32635.546	20080	136734	57729.954	38788	159157
recovered	wf	0	15	4097	4096	132416	3	130	37580.146	23125	60650	57913.400	37696	84086
weak	wf	0	15	4097	4096	132416	3	130	23474.100	23074	37867	35632.408	34772	56044
shared	wf	4	15	4097	257	132416	3	130	28238.300	24717	47741	68774.146	46730	156493
shared	wf	2	15	4097	257	132416	3	130	31443.615	18337	61922	73458.085	42483	154961
shared	wf	0	15	4097	257	132416	3	130	44635.877	24226	61702	85731.123	45678	177364
recovered	wf	4	15	4097	257	132416	3	130	20669.669	13941	44466	68269.469	46619	226247
recovered	wf	2	15	4097	257	132416	3	130	24338.815	23585	38106	68939.931	63775	83404
recovered	wf	0	15	4097	257	132416	3	130	25545.831	24496	51417	51170.277	48753	101521
weak	wf	0	15	4097	257	132416	3	130	45585.777	24617	61161	86358.769	47080	107190
weak	lanes16	0	15	4097	65536	132416	3	130	5415.692	4126	23365	7272.777	5818	25237
weak	lanes8	0	15	4097	65536	132416	3	130	5443.669	5108	24686	7224.015	6790	30396
weak	lanes4	0	15	4097	65536	132416	3	130	9643.638	7691	11367	11505.669	9374	13340
weak	direct	0	15	4097	65536	132416	3	130	23295.185	22714	41382	25214.592	24387	43575
shared	wf	4	15	4097	65536	132416	3	130	27714.023	23515	44116	38593.254	31577	122813
shared	wf	2	15	4097	65536	132416	3	130	35929.992	23915	125727	48506.469	31977	148360
shared	wf	0	15	4097	65536	132416	3	130	39241.677	23515	115481	52390.877	31597	131025
recovered	wf	4	15	4097	65536	132416	3	130	28512.462	23485	53619	42684.346	35804	88952
recovered	wf	2	15	4097	65536	132416	3	130	25679.900	23345	45358	39301.362	35683	84936
recovered	wf	0	15	4097	65536	132416	3	130	24734.154	23665	58036	37449.246	35863	70605
weak	wf	0	15	4097	65536	132416	3	130	27649.869	23224	54922	39494.792	32709	81782
shared	wf	4	15	4097	4096	132416	3	130	25770.977	22193	47090	46026.577	40971	93759
shared	wf	2	15	4097	257	132416	4	130	34129.177	24617	96989	75090.992	63765	138020
shared	wf	4	15	4097	257	132416	4	130	33394.923	19679	656682	77394.738	58282	691152
weak	wf	0	15	4097	4096	132416	4	130	25257.415	23074	72909	37986.477	34772	107309
recovered	wf	0	15	4097	4096	132416	4	130	25874.746	23104	71116	42115.931	37646	99188
recovered	wf	2	15	4097	4096	132416	4	130	22816.523	22443	34751	46041.862	45167	58897
recovered	wf	4	15	4097	4096	132416	4	130	24382.808	22444	68402	48254.769	42283	91676
shared	wf	0	15	4097	4096	132416	4	130	26481.946	23105	121491	38977.192	34051	132637
shared	wf	2	15	4097	4096	132416	4	130	28445.331	23024	94240	41508.731	33971	105738
shared	wf	4	15	4097	4096	132416	4	130	26706.331	22473	192771	46964.231	40190	209016
weak	wf	0	15	4097	65536	132416	4	130	32854.169	23235	125407	46914.208	32708	143844
recovered	wf	0	15	4097	65536	132416	4	130	27474.323	23234	52849	41999.215	35583	88511
recovered	wf	2	15	4097	65536	132416	4	130	26708.415	23445	55763	40500.323	35803	73399
recovered	wf	4	15	4097	65536	132416	4	130	27088.423	23265	50926	41012.108	35613	84345
shared	wf	0	15	4097	65536	132416	4	130	28173.492	23295	54881	37461.623	31366	69904
shared	wf	2	15	4097	65536	132416	4	130	38753.292	23364	123293	51634.185	31446	137585
shared	wf	4	15	4097	65536	132416	4	130	33555.577	23274	54982	45488.177	31337	74601
weak	direct	0	15	4097	65536	132416	4	130	23445.992	22985	42473	25148.792	24666	44226
weak	lanes4	0	15	4097	65536	132416	4	130	11310.300	9815	29023	13702.946	11838	32689
weak	lanes8	0	15	4097	65536	132416	4	130	8578.400	8072	26399	10765.515	9905	28222
weak	lanes16	0	15	4097	65536	132416	4	130	4215.938	4116	5258	6152.808	5808	27981
weak	wf	0	15	4097	257	132416	4	130	28269.692	24467	68653	53001.238	46870	108571
recovered	wf	0	15	4097	257	132416	4	130	25613.585	24526	62814	50499.838	48713	87530
recovered	wf	2	15	4097	257	132416	4	130	28120.769	23616	57285	72490.338	49814	155712
recovered	wf	4	15	4097	257	132416	4	130	20183.977	18017	36684	67428.354	60339	174480
shared	wf	0	15	4097	257	132416	4	130	25328.908	24176	66899	47493.162	45598	88682
recovered	wf	2	15	262144	257	140335	0	4	1597581.500	1581944	1604376	4467007.750	4382029	4556238
recovered	wf	4	15	262144	257	140335	0	4	1141758.750	1044655	1329127	4107778.500	3998178	4318324
shared	wf	0	15	262144	257	140335	0	4	1804860.250	1620832	2334063	4821728.000	4552702	5380685
shared	wf	2	15	262144	257	140335	0	4	1199063.750	1133977	1363453	6393841.500	4190339	7982249
shared	wf	4	15	262144	257	140335	0	4	1305454.500	1179109	1456517	5724936.250	3964863	7659344
weak	wf	0	15	262144	4096	140335	0	4	1549823.000	1508244	1602334	3452663.750	3400649	3500627
recovered	wf	0	15	262144	4096	140335	0	4	1572574.250	1531147	1604016	3441537.250	3382562	3507658
recovered	wf	2	15	262144	4096	140335	0	4	1506799.000	1492871	1524547	3447879.250	3414560	3504874
recovered	wf	4	15	262144	4096	140335	0	4	1092918.500	1014269	1273915	3083294.000	2997319	3206670
shared	wf	0	15	262144	4096	140335	0	4	1628434.750	1534282	1854248	3831487.500	3412487	5074359
shared	wf	2	15	262144	4096	140335	0	4	1523961.000	1488059	1587587	3675575.750	3395236	4340252
