tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,hit,a_raw,measure,6,1048576,0,1.897811890,2371037600568003287,0,0,0,8704,0,4096,0.001990000
L1,8,512,0.500,hit,b_tag,measure,6,1048576,0,1.822471619,2371037600568003287,0,0,0,12800,0,4096,0.001911000
L1,8,512,0.500,hit,c_box,measure,6,1048576,0,1.635551453,2371037600568003287,0,0,0,4608,4096,4096,0.001715000
L1,8,512,0.500,hit,d_folded,measure,7,1048576,0,1.808166504,11950144950082737529,0,0,0,8704,0,4096,0.001896000
L1,8,512,0.500,hit,c_box,measure,7,1048576,0,1.643180847,11950144950082737529,0,0,0,4608,4096,4096,0.001723000
L1,8,512,0.500,hit,b_tag,measure,7,1048576,0,1.757621765,11950144950082737529,0,0,0,12800,0,4096,0.001843000
L1,8,512,0.500,hit,a_raw,measure,7,1048576,0,1.791954041,11950144950082737529,0,0,0,8704,0,4096,0.001879000
L1,8,512,0.500,hit,e_proved,measure,7,1048576,0,1.768112183,11950144950082737529,0,0,0,12800,0,4096,0.001854000
L1,8,512,0.500,hit,a_raw,measure,8,1048576,0,1.792907715,10874272069140654957,0,0,0,8704,0,4096,0.001880000
L1,8,512,0.500,hit,b_tag,measure,8,1048576,0,1.755714417,10874272069140654957,0,0,0,12800,0,4096,0.001841000
L1,8,512,0.500,hit,c_box,measure,8,1048576,0,1.646041870,10874272069140654957,0,0,0,4608,4096,4096,0.001726000
L1,8,512,0.500,hit,d_folded,measure,8,1048576,0,1.804351807,10874272069140654957,0,0,0,8704,0,4096,0.001892000
L1,8,512,0.500,hit,e_proved,measure,8,1048576,0,1.749992371,10874272069140654957,0,0,0,12800,0,4096,0.001835000
L1,8,512,0.500,hit,a_raw,measure,9,1048576,0,1.793861389,10751689303962627004,0,0,0,8704,0,4096,0.001881000
L1,8,512,0.500,hit,e_proved,measure,9,1048576,0,1.740455627,10751689303962627004,0,0,0,12800,0,4096,0.001825000
L1,8,512,0.500,hit,d_folded,measure,9,1048576,0,1.791954041,10751689303962627004,0,0,0,8704,0,4096,0.001879000
L1,8,512,0.500,hit,c_box,measure,9,1048576,0,1.636505127,10751689303962627004,0,0,0,4608,4096,4096,0.001716000
L1,8,512,0.500,hit,b_tag,measure,9,1048576,0,1.757621765,10751689303962627004,0,0,0,12800,0,4096,0.001843000
L1,8,512,0.500,hit,c_box,measure,10,1048576,0,1.633644104,9111171034393252305,0,0,0,4608,4096,4096,0.001713000
L1,8,512,0.500,hit,d_folded,measure,10,1048576,0,1.921653748,9111171034393252305,0,0,1,8704,0,4096,0.002015000
L1,8,512,0.500,hit,e_proved,measure,10,1048576,0,1.752853394,9111171034393252305,0,0,0,12800,0,4096,0.001838000
L1,8,512,0.500,hit,a_raw,measure,10,1048576,0,1.804351807,9111171034393252305,0,0,0,8704,0,4096,0.001892000
L1,8,512,0.500,hit,b_tag,measure,10,1048576,0,1.753807068,9111171034393252305,0,0,0,12800,0,4096,0.001839000
L1,8,512,0.500,hit,c_box,measure,11,1048576,0,1.660346985,9788455984019123753,0,0,0,4608,4096,4096,0.001741000
L1,8,512,0.500,hit,b_tag,measure,11,1048576,0,1.751899719,9788455984019123753,0,0,0,12800,0,4096,0.001837000
L1,8,512,0.500,hit,a_raw,measure,11,1048576,0,1.824378967,9788455984019123753,0,0,1,8704,0,4096,0.001913000
L1,8,512,0.500,hit,e_proved,measure,11,1048576,0,1.741409302,9788455984019123753,0,0,0,12800,0,4096,0.001826000
L1,8,512,0.500,hit,d_folded,measure,11,1048576,0,1.791000366,9788455984019123753,0,0,0,8704,0,4096,0.001878000
L1,8,512,0.500,miss,a_raw,warmup,0,1048576,0,1.800537109,6238072747940578789,0,0,0,8704,0,4096,0.001888000
L1,8,512,0.500,miss,b_tag,warmup,0,1048576,0,1.817703247,6238072747940578789,0,0,0,12800,0,4096,0.001906000
L1,8,512,0.500,miss,c_box,warmup,0,1048576,0,1.846313477,6238072747940578789,0,0,0,4608,4096,4096,0.001936000
L1,8,512,0.500,miss,d_folded,warmup,0,1048576,0,1.613616943,6238072747940578789,0,0,0,8704,0,4096,0.001692000
L1,8,512,0.500,miss,e_proved,warmup,0,1048576,0,1.605987549,6238072747940578789,0,0,0,12800,0,4096,0.001684000
L1,8,512,0.500,miss,a_raw,warmup,1,1048576,0,1.797676086,15839785061582574730,0,0,0,8704,0,4096,0.001885000
L1,8,512,0.500,miss,e_proved,warmup,1,1048576,0,1.596450806,15839785061582574730,0,0,0,12800,0,4096,0.001674000
L1,8,512,0.500,miss,d_folded,warmup,1,1048576,0,1.596450806,15839785061582574730,0,0,0,8704,0,4096,0.001674000
L1,8,512,0.500,miss,c_box,warmup,1,1048576,0,1.802444458,15839785061582574730,0,0,0,4608,4096,4096,0.001890000
L1,8,512,0.500,miss,b_tag,warmup,1,1048576,0,1.796722412,15839785061582574730,0,0,0,12800,0,4096,0.001884000
L1,8,512,0.500,miss,c_box,measure,0,1048576,0,1.806259155,2185194620014831856,0,0,0,4608,4096,4096,0.001894000
L1,8,512,0.500,miss,d_folded,measure,0,1048576,0,1.604080200,2185194620014831856,0,0,0,8704,0,4096,0.001682000
L1,8,512,0.500,miss,e_proved,measure,0,1048576,0,1.596450806,2185194620014831856,0,0,0,12800,0,4096,0.001674000
L1,8,512,0.500,miss,a_raw,measure,0,1048576,0,1.800537109,2185194620014831856,0,0,0,8704,0,4096,0.001888000
L1,8,512,0.500,miss,b_tag,measure,0,1048576,0,1.798629761,2185194620014831856,0,0,0,12800,0,4096,0.001886000
L1,8,512,0.500,miss,c_box,measure,1,1048576,0,1.797676086,13232826040865663252,0,0,0,4608,4096,4096,0.001885000
L1,8,512,0.500,miss,b_tag,measure,1,1048576,0,1.795768738,13232826040865663252,0,0,0,12800,0,4096,0.001883000
L1,8,512,0.500,miss,a_raw,measure,1,1048576,0,1.812934875,13232826040865663252,0,0,0,8704,0,4096,0.001901000
L1,8,512,0.500,miss,e_proved,measure,1,1048576,0,1.596450806,13232826040865663252,0,0,0,12800,0,4096,0.001674000
L1,8,512,0.500,miss,d_folded,measure,1,1048576,0,1.610755920,13232826040865663252,0,0,0,8704,0,4096,0.001689000
L1,8,512,0.500,miss,e_proved,measure,2,1048576,0,1.622200012,13168350753275463132,0,0,0,12800,0,4096,0.001701000
L1,8,512,0.500,miss,a_raw,measure,2,1048576,0,1.797676086,13168350753275463132,0,0,0,8704,0,4096,0.001885000
L1,8,512,0.500,miss,b_tag,measure,2,1048576,0,1.795768738,13168350753275463132,0,0,0,12800,0,4096,0.001883000
L1,8,512,0.500,miss,c_box,measure,2,1048576,0,1.798629761,13168350753275463132,0,0,0,4608,4096,4096,0.001886000
L1,8,512,0.500,miss,d_folded,measure,2,1048576,0,1.636505127,13168350753275463132,0,0,0,8704,0,4096,0.001716000
L1,8,512,0.500,miss,e_proved,measure,3,1048576,0,1.711845398,15093541023163888492,0,0,2,12800,0,4096,0.001795000
L1,8,512,0.500,miss,d_folded,measure,3,1048576,0,1.688003540,15093541023163888492,0,0,0,8704,0,4096,0.001770000
L1,8,512,0.500,miss,c_box,measure,3,1048576,0,1.829147339,15093541023163888492,0,0,0,4608,4096,4096,0.001918000
L1,8,512,0.500,miss,b_tag,measure,3,1048576,0,1.800537109,15093541023163888492,0,0,0,12800,0,4096,0.001888000
L1,8,512,0.500,miss,a_raw,measure,3,1048576,0,1.800537109,15093541023163888492,0,0,0,8704,0,4096,0.001888000
L1,8,512,0.500,miss,b_tag,measure,4,1048576,0,1.818656921,1346066267577507604,0,0,0,12800,0,4096,0.001907000
L1,8,512,0.500,miss,c_box,measure,4,1048576,0,1.807212830,1346066267577507604,0,0,0,4608,4096,4096,0.001895000
L1,8,512,0.500,miss,d_folded,measure,4,1048576,0,1.622200012,1346066267577507604,0,0,0,8704,0,4096,0.001701000
L1,8,512,0.500,miss,e_proved,measure,4,1048576,0,1.652717590,1346066267577507604,0,0,0,12800,0,4096,0.001733000
L1,8,512,0.500,miss,a_raw,measure,4,1048576,0,1.914024353,1346066267577507604,0,0,3,8704,0,4096,0.002007000
L1,8,512,0.500,miss,b_tag,measure,5,1048576,0,1.797676086,15378420243238726120,0,0,0,12800,0,4096,0.001885000
L1,8,512,0.500,miss,a_raw,measure,5,1048576,0,1.796722412,15378420243238726120,0,0,0,8704,0,4096,0.001884000
L1,8,512,0.500,miss,e_proved,measure,5,1048576,0,1.644134521,15378420243238726120,0,0,0,12800,0,4096,0.001724000
L1,8,512,0.500,miss,d_folded,measure,5,1048576,0,1.599311829,15378420243238726120,0,0,0,8704,0,4096,0.001677000
L1,8,512,0.500,miss,c_box,measure,5,1048576,0,1.832008362,15378420243238726120,0,0,1,4608,4096,4096,0.001921000
L1,8,512,0.500,miss,d_folded,measure,6,1048576,0,1.610755920,9398003893131893463,0,0,0,8704,0,4096,0.001689000
L1,8,512,0.500,miss,e_proved,measure,6,1048576,0,1.596450806,9398003893131893463,0,0,0,12800,0,4096,0.001674000
L1,8,512,0.500,miss,a_raw,measure,6,1048576,0,1.844406128,9398003893131893463,0,0,0,8704,0,4096,0.001934000
L1,8,512,0.500,miss,b_tag,measure,6,1048576,0,1.829147339,9398003893131893463,0,0,0,12800,0,4096,0.001918000
L1,8,512,0.500,miss,c_box,measure,6,1048576,0,1.797676086,9398003893131893463,0,0,0,4608,4096,4096,0.001885000
L1,8,512,0.500,miss,d_folded,measure,7,1048576,0,1.605987549,530445201382180217,0,0,0,8704,0,4096,0.001684000
L1,8,512,0.500,miss,c_box,measure,7,1048576,0,1.889228821,530445201382180217,0,0,0,4608,4096,4096,0.001981000
L1,8,512,0.500,miss,b_tag,measure,7,1048576,0,1.895904541,530445201382180217,0,0,0,12800,0,4096,0.001988000
L1,8,512,0.500,miss,a_raw,measure,7,1048576,0,1.882553101,530445201382180217,0,0,0,8704,0,4096,0.001974000
L1,8,512,0.500,miss,e_proved,measure,7,1048576,0,1.670837402,530445201382180217,0,0,0,12800,0,4096,0.001752000
L1,8,512,0.500,miss,a_raw,measure,8,1048576,0,1.880645752,3774817245553408877,0,0,0,8704,0,4096,0.001972000
L1,8,512,0.500,miss,b_tag,measure,8,1048576,0,1.883506775,3774817245553408877,0,0,0,12800,0,4096,0.001975000
