tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,hit,a_raw,measure,6,1048576,0,1.792470932,2371037600568003287,0,0,0,8704,0,4096,0.001879542
L1,8,512,0.500,hit,b_tag,measure,6,1048576,0,1.754203796,2371037600568003287,0,0,0,12800,0,4096,0.001839416
L1,8,512,0.500,hit,c_box,measure,6,1048576,0,1.641353607,2371037600568003287,0,0,0,4608,4096,4096,0.001721084
L1,8,512,0.500,hit,d_folded,measure,7,1048576,0,1.791913986,11950144950082737529,0,0,0,8704,0,4096,0.001878958
L1,8,512,0.500,hit,c_box,measure,7,1048576,0,1.639644623,11950144950082737529,0,0,0,4608,4096,4096,0.001719292
L1,8,512,0.500,hit,b_tag,measure,7,1048576,0,1.752814293,11950144950082737529,0,0,0,12800,0,4096,0.001837959
L1,8,512,0.500,hit,a_raw,measure,7,1048576,0,1.792311668,11950144950082737529,0,0,0,8704,0,4096,0.001879375
L1,8,512,0.500,hit,e_proved,measure,7,1048576,0,1.739938736,11950144950082737529,0,0,0,12800,0,4096,0.001824458
L1,8,512,0.500,hit,a_raw,measure,8,1048576,0,1.799702644,10874272069140654957,0,0,0,8704,0,4096,0.001887125
L1,8,512,0.500,hit,b_tag,measure,8,1048576,0,1.751343727,10874272069140654957,0,0,0,12800,0,4096,0.001836417
L1,8,512,0.500,hit,c_box,measure,8,1048576,0,1.639922142,10874272069140654957,0,0,0,4608,4096,4096,0.001719583
L1,8,512,0.500,hit,d_folded,measure,8,1048576,0,1.791913986,10874272069140654957,0,0,0,8704,0,4096,0.001878958
L1,8,512,0.500,hit,e_proved,measure,8,1048576,0,1.749317169,10874272069140654957,0,0,0,12800,0,4096,0.001834292
L1,8,512,0.500,hit,a_raw,measure,9,1048576,0,1.816391945,10751689303962627004,0,0,1,8704,0,4096,0.001904625
