study,replay,contract,payload_bytes,policy,path,count,cohort,material_band,classification,null_raw_median,null_raw_min,null_raw_max,null_normalized_median,null_normalized_min,null_normalized_max,null_swap_median,null_swap_min,null_swap_max,null_hole_median,null_hole_min,null_hole_max,ab_raw_median,ab_raw_min,ab_raw_max,ab_normalized_median,ab_normalized_min,ab_normalized_max,ab_swap_median,ab_swap_min,ab_swap_max,ab_hole_median,ab_hole_min,ab_hole_max,a_wf_swap_median,a_wf_swap_min,a_wf_swap_max,b_wf_swap_median,b_wf_swap_min,b_wf_swap_max,a_wf_hole_median,a_wf_hole_min,a_wf_hole_max,b_wf_hole_median,b_wf_hole_min,b_wf_hole_max,a_wf_median_ns,b_wf_median_ns
plain,repeat,retained,8,plain,grow-pop,256,0,0.088699878,equivalent,1.027067669,0.997023810,1.048632219,0.997023810,0.957274309,1.023500805,1.033210332,1.000000000,1.046116505,1.035891089,1.002472188,1.050617284,1.000000000,0.930232558,1.014992504,0.998498498,0.889613869,1.131127451,1.001213592,0.884073673,1.065088757,1.000000000,0.966706302,1.012315271,0.809466019,0.726977248,0.834319527,0.811366385,0.742222222,0.824242424,0.822303922,0.793103448,0.857981221,0.822303922,0.809002433,0.832718327,667000,671000
plain,repeat,retained,8,plain,grow-pop,256,1,0.088699878,equivalent,1.086696562,1.033478894,1.328313253,1.004767006,0.964813066,1.215011561,1.088699878,1.032846715,1.097472924,1.076923077,1.001180638,1.112845138,0.968345324,0.932678822,1.000000000,1.001563786,0.950788995,1.054811206,0.964539007,0.947004608,0.996323529,0.975961538,0.944315545,1.028325123,0.815602837,0.773672055,0.860294118,0.817958180,0.809002433,0.821733822,0.823891626,0.799769850,0.864532020,0.817739976,0.797604790,0.825123153,690000,668000
plain,repeat,retained,8,plain,grow-pop,4096,0,0.054006969,equivalent,1.021691974,0.992424242,1.035869565,0.995136379,0.983121388,1.004973644,1.030408341,1.001721170,1.039232781,1.018691589,0.993097498,1.036681223,1.057608696,1.001062699,1.096491228,1.010210578,0.985608901,1.045354017,1.039282664,1.013864818,1.083188908,1.054006969,1.000871840,1.099567100,0.794627383,0.785653288,0.819686411,0.806234204,0.786400000,0.832478632,0.795159896,0.788478074,0.820401046,0.795041322,0.787216828,0.821940928,917000,973000
plain,repeat,retained,8,plain,grow-pop,4096,1,0.054006969,equivalent,1.023454158,0.984309623,1.073304158,0.995136270,0.966729539,1.015594868,1.018134715,1.004219409,1.070129870,1.042571677,1.000000000,1.062660944,0.996770721,0.919678715,1.025136612,1.003078614,0.947451584,1.032249442,0.992227979,0.951827243,1.003475239,1.000871840,0.958745875,1.028620989,0.802245250,0.780984720,0.834170854,0.799653079,0.789109767,0.813529922,0.805724198,0.792894281,0.835570470,0.802065404,0.769814503,0.814236111,929000,922000
plain,repeat,retained,8,plain,heapify-pop,16,0,0.060869565,equivalent,1.003184713,0.993788820,1.057507987,1.012036343,0.996669367,1.048258646,0.997109827,0.983050847,1.008823529,1.008450704,0.994475138,1.016997167,1.034920635,1.025316456,1.050473186,1.005602770,0.990142587,1.018552730,1.031700288,1.014749263,1.041916168,1.022346369,0.997206704,1.061624650,0.923976608,0.903133903,0.946107784,0.923512748,0.908108108,0.941860465,0.884831461,0.851752022,0.907042254,0.897574124,0.854881266,0.912568306,316000,326000
plain,repeat,retained,8,plain,heapify-pop,16,1,0.060869565,equivalent,1.028481013,0.990506329,1.107255521,0.987660047,0.892885257,1.027533123,1.060869565,1.002881844,1.151862464,1.028985507,0.988732394,1.128133705,1.000000000,0.996815287,1.006309148,1.002610724,0.997455989,1.014222108,0.994236311,0.982857143,1.008875740,0.988950276,0.977207977,1.011204482,0.907514451,0.899135447,0.937869822,0.915697674,0.907246377,0.935483871,0.892655367,0.878453039,0.901734104,0.897142857,0.883656510,0.915204678,316000,315000
plain,repeat,retained,8,plain,heapify-pop,256,0,0.057023644,equivalent,0.996168582,0.968164794,1.174484053,1.000000000,0.970884358,1.150416756,0.997198880,0.983379501,1.020920502,1.002805049,0.983356449,1.036161335,1.037523452,1.024714829,1.056818182,1.014742772,0.987093278,1.125940897,1.026610644,0.921472393,1.042075736,1.036465638,0.956410256,1.058823529,0.735583685,0.653987730,0.739803094,0.738356164,0.725437416,0.763337893,0.734922861,0.683333333,0.739860140,0.738095238,0.723910172,0.743902439,527000,549000
plain,repeat,retained,8,plain,heapify-pop,256,1,0.057023644,equivalent,1.038535645,1.019157088,1.067178503,0.985216784,0.930381996,1.009607031,1.057023644,1.023513140,1.116246499,1.052112676,1.031205674,1.088888889,0.990494297,0.966542751,1.038387716,1.004368438,0.976618440,1.035499294,0.993261456,0.968834688,1.005578801,0.968406593,0.959349593,0.995821727,0.725244073,0.712737127,0.738651994,0.728412256,0.702849389,0.752433936,0.725543478,0.711354309,0.738651994,0.739007092,0.732673267,0.756643357,526000,521000
plain,repeat,retained,8,plain,heapify-pop,4096,0,0.030000000,equivalent,1.001293661,0.975155280,1.026992288,1.002819549,0.991621316,1.037020571,0.997188379,0.965548504,1.016007533,1.000940734,0.972552608,1.062675398,0.997429306,0.967701863,1.053435115,0.994627538,0.960923294,1.014226921,0.998122066,0.966302368,1.064849624,1.005639098,0.976234004,1.059433962,0.731455399,0.730418944,0.753745318,0.731021556,0.702872531,0.740810556,0.734905660,0.726423903,0.755868545,0.731385485,0.697239537,0.743935310,786000,783000
plain,repeat,retained,8,plain,heapify-pop,4096,1,0.030000000,equivalent,0.996143959,0.984848485,0.997435897,0.998758774,0.976906997,1.007738052,0.995322732,0.986072423,1.019736842,1.003745318,0.998113208,1.030188679,1.001283697,0.997435897,1.029487179,1.002221229,0.995921708,1.028517794,1.000942507,0.998129093,1.002814259,1.001883239,0.997185741,1.002822201,0.729068674,0.726847521,0.735459662,0.731455399,0.724556489,0.756120527,0.733772342,0.728893058,0.737535278,0.734463277,0.730009407,0.754699248,779000,780000
