target	suite	case	workers	variant/research	pairs	wall_median	wall_min	wall_max	cpu_median	rss_median	switches_delta_median
linux-x64	mandelbrot	5-65536	1	replica	5	1.0885	0.8902	1.2335	1.0834	0.9988	0
linux-x64	mandelbrot	6-4096	1	old	5	1.0133	1.0084	1.0166	1.0128	0.9984	0
linux-x64	mandelbrot	6-4096	1	research-off	5	1.0001	0.9986	1.0180	1.0018	1.0000	-1
linux-x64	mandelbrot	6-4096	1	replica	5	1.0051	0.9842	1.0128	1.0076	0.9984	-1
linux-x64	mandelbrot	6-65536	1	old	5	1.0001	0.9874	1.0025	1.0001	1.0000	-1
linux-x64	mandelbrot	6-65536	1	research-off	5	0.9998	0.9898	1.0038	0.9976	1.0019	3
linux-x64	mandelbrot	6-65536	1	replica	5	1.0033	0.9954	1.0040	1.0031	0.9952	2
linux-x64	fir	4096-16	2	old	5	0.8957	0.6301	1.0779	0.9442	0.9971	-84
linux-x64	fir	4096-16	2	research-off	5	0.8448	0.7690	1.3563	0.8674	0.9706	-11
linux-x64	fir	4096-16	2	replica	5	0.8969	0.7975	1.0615	0.9294	1.0331	-13
linux-x64	fir	4096-64	2	old	5	0.9672	0.8900	1.0051	0.9688	0.9587	-5
linux-x64	fir	4096-64	2	research-off	5	1.0120	0.9634	1.1260	1.0128	0.9721	-3
linux-x64	fir	4096-64	2	replica	5	0.9873	0.9333	1.1594	0.9886	0.9931	0
linux-x64	fir	4096-1024	2	old	5	0.9747	0.9648	1.1982	0.9741	1.0392	-2
linux-x64	fir	4096-1024	2	research-off	5	1.0068	0.7590	1.2504	1.0126	1.0028	0
linux-x64	fir	4096-1024	2	replica	5	1.0075	0.9909	1.2336	1.0064	1.0055	3
linux-x64	fir	65536-16	2	old	5	0.9666	0.9066	0.9813	0.9850	0.9986	4
linux-x64	fir	65536-16	2	research-off	5	1.0140	0.9851	1.0345	1.0245	0.9993	4
linux-x64	fir	65536-16	2	replica	5	1.0074	0.9917	1.0687	1.0017	1.0094	8
linux-x64	fir	65536-64	2	old	5	1.0165	0.8653	1.0445	1.0466	0.9781	0
linux-x64	fir	65536-64	2	research-off	5	0.9981	0.9170	1.0575	1.0083	0.9769	2
linux-x64	fir	65536-64	2	replica	5	0.9961	0.8683	1.0792	1.0011	0.9783	2
linux-x64	fir	65536-1024	2	old	5	0.9727	0.9296	1.1114	0.9856	1.0389	0
linux-x64	fir	65536-1024	2	research-off	5	0.9331	0.8954	1.0410	0.8944	0.9993	-1
linux-x64	fir	65536-1024	2	replica	5	0.9409	0.8955	1.0143	0.9191	0.9770	-2
linux-x64	mandelbrot	0-4096	2	old	5	1.0127	0.9890	1.0245	1.0102	0.9389	0
linux-x64	mandelbrot	0-4096	2	research-off	5	0.9964	0.9815	1.0010	0.9972	0.9424	-1
linux-x64	mandelbrot	0-4096	2	replica	5	1.0019	0.9928	1.0223	1.0040	0.8765	-1
linux-x64	mandelbrot	0-65536	2	old	5	0.9984	0.9794	1.0241	0.9880	1.0058	0
linux-x64	mandelbrot	0-65536	2	research-off	5	1.0033	0.9969	1.0115	1.0024	0.9981	0
linux-x64	mandelbrot	0-65536	2	replica	5	1.0029	0.9941	1.0115	1.0024	0.9923	1
linux-x64	mandelbrot	1-4096	2	old	5	1.0097	0.9868	1.0225	1.0090	0.9591	1
linux-x64	mandelbrot	1-4096	2	research-off	5	1.0073	1.0013	1.0078	1.0056	0.9664	0
linux-x64	mandelbrot	1-4096	2	replica	5	1.0048	0.9888	1.0271	1.0024	1.0271	0
linux-x64	mandelbrot	1-65536	2	old	5	1.0104	1.0043	1.0136	1.0136	0.9972	0
linux-x64	mandelbrot	1-65536	2	research-off	5	1.0103	1.0001	1.0154	1.0110	1.0294	0
linux-x64	mandelbrot	1-65536	2	replica	5	1.0042	1.0003	1.0106	1.0038	1.0057	0
linux-x64	mandelbrot	2-4096	2	old	5	1.0158	0.9797	1.0476	1.0144	1.0000	0
linux-x64	mandelbrot	2-4096	2	research-off	5	1.0066	0.9889	1.0352	1.0060	1.0000	0
linux-x64	mandelbrot	2-4096	2	replica	5	1.0061	0.9874	1.0524	1.0057	0.9984	0
linux-x64	mandelbrot	2-65536	2	old	5	1.0033	0.9980	1.0114	1.0027	0.9879	4
linux-x64	mandelbrot	2-65536	2	research-off	5	0.9981	0.9856	1.0021	0.9990	0.9981	0
linux-x64	mandelbrot	2-65536	2	replica	5	0.9968	0.9950	1.0046	0.9974	0.9981	1
linux-x64	mandelbrot	3-4096	2	old	5	1.0071	0.9894	1.0299	1.0088	0.9825	0
linux-x64	mandelbrot	3-4096	2	research-off	5	1.0184	0.9853	1.0411	1.0182	0.9173	0
linux-x64	mandelbrot	3-4096	2	replica	5	1.0008	0.9844	1.0403	1.0009	0.9810	0
linux-x64	mandelbrot	3-65536	2	old	5	1.0021	0.9933	1.0171	1.0029	1.0304	1
linux-x64	mandelbrot	3-65536	2	research-off	5	0.9992	0.9784	1.0007	0.9987	1.0009	1
linux-x64	mandelbrot	3-65536	2	replica	5	0.9934	0.9907	1.0019	0.9941	1.0019	0
linux-x64	mandelbrot	4-4096	2	old	5	1.0034	0.9941	1.0094	1.0033	1.0132	-1
linux-x64	mandelbrot	4-4096	2	research-off	5	1.0045	0.9947	1.0075	0.9996	1.0162	0
linux-x64	mandelbrot	4-4096	2	replica	5	1.0012	0.9951	1.0073	1.0024	1.0206	-1
linux-x64	mandelbrot	4-65536	2	old	5	0.9967	0.9909	1.0180	0.9960	0.9862	1
linux-x64	mandelbrot	4-65536	2	research-off	5	1.0000	0.9941	1.0036	1.0004	0.9982	3
linux-x64	mandelbrot	4-65536	2	replica	5	0.9988	0.9932	1.0025	0.9998	1.0009	-1
linux-x64	mandelbrot	5-4096	2	old	5	0.9610	0.6743	1.2971	0.8899	0.9813	0
linux-x64	mandelbrot	5-4096	2	research-off	5	0.9097	0.6663	1.2914	0.9027	1.0000	0
linux-x64	mandelbrot	5-4096	2	replica	5	0.9349	0.7138	1.1726	0.9161	1.0000	0
linux-x64	mandelbrot	5-65536	2	old	5	1.0421	0.9153	1.0953	0.9822	0.9954	2
linux-x64	mandelbrot	5-65536	2	research-off	5	0.9990	0.9097	1.4739	0.9932	0.9909	0
linux-x64	mandelbrot	5-65536	2	replica	5	0.9830	0.9402	1.0946	0.9790	1.0137	0
linux-x64	mandelbrot	6-4096	2	old	5	1.0118	0.9668	1.0231	1.0104	1.0000	0
linux-x64	mandelbrot	6-4096	2	research-off	5	1.0048	0.9884	1.0199	1.0141	0.9479	-1
linux-x64	mandelbrot	6-4096	2	replica	5	1.0159	0.9670	1.0347	1.0151	0.9952	0
linux-x64	mandelbrot	6-65536	2	old	5	0.9969	0.9834	1.0570	0.9954	0.9768	5
linux-x64	mandelbrot	6-65536	2	research-off	5	0.9987	0.9857	1.0170	0.9994	0.9952	-1
linux-x64	mandelbrot	6-65536	2	replica	5	1.0006	0.9773	1.0403	1.0003	1.0000	1
linux-x64	fir	4096-16	4	old	5	0.8125	0.7746	0.8775	0.8113	0.9876	-1645
linux-x64	fir	4096-16	4	research-off	5	1.0037	0.9502	1.0663	0.9877	1.0000	-69
linux-x64	fir	4096-16	4	replica	5	1.0360	0.9454	1.0558	1.0010	0.9577	190
linux-x64	fir	4096-64	4	old	5	0.9142	0.8793	0.9479	0.8539	1.0083	16
linux-x64	fir	4096-64	4	research-off	5	1.0031	0.9750	1.0423	0.9919	1.0000	26
linux-x64	fir	4096-64	4	replica	5	1.0099	0.9812	1.0394	0.9941	0.9890	7
linux-x64	fir	4096-1024	4	old	5	0.9934	0.9724	1.0145	0.9554	0.9701	-5
linux-x64	fir	4096-1024	4	research-off	5	0.9934	0.9687	1.1030	0.9963	0.9637	47
linux-x64	fir	4096-1024	4	replica	5	1.0231	1.0060	1.0283	1.0101	0.9280	6
linux-x64	fir	65536-16	4	old	5	0.9249	0.8709	0.9785	0.9538	1.0052	59
linux-x64	fir	65536-16	4	research-off	5	0.9931	0.9267	1.0305	1.0005	1.0221	71
linux-x64	fir	65536-16	4	replica	5	1.0081	1.0041	1.0494	1.0060	1.0026	-31
linux-x64	fir	65536-64	4	old	5	0.9111	0.8771	0.9553	0.9440	1.0089	39
linux-x64	fir	65536-64	4	research-off	5	0.9927	0.8912	1.0906	1.0029	0.9869	58
linux-x64	fir	65536-64	4	replica	5	0.9249	0.8996	1.0852	0.9514	1.0303	98
linux-x64	fir	65536-1024	4	old	5	0.8805	0.8398	1.0885	0.9325	1.0286	65
linux-x64	fir	65536-1024	4	research-off	5	0.9849	0.8845	1.0244	1.0005	1.0014	176
linux-x64	fir	65536-1024	4	replica	5	0.9780	0.8780	1.1190	0.9945	1.0179	-116
linux-x64	mandelbrot	0-4096	4	old	5	1.0154	0.9789	1.0201	1.0138	0.9704	1
linux-x64	mandelbrot	0-4096	4	research-off	5	1.0250	1.0005	1.0844	1.0099	0.9661	0
linux-x64	mandelbrot	0-4096	4	replica	5	0.9971	0.9739	1.0252	0.9982	0.9704	0
linux-x64	mandelbrot	0-65536	4	old	5	1.0064	0.9899	1.0490	0.9978	1.0141	23
linux-x64	mandelbrot	0-65536	4	research-off	5	1.0275	1.0014	1.0679	1.0047	1.0169	0
linux-x64	mandelbrot	0-65536	4	replica	5	1.0247	0.9644	1.0705	1.0011	1.0037	-17
linux-x64	mandelbrot	1-4096	4	old	5	0.9993	0.9964	1.0172	0.9999	0.9721	0
linux-x64	mandelbrot	1-4096	4	research-off	5	1.0182	1.0012	1.0542	1.0165	1.0029	0
linux-x64	mandelbrot	1-4096	4	replica	5	1.0161	0.9965	1.0231	1.0139	0.9648	0
linux-x64	mandelbrot	1-65536	4	old	5	1.0002	0.9662	1.0293	1.0010	1.0009	-37
linux-x64	mandelbrot	1-65536	4	research-off	5	1.0010	0.9584	1.1642	0.9994	1.0121	79
linux-x64	mandelbrot	1-65536	4	replica	5	0.9834	0.9487	1.0676	0.9984	0.9897	-7
linux-x64	mandelbrot	2-4096	4	old	5	1.0054	0.9682	1.0137	1.0062	1.0113	0
linux-x64	mandelbrot	2-4096	4	research-off	5	1.0143	0.9936	1.0468	1.0030	0.9919	0
linux-x64	mandelbrot	2-4096	4	replica	5	1.0089	0.9804	1.0449	1.0096	1.0000	0
linux-x64	mandelbrot	2-65536	4	old	5	1.0012	0.9914	1.0285	0.9991	0.9916	20
linux-x64	mandelbrot	2-65536	4	research-off	5	1.0054	0.9913	1.0475	1.0006	0.9972	38
linux-x64	mandelbrot	2-65536	4	replica	5	0.9992	0.9929	1.0276	1.0027	0.9703	3
linux-x64	mandelbrot	3-4096	4	old	5	0.9902	0.9656	1.0566	0.9879	1.0484	0
linux-x64	mandelbrot	3-4096	4	research-off	5	1.0019	0.9735	1.0075	1.0020	1.0367	0
linux-x64	mandelbrot	3-4096	4	replica	5	0.9939	0.9585	0.9988	0.9930	0.9945	0
linux-x64	mandelbrot	3-65536	4	old	5	1.0089	0.9964	1.0301	1.0031	1.0000	6
linux-x64	mandelbrot	3-65536	4	research-off	5	1.0232	0.9874	1.0490	1.0011	0.9906	11
linux-x64	mandelbrot	3-65536	4	replica	5	1.0033	0.9861	1.0293	1.0027	0.9868	0
linux-x64	mandelbrot	4-4096	4	old	5	0.9990	0.9952	1.0087	0.9990	1.0382	-1
linux-x64	mandelbrot	4-4096	4	research-off	5	1.0001	0.9947	1.0081	1.0007	1.0411	0
linux-x64	mandelbrot	4-4096	4	replica	5	0.9977	0.9970	1.0068	0.9979	1.0412	-1
linux-x64	mandelbrot	4-65536	4	old	5	1.0025	0.9674	1.0071	0.9998	0.9818	-77
linux-x64	mandelbrot	4-65536	4	research-off	5	0.9917	0.9719	1.0109	1.0000	0.9962	-27
linux-x64	mandelbrot	4-65536	4	replica	5	0.9908	0.9649	1.0072	0.9995	0.9868	-51
linux-x64	mandelbrot	5-4096	4	old	5	1.0350	0.8642	1.1245	0.9959	1.0353	1
linux-x64	mandelbrot	5-4096	4	research-off	5	1.0438	0.8342	1.3675	1.0441	1.0000	0
linux-x64	mandelbrot	5-4096	4	replica	5	1.0847	0.8983	1.1660	1.0790	1.0019	0
linux-x64	mandelbrot	5-65536	4	old	5	1.0191	0.9602	1.3526	0.9741	1.0023	-160
linux-x64	mandelbrot	5-65536	4	research-off	5	0.8834	0.6958	1.2943	0.9020	1.0103	-97
linux-x64	mandelbrot	5-65536	4	replica	5	1.0421	0.7470	1.3962	1.0433	0.9966	-37
linux-x64	mandelbrot	6-4096	4	old	5	1.0065	0.9864	1.0285	1.0060	0.8738	-1
linux-x64	mandelbrot	6-4096	4	research-off	5	1.0001	0.9743	1.0098	1.0009	1.0049	0
linux-x64	mandelbrot	6-4096	4	replica	5	1.0094	0.9857	1.0405	1.0131	0.9889	-1
linux-x64	mandelbrot	6-65536	4	old	5	0.9852	0.9614	1.0030	0.9814	1.0038	18
linux-x64	mandelbrot	6-65536	4	research-off	5	0.9854	0.9734	1.0105	0.9824	1.0038	20
linux-x64	mandelbrot	6-65536	4	replica	5	0.9978	0.9834	1.0179	0.9981	1.0038	-5
