target	suite	case	workers	variant/research	pairs	wall_median	wall_min	wall_max	cpu_median	rss_median	switches_delta_median
linux-arm64	mandelbrot	1-4096	2	replica	5	0.9993	0.9951	1.0051	0.9990	1.0000	-1
linux-arm64	mandelbrot	1-65536	2	old	5	0.9997	0.9982	1.0021	0.9999	1.0000	-1
linux-arm64	mandelbrot	1-65536	2	research-off	5	1.0004	0.9984	1.0034	1.0003	1.0240	0
linux-arm64	mandelbrot	1-65536	2	replica	5	1.0000	0.9982	1.0026	0.9999	1.0000	2
linux-arm64	mandelbrot	2-4096	2	old	5	0.9986	0.9960	1.0007	1.0005	1.0000	-1
linux-arm64	mandelbrot	2-4096	2	research-off	5	0.9979	0.9910	1.0074	0.9988	0.9979	0
linux-arm64	mandelbrot	2-4096	2	replica	5	1.0012	0.9949	1.0051	1.0010	1.0000	1
linux-arm64	mandelbrot	2-65536	2	old	5	0.9994	0.9960	1.0058	0.9995	1.0000	-2
linux-arm64	mandelbrot	2-65536	2	research-off	5	0.9984	0.9952	0.9995	0.9995	1.0289	-4
linux-arm64	mandelbrot	2-65536	2	replica	5	0.9988	0.9959	1.0012	0.9991	0.9968	-6
linux-arm64	mandelbrot	3-4096	2	old	5	0.9969	0.9935	1.0040	0.9984	1.0000	-1
linux-arm64	mandelbrot	3-4096	2	research-off	5	0.9974	0.9969	1.0665	1.0007	1.0000	0
linux-arm64	mandelbrot	3-4096	2	replica	5	0.9972	0.9937	1.0010	0.9976	1.0000	-1
linux-arm64	mandelbrot	3-65536	2	old	5	0.9998	0.9945	1.0048	1.0002	1.0011	-1
linux-arm64	mandelbrot	3-65536	2	research-off	5	1.0001	0.9967	1.0017	1.0010	1.0114	-3
linux-arm64	mandelbrot	3-65536	2	replica	5	0.9992	0.9939	1.0035	0.9998	1.0011	-3
linux-arm64	mandelbrot	4-4096	2	old	5	0.9994	0.9986	1.0022	0.9998	1.0000	-1
linux-arm64	mandelbrot	4-4096	2	research-off	5	1.0019	0.9990	1.0178	1.0005	1.0000	2
linux-arm64	mandelbrot	4-4096	2	replica	5	1.0006	1.0003	1.0012	1.0004	0.9946	1
linux-arm64	mandelbrot	4-65536	2	old	5	1.0001	0.9986	1.0008	0.9998	1.0000	-2
linux-arm64	mandelbrot	4-65536	2	research-off	5	0.9998	0.9991	1.0012	0.9999	1.0000	-3
linux-arm64	mandelbrot	4-65536	2	replica	5	0.9995	0.9991	1.0010	0.9999	0.9989	-1
linux-arm64	mandelbrot	5-4096	2	old	5	0.9801	0.9660	1.0342	0.9789	1.0000	0
linux-arm64	mandelbrot	5-4096	2	research-off	5	0.9932	0.9587	1.0280	1.0113	1.0000	0
linux-arm64	mandelbrot	5-4096	2	replica	5	0.9713	0.9595	1.0436	0.9840	1.0000	0
linux-arm64	mandelbrot	5-65536	2	old	5	1.0007	0.9800	1.0260	0.9922	0.9972	-1
linux-arm64	mandelbrot	5-65536	2	research-off	5	1.0019	0.9853	1.0144	1.0007	1.0000	-2
linux-arm64	mandelbrot	5-65536	2	replica	5	1.0081	0.9809	1.0818	1.0010	1.0000	-1
linux-arm64	mandelbrot	6-4096	2	old	5	1.0007	0.9961	1.0068	0.9982	1.0000	1
linux-arm64	mandelbrot	6-4096	2	research-off	5	1.0035	0.9937	1.0040	0.9990	1.0000	2
linux-arm64	mandelbrot	6-4096	2	replica	5	1.0013	0.9960	1.0030	0.9992	1.0000	1
linux-arm64	mandelbrot	6-65536	2	old	5	0.9999	0.9980	1.0040	0.9997	1.0354	1
linux-arm64	mandelbrot	6-65536	2	research-off	5	0.9999	0.9958	1.0010	0.9999	1.0000	1
linux-arm64	mandelbrot	6-65536	2	replica	5	0.9991	0.9966	1.0018	1.0000	1.0000	-1
linux-arm64	fir	4096-16	4	old	5	0.9872	0.8998	1.0389	1.0187	1.0000	-87
linux-arm64	fir	4096-16	4	research-off	5	0.9995	0.9244	1.0167	1.0013	1.0000	803
linux-arm64	fir	4096-16	4	replica	5	0.9955	0.9061	1.0390	0.9668	1.0015	859
linux-arm64	fir	4096-64	4	old	5	1.0175	0.9560	1.0506	1.0504	1.0000	-3
linux-arm64	fir	4096-64	4	research-off	5	1.0198	0.9886	1.0601	0.9879	0.9938	31
linux-arm64	fir	4096-64	4	replica	5	1.0162	0.9588	1.0496	0.9872	0.9529	33
linux-arm64	fir	4096-1024	4	old	5	1.0287	0.8715	1.1138	1.0429	1.0000	44
linux-arm64	fir	4096-1024	4	research-off	5	1.0077	0.9190	1.1294	1.0034	1.0000	17
linux-arm64	fir	4096-1024	4	replica	5	0.9900	0.8417	1.0771	0.9923	1.0478	25
linux-arm64	fir	65536-16	4	old	5	1.0027	0.9802	1.0335	1.0003	1.0220	31
linux-arm64	fir	65536-16	4	research-off	5	1.0032	0.9841	1.0086	0.9972	1.0000	49
linux-arm64	fir	65536-16	4	replica	5	1.0018	0.9947	1.0173	1.0017	1.0220	-7
linux-arm64	fir	65536-64	4	old	5	0.9937	0.9810	0.9969	0.9952	1.0242	-61
linux-arm64	fir	65536-64	4	research-off	5	0.9984	0.9921	1.0052	0.9987	1.0247	34
linux-arm64	fir	65536-64	4	replica	5	0.9951	0.9902	1.0171	1.0045	1.0484	-85
linux-arm64	fir	65536-1024	4	old	5	1.0408	1.0125	1.0685	1.0139	0.9793	616
linux-arm64	fir	65536-1024	4	research-off	5	1.0193	0.9938	1.1346	1.0000	0.9961	3
linux-arm64	fir	65536-1024	4	replica	5	1.0037	0.9798	1.0355	0.9987	1.0000	62
linux-arm64	mandelbrot	0-4096	4	old	5	0.9989	0.9929	1.0068	0.9980	1.0000	-1
linux-arm64	mandelbrot	0-4096	4	research-off	5	0.9939	0.9906	1.0104	0.9982	1.0000	1
linux-arm64	mandelbrot	0-4096	4	replica	5	1.0030	0.9955	1.0113	1.0033	1.0000	-1
linux-arm64	mandelbrot	0-65536	4	old	5	0.9778	0.9340	1.0287	0.9988	0.9820	-31
linux-arm64	mandelbrot	0-65536	4	research-off	5	0.9986	0.9486	1.0396	0.9998	0.9980	-36
linux-arm64	mandelbrot	0-65536	4	replica	5	0.9860	0.9613	1.0793	0.9989	1.0000	-5
linux-arm64	mandelbrot	1-4096	4	old	5	1.0003	0.9981	1.0065	1.0019	1.0000	0
linux-arm64	mandelbrot	1-4096	4	research-off	5	0.9990	0.9971	1.0001	1.0009	1.0000	-2
linux-arm64	mandelbrot	1-4096	4	replica	5	1.0009	0.9960	1.0061	1.0015	1.0036	-2
linux-arm64	mandelbrot	1-65536	4	old	5	0.9775	0.8928	1.0188	0.9990	1.0021	-29
linux-arm64	mandelbrot	1-65536	4	research-off	5	1.0054	0.9292	1.0339	1.0005	1.0010	2
linux-arm64	mandelbrot	1-65536	4	replica	5	1.0053	0.9222	1.0390	0.9995	1.0000	-27
linux-arm64	mandelbrot	2-4096	4	old	5	0.9989	0.9945	1.0102	0.9954	0.9937	0
linux-arm64	mandelbrot	2-4096	4	research-off	5	0.9983	0.9913	1.0035	0.9968	0.9329	-1
linux-arm64	mandelbrot	2-4096	4	replica	5	1.0029	0.9940	1.0068	1.0004	1.0000	1
linux-arm64	mandelbrot	2-65536	4	old	5	1.0012	0.9973	1.0039	0.9990	1.0064	125
linux-arm64	mandelbrot	2-65536	4	research-off	5	1.0014	0.9968	1.0159	1.0004	0.9990	31
linux-arm64	mandelbrot	2-65536	4	replica	5	1.0008	0.9980	1.0194	1.0009	0.9969	8
linux-arm64	mandelbrot	3-4096	4	old	5	1.0032	0.9958	1.0051	0.9989	1.0000	1
linux-arm64	mandelbrot	3-4096	4	research-off	5	1.0026	0.9980	1.0058	1.0018	1.0000	1
linux-arm64	mandelbrot	3-4096	4	replica	5	1.0018	0.9924	1.0037	1.0003	1.0000	1
linux-arm64	mandelbrot	3-65536	4	old	5	1.0092	0.9043	1.0279	0.9989	1.0193	-50
linux-arm64	mandelbrot	3-65536	4	research-off	5	1.0128	0.8027	1.0280	1.0010	1.0183	-12
linux-arm64	mandelbrot	3-65536	4	replica	5	0.9923	0.7943	1.0396	1.0001	1.0155	-4
linux-arm64	mandelbrot	4-4096	4	old	5	1.0000	0.9974	1.0015	0.9998	1.0000	2
linux-arm64	mandelbrot	4-4096	4	research-off	5	0.9993	0.9973	1.0003	0.9996	0.9927	1
linux-arm64	mandelbrot	4-4096	4	replica	5	1.0009	0.9978	1.0014	1.0002	1.0000	1
linux-arm64	mandelbrot	4-65536	4	old	5	1.0008	0.9804	1.0129	0.9996	0.9804	22
linux-arm64	mandelbrot	4-65536	4	research-off	5	1.0005	0.9840	1.0185	0.9994	1.0000	34
linux-arm64	mandelbrot	4-65536	4	replica	5	1.0048	0.9814	1.0221	1.0000	1.0000	52
linux-arm64	mandelbrot	5-4096	4	old	5	0.9945	0.9375	1.0532	0.9993	1.0000	0
linux-arm64	mandelbrot	5-4096	4	research-off	5	0.9991	0.9397	1.1947	1.0074	0.9943	0
linux-arm64	mandelbrot	5-4096	4	replica	5	0.9733	0.9457	1.0581	0.9765	0.9942	0
linux-arm64	mandelbrot	5-65536	4	old	5	0.9896	0.9634	1.1835	1.0120	1.0028	77
linux-arm64	mandelbrot	5-65536	4	research-off	5	0.9955	0.9849	1.0228	0.9993	1.0014	-1
linux-arm64	mandelbrot	5-65536	4	replica	5	1.0041	0.9576	1.1128	1.0021	0.9959	44
linux-arm64	mandelbrot	6-4096	4	old	5	1.0027	0.9958	1.0090	0.9996	1.0000	1
linux-arm64	mandelbrot	6-4096	4	research-off	5	0.9987	0.9948	1.0120	0.9978	0.9958	0
linux-arm64	mandelbrot	6-4096	4	replica	5	1.0021	0.9973	1.0129	1.0013	1.0000	-1
linux-arm64	mandelbrot	6-65536	4	old	5	0.9987	0.9923	1.0512	0.9999	1.0011	64
linux-arm64	mandelbrot	6-65536	4	research-off	5	1.0001	0.9974	1.0508	1.0003	1.0000	4
linux-arm64	mandelbrot	6-65536	4	replica	5	1.0008	0.9956	1.0034	0.9992	1.0000	32
mac-arm64	fir	4096-16	1	old	5	0.8789	0.7295	1.1162	0.9102	1.0000	1
mac-arm64	fir	4096-16	1	research-off	5	0.7582	0.7099	0.9453	0.8142	1.0114	-1
mac-arm64	fir	4096-16	1	replica	5	0.9785	0.9536	1.0673	0.9947	1.0000	0
mac-arm64	fir	4096-64	1	old	5	0.9887	0.6231	1.0514	0.9884	1.0000	-1
mac-arm64	fir	4096-64	1	research-off	5	0.8350	0.5756	0.9557	0.8377	0.9167	-1
mac-arm64	fir	4096-64	1	replica	5	1.0015	0.7779	1.0493	1.0079	1.0000	-1
mac-arm64	fir	4096-1024	1	old	5	0.9993	0.9798	1.7948	0.9993	1.0213	0
mac-arm64	fir	4096-1024	1	research-off	5	0.9374	0.9139	0.9864	0.9311	1.0116	0
mac-arm64	fir	4096-1024	1	replica	5	0.9994	0.9641	1.1026	0.9991	1.0213	2
mac-arm64	fir	65536-16	1	old	5	0.9402	0.8350	1.0381	0.9404	0.9942	-1
mac-arm64	fir	65536-16	1	research-off	5	0.9155	0.7848	1.0245	0.9162	1.0029	-1
mac-arm64	fir	65536-16	1	replica	5	1.0011	0.9078	1.0702	0.9894	1.0000	4
mac-arm64	fir	65536-64	1	old	5	1.0039	0.8908	1.3534	1.0034	1.1963	-3
mac-arm64	fir	65536-64	1	research-off	5	1.0000	0.7842	1.2432	0.9988	1.1981	-2
mac-arm64	fir	65536-64	1	replica	5	1.0436	0.8904	1.2912	1.0427	1.1234	1
mac-arm64	fir	65536-1024	1	old	5	0.9728	0.8207	1.0292	0.9943	1.0000	-4
mac-arm64	fir	65536-1024	1	research-off	5	0.8511	0.7539	0.8927	0.8712	1.0033	-3
mac-arm64	fir	65536-1024	1	replica	5	0.9811	0.8572	1.1102	0.9892	1.0000	-2
mac-arm64	mandelbrot	0-4096	1	old	5	1.0029	0.7906	1.1455	1.0013	0.9518	-1
mac-arm64	mandelbrot	0-4096	1	research-off	5	1.0099	0.7763	1.0793	1.0078	1.0000	0
mac-arm64	mandelbrot	0-4096	1	replica	5	0.9854	0.7652	1.0371	0.9852	0.9518	-1
mac-arm64	mandelbrot	0-65536	1	old	5	1.0199	0.9582	1.0599	1.0172	1.0000	-8
mac-arm64	mandelbrot	0-65536	1	research-off	5	0.9580	0.9090	1.0068	0.9559	1.0000	-21
mac-arm64	mandelbrot	0-65536	1	replica	5	0.9607	0.9349	1.0142	0.9714	1.0000	-21
mac-arm64	mandelbrot	1-4096	1	old	5	0.9916	0.9336	1.0251	0.9931	1.0000	-1
mac-arm64	mandelbrot	1-4096	1	research-off	5	1.0058	0.9355	1.1126	1.0059	1.0000	0
mac-arm64	mandelbrot	1-4096	1	replica	5	0.9865	0.9256	1.1827	1.0133	1.0000	1
mac-arm64	mandelbrot	1-65536	1	old	5	0.9443	0.8248	1.0015	0.9473	1.0000	5
mac-arm64	mandelbrot	1-65536	1	research-off	5	0.9865	0.8444	1.0552	0.9863	1.0000	-2
mac-arm64	mandelbrot	1-65536	1	replica	5	0.9785	0.9592	1.0977	0.9659	1.0000	1
mac-arm64	mandelbrot	2-4096	1	old	5	0.9876	0.6731	1.0230	0.9868	1.0000	0
mac-arm64	mandelbrot	2-4096	1	research-off	5	1.0065	0.7753	1.1178	1.0029	1.0000	0
mac-arm64	mandelbrot	2-4096	1	replica	5	1.0013	0.7929	1.0155	0.9991	1.0506	1
mac-arm64	mandelbrot	2-65536	1	old	5	1.0201	0.9533	1.0940	1.0029	0.9958	-1
mac-arm64	mandelbrot	2-65536	1	research-off	5	0.9828	0.8863	1.2249	0.9796	1.0000	8
mac-arm64	mandelbrot	2-65536	1	replica	5	0.9900	0.9610	1.1031	0.9931	1.0000	-2
mac-arm64	mandelbrot	3-4096	1	old	5	1.0183	0.9712	1.1202	1.0113	1.0482	0
mac-arm64	mandelbrot	3-4096	1	research-off	5	1.0157	0.8803	2.2796	0.9958	1.0000	0
mac-arm64	mandelbrot	3-4096	1	replica	5	1.0057	0.8830	1.0595	1.0075	1.0000	-1
mac-arm64	mandelbrot	3-65536	1	old	5	1.0344	0.9771	1.1747	1.0346	1.0000	13
mac-arm64	mandelbrot	3-65536	1	research-off	5	1.0228	0.9891	1.1167	1.0230	1.0000	14
mac-arm64	mandelbrot	3-65536	1	replica	5	1.0711	0.9600	1.1976	1.0365	1.0000	14
mac-arm64	mandelbrot	4-4096	1	old	5	1.0166	0.9299	1.0266	1.0094	1.0000	0
mac-arm64	mandelbrot	4-4096	1	research-off	5	0.9586	0.9445	1.0106	0.9617	1.0000	0
mac-arm64	mandelbrot	4-4096	1	replica	5	1.0043	0.9606	1.1591	0.9933	1.0000	1
mac-arm64	mandelbrot	4-65536	1	old	5	1.0129	0.9744	1.0716	0.9965	1.0000	29
mac-arm64	mandelbrot	4-65536	1	research-off	5	1.0207	0.9820	1.1757	0.9989	1.0000	80
mac-arm64	mandelbrot	4-65536	1	replica	5	1.0131	0.9901	1.1054	1.0133	1.0000	136
mac-arm64	mandelbrot	5-4096	1	old	5	0.9216	0.4688	1.4110	0.8967	1.0000	0
mac-arm64	mandelbrot	5-4096	1	research-off	5	0.9918	0.5124	1.2360	0.9867	1.0000	0
mac-arm64	mandelbrot	5-4096	1	replica	5	0.9518	0.5363	2.2766	0.9435	1.0000	0
mac-arm64	mandelbrot	5-65536	1	old	5	1.0857	0.9977	1.1350	1.0929	1.0000	1
mac-arm64	mandelbrot	5-65536	1	research-off	5	1.0983	0.9876	9.2379	1.1052	1.2105	7
mac-arm64	mandelbrot	5-65536	1	replica	5	1.0194	0.9815	2.6573	1.0129	1.0000	1
mac-arm64	mandelbrot	6-4096	1	old	5	1.0080	0.9188	2.9532	0.9999	1.0506	1
mac-arm64	mandelbrot	6-4096	1	research-off	5	0.9592	0.5925	1.0275	0.9588	1.0488	0
mac-arm64	mandelbrot	6-4096	1	replica	5	0.9628	0.7240	1.0193	0.9608	1.0506	0
mac-arm64	mandelbrot	6-65536	1	old	5	0.9346	0.8439	1.0539	0.9356	1.0000	-12
mac-arm64	mandelbrot	6-65536	1	research-off	5	1.1063	0.9199	1.1567	0.9836	1.0000	37
mac-arm64	mandelbrot	6-65536	1	replica	5	1.0059	0.9734	1.2439	1.0053	1.0000	-17
mac-arm64	fir	4096-16	2	old	5	0.8629	0.7168	0.9471	0.8419	0.9813	65
mac-arm64	fir	4096-16	2	research-off	5	0.6993	0.6497	0.8047	0.8630	1.0093	110
mac-arm64	fir	4096-16	2	replica	5	0.8897	0.8563	0.9750	0.9422	0.9533	180
mac-arm64	fir	4096-64	2	old	5	0.9158	0.8982	1.2068	1.0940	0.9459	-1
mac-arm64	fir	4096-64	2	research-off	5	0.8034	0.7664	0.9207	0.9188	0.9630	-285
mac-arm64	fir	4096-64	2	replica	5	0.9944	0.9172	1.2388	1.0749	1.0000	12
mac-arm64	fir	4096-1024	2	old	5	1.0423	0.8643	1.1624	0.9535	1.0000	1
mac-arm64	fir	4096-1024	2	research-off	5	0.9723	0.8287	1.2621	0.9583	1.0189	2
mac-arm64	fir	4096-1024	2	replica	5	1.0191	0.9818	1.2919	1.0165	1.0000	0
mac-arm64	fir	65536-16	2	old	5	0.9480	0.9117	1.0429	0.9817	1.0000	11
mac-arm64	fir	65536-16	2	research-off	5	0.9001	0.7259	0.9742	0.9043	1.0029	-25
mac-arm64	fir	65536-16	2	replica	5	1.1425	0.7984	1.2003	1.0672	0.9942	-6
mac-arm64	fir	65536-64	2	old	5	1.0311	0.9492	1.2215	1.0336	1.0488	6
mac-arm64	fir	65536-64	2	research-off	5	0.9141	0.8639	1.0226	0.9026	1.0163	1
mac-arm64	fir	65536-64	2	replica	5	1.0200	0.9889	1.2435	1.0075	1.0480	8
mac-arm64	fir	65536-1024	2	old	5	0.9543	0.9185	1.0221	0.9536	0.9780	-5
mac-arm64	fir	65536-1024	2	research-off	5	0.8039	0.6580	0.9475	0.8107	0.9945	-4
mac-arm64	fir	65536-1024	2	replica	5	1.0414	0.7664	1.0550	0.9749	1.0193	2
mac-arm64	mandelbrot	0-4096	2	old	5	0.9801	0.9568	1.0351	0.9781	1.0000	0
mac-arm64	mandelbrot	0-4096	2	research-off	5	0.9958	0.9421	1.1239	0.9896	1.0482	1
mac-arm64	mandelbrot	0-4096	2	replica	5	1.0095	0.9312	1.0521	1.0087	1.0000	0
mac-arm64	mandelbrot	0-65536	2	old	5	1.0025	0.6018	1.3959	1.0012	1.0000	15
mac-arm64	mandelbrot	0-65536	2	research-off	5	1.0602	0.7692	1.3989	1.0469	1.0000	0
mac-arm64	mandelbrot	0-65536	2	replica	5	0.9386	0.7436	1.1511	0.9694	1.0000	5
mac-arm64	mandelbrot	1-4096	2	old	5	1.0421	0.9194	1.1201	1.0427	1.0000	-1
mac-arm64	mandelbrot	1-4096	2	research-off	5	1.0496	0.8311	1.1924	1.0532	0.9651	0
mac-arm64	mandelbrot	1-4096	2	replica	5	1.0068	0.8135	1.1013	1.0021	1.0000	-1
mac-arm64	mandelbrot	1-65536	2	old	5	1.0167	0.9606	1.2093	0.9926	1.0000	-8
mac-arm64	mandelbrot	1-65536	2	research-off	5	1.0773	0.9521	1.2968	0.9697	1.0000	21
mac-arm64	mandelbrot	1-65536	2	replica	5	0.9983	0.9167	1.2322	0.9619	1.0000	19
mac-arm64	mandelbrot	2-4096	2	old	5	1.0196	0.9657	1.1460	1.0247	0.9518	-1
mac-arm64	mandelbrot	2-4096	2	research-off	5	1.0122	0.8834	1.0312	1.0112	1.0000	0
mac-arm64	mandelbrot	2-4096	2	replica	5	1.0405	0.8849	1.1184	1.0353	1.0482	0
mac-arm64	mandelbrot	2-65536	2	old	5	1.0798	0.7882	1.2702	1.0136	1.0000	28
mac-arm64	mandelbrot	2-65536	2	research-off	5	1.2509	0.7822	1.7277	1.0698	1.0000	39
mac-arm64	mandelbrot	2-65536	2	replica	5	1.0198	0.7818	1.9175	1.0383	1.0000	144
mac-arm64	mandelbrot	3-4096	2	old	5	1.0428	0.9588	1.9620	1.0488	1.0000	1
mac-arm64	mandelbrot	3-4096	2	research-off	5	1.0085	0.7756	1.0825	1.0012	1.0000	-1
mac-arm64	mandelbrot	3-4096	2	replica	5	1.0054	0.9228	1.0369	1.0056	1.0000	0
mac-arm64	mandelbrot	3-65536	2	old	5	0.7841	0.6777	1.0499	0.9381	1.0000	-34
mac-arm64	mandelbrot	3-65536	2	research-off	5	0.9416	0.7693	0.9798	0.9323	1.0000	-63
mac-arm64	mandelbrot	3-65536	2	replica	5	0.9740	0.9132	1.2950	0.9981	1.0000	-19
mac-arm64	mandelbrot	4-4096	2	old	5	1.0193	0.9092	1.0762	1.0325	1.0000	1
mac-arm64	mandelbrot	4-4096	2	research-off	5	1.0612	0.9360	1.9011	1.0593	1.0000	3
mac-arm64	mandelbrot	4-4096	2	replica	5	0.9892	0.9288	1.1724	0.9901	1.0000	3
mac-arm64	mandelbrot	4-65536	2	old	5	1.0337	0.7670	1.1702	1.0731	1.0000	66
mac-arm64	mandelbrot	4-65536	2	research-off	5	1.0226	0.8946	1.0632	1.0314	1.0000	-110
mac-arm64	mandelbrot	4-65536	2	replica	5	1.0022	0.8466	1.0883	0.9972	1.0000	-28
mac-arm64	mandelbrot	5-4096	2	old	5	1.0625	0.4015	1.3673	1.0818	1.0000	0
mac-arm64	mandelbrot	5-4096	2	research-off	5	0.9047	0.3867	1.1407	0.9459	1.0000	0
mac-arm64	mandelbrot	5-4096	2	replica	5	1.0224	0.5203	2.2074	1.0066	1.0000	0
mac-arm64	mandelbrot	5-65536	2	old	5	0.9297	0.5903	1.3143	0.9001	1.0000	-1
mac-arm64	mandelbrot	5-65536	2	research-off	5	0.9043	0.6173	1.1523	0.9922	1.0000	-1
mac-arm64	mandelbrot	5-65536	2	replica	5	1.0037	0.5956	1.0646	0.9859	0.9952	-1
mac-arm64	mandelbrot	6-4096	2	old	5	1.0101	0.9759	1.1492	1.0105	1.0000	1
mac-arm64	mandelbrot	6-4096	2	research-off	5	1.0509	0.9731	1.0872	1.0214	1.0506	1
mac-arm64	mandelbrot	6-4096	2	replica	5	1.0090	0.9458	1.2593	1.0129	1.0482	1
mac-arm64	mandelbrot	6-65536	2	old	5	1.1963	0.6914	1.2762	1.0759	1.0000	-25
mac-arm64	mandelbrot	6-65536	2	research-off	5	0.9984	0.9000	1.2523	0.9806	1.0000	-6
mac-arm64	mandelbrot	6-65536	2	replica	5	0.9805	0.8317	1.0082	0.9881	1.0000	-13
mac-x64	fir	4096-16	1	old	5	0.9681	0.8449	0.9921	0.9656	1.0000	0
mac-x64	fir	4096-16	1	research-off	5	0.9603	0.7576	1.4632	0.9607	1.0000	0
mac-x64	fir	4096-16	1	replica	5	0.9868	0.8843	2.6351	0.9874	1.0177	0
mac-x64	fir	4096-64	1	old	5	0.9280	0.9129	0.9345	0.9237	1.0000	0
mac-x64	fir	4096-64	1	research-off	5	0.9516	0.9067	0.9647	0.9507	1.0000	0
mac-x64	fir	4096-64	1	replica	5	0.9871	0.9581	1.0185	0.9843	1.0000	0
mac-x64	fir	4096-1024	1	old	5	0.9781	0.6571	4.0041	0.9751	1.0000	0
mac-x64	fir	4096-1024	1	research-off	5	0.9679	0.4088	0.9928	0.9646	1.0000	0
mac-x64	fir	4096-1024	1	replica	5	0.9752	0.4292	1.0137	0.9732	1.0000	0
mac-x64	fir	65536-16	1	old	5	0.9966	0.4787	1.0484	0.9959	1.0000	-1
mac-x64	fir	65536-16	1	research-off	5	0.9743	0.4578	1.0349	0.9759	0.9947	-1
mac-x64	fir	65536-16	1	replica	5	0.9928	0.9593	1.0151	0.9923	0.9968	-3
mac-x64	fir	65536-64	1	old	5	0.9538	0.9062	0.9690	0.9539	1.0000	0
mac-x64	fir	65536-64	1	research-off	5	0.9410	0.8868	1.3359	0.9408	0.8965	-4
mac-x64	fir	65536-64	1	replica	5	0.9786	0.8938	1.2061	0.9793	0.7523	-5
mac-x64	fir	65536-1024	1	old	5	0.9175	0.8492	0.9265	0.9209	1.0000	0
mac-x64	fir	65536-1024	1	research-off	5	0.9443	0.9183	1.3804	0.9425	1.0000	0
mac-x64	fir	65536-1024	1	replica	5	1.0188	0.9940	1.5430	1.0188	1.0000	0
mac-x64	mandelbrot	0-4096	1	old	5	1.0106	1.0060	1.1764	1.0100	1.0000	0
mac-x64	mandelbrot	0-4096	1	research-off	5	0.9876	0.9797	1.0247	0.9898	1.0000	0
mac-x64	mandelbrot	0-4096	1	replica	5	1.0014	0.9855	1.0107	1.0059	1.0000	0
mac-x64	mandelbrot	0-65536	1	old	5	0.9958	0.6268	1.1568	0.9970	1.0000	-11
mac-x64	mandelbrot	0-65536	1	research-off	5	1.0027	0.9856	2.5597	1.0033	1.0000	-16
mac-x64	mandelbrot	0-65536	1	replica	5	1.0425	0.9951	1.3441	1.0433	1.0000	0
mac-x64	mandelbrot	1-4096	1	old	5	1.0084	0.8531	4.1065	1.0106	1.0000	0
mac-x64	mandelbrot	1-4096	1	research-off	5	0.9968	0.8751	1.0270	0.9980	1.0000	0
mac-x64	mandelbrot	1-4096	1	replica	5	1.0012	0.9259	1.0705	1.0010	1.0000	0
mac-x64	mandelbrot	1-65536	1	old	5	0.9863	0.5884	1.2561	0.9856	1.0000	3
mac-x64	mandelbrot	1-65536	1	research-off	5	0.9959	0.6323	1.0192	0.9938	1.0000	16
mac-x64	mandelbrot	1-65536	1	replica	5	0.9673	0.6404	1.0167	0.9789	1.0000	-44
mac-x64	mandelbrot	2-4096	1	old	5	1.1538	1.0355	1.5098	1.1162	1.0116	2
mac-x64	mandelbrot	2-4096	1	research-off	5	0.9855	0.9718	1.2509	1.0023	1.0000	0
mac-x64	mandelbrot	2-4096	1	replica	5	1.0134	0.9722	1.0546	1.0209	1.0000	0
mac-x64	mandelbrot	2-65536	1	old	5	1.0141	0.9384	1.1634	0.9928	1.0000	-6
mac-x64	mandelbrot	2-65536	1	research-off	5	1.2978	0.9961	1.8170	1.0278	1.0000	3
mac-x64	mandelbrot	2-65536	1	replica	5	1.0018	0.9840	1.2530	1.0027	1.0000	3
mac-x64	mandelbrot	3-4096	1	old	5	1.0054	0.6411	1.8311	1.0010	1.0000	0
mac-x64	mandelbrot	3-4096	1	research-off	5	0.9269	0.4644	1.1693	0.9958	1.0000	0
mac-x64	mandelbrot	3-4096	1	replica	5	0.9743	0.4370	1.0573	0.9944	1.0000	1
mac-x64	mandelbrot	3-65536	1	old	5	1.0003	0.9399	1.0472	1.0023	1.0000	-4
mac-x64	mandelbrot	3-65536	1	research-off	5	1.0002	0.9597	1.3903	1.1027	1.0000	-53
mac-x64	mandelbrot	3-65536	1	replica	5	0.9579	0.9361	1.5710	0.9985	1.0000	0
mac-x64	mandelbrot	4-4096	1	old	5	1.0577	0.9921	1.5821	1.0311	1.0000	1
mac-x64	mandelbrot	4-4096	1	research-off	5	0.9982	0.9843	1.7151	0.9893	1.0000	1
mac-x64	mandelbrot	4-4096	1	replica	5	0.9963	0.9283	1.0457	0.9919	1.0485	2
mac-x64	mandelbrot	4-65536	1	old	5	1.0095	0.8733	1.1696	1.0491	1.0000	-6
mac-x64	mandelbrot	4-65536	1	research-off	5	0.9693	0.7619	1.1362	0.9991	1.0000	-13
mac-x64	mandelbrot	4-65536	1	replica	5	0.9941	0.7450	1.2846	0.9980	1.0000	-66
mac-x64	mandelbrot	5-4096	1	old	5	0.9583	0.8690	1.1596	0.9673	1.0000	0
mac-x64	mandelbrot	5-4096	1	research-off	5	0.9379	0.7249	1.5137	0.9544	1.0000	0
mac-x64	mandelbrot	5-4096	1	replica	5	1.0734	0.6976	1.9950	1.0344	1.0307	0
mac-x64	mandelbrot	5-65536	1	old	5	1.0083	0.8355	1.0512	0.9977	1.0000	0
mac-x64	mandelbrot	5-65536	1	research-off	5	0.9686	0.7722	1.5423	0.9673	1.0000	0
