cohort,contract,path,variant,sample,calls,rounds,elapsed_ns,checksum,requests,peak_bytes
0,normal,growth,legacy-c,9,64,512,9206000,5451233406040843104,262144,768
0,normal,growth,matched-c,10,64,512,9146000,9906042209678861216,262144,768
0,normal,growth,legacy-c,10,64,512,9143000,9906042209678861216,262144,768
0,normal,growth,whitefoot,10,64,512,13200000,9906042209678861216,262144,768
0,normal,growth,legacy-c,11,64,512,9186000,14360851013316879328,262144,768
0,normal,growth,whitefoot,11,64,512,13233000,14360851013316879328,262144,768
0,normal,growth,matched-c,11,64,512,9119000,14360851013316879328,262144,768
0,normal,growth,whitefoot,12,64,512,13257000,368915743245345824,262144,768
0,normal,growth,matched-c,12,64,512,9158000,368915743245345824,262144,768
0,normal,growth,legacy-c,12,64,512,9140000,368915743245345824,262144,768
0,normal,growth,matched-c,13,64,512,9149000,4823724546883363936,262144,768
0,normal,growth,legacy-c,13,64,512,9131000,4823724546883363936,262144,768
0,normal,growth,whitefoot,13,64,512,13199000,4823724546883363936,262144,768
0,normal,growth,legacy-c,14,64,512,9282000,9278533350521382048,262144,768
0,normal,growth,whitefoot,14,64,512,13156000,9278533350521382048,262144,768
0,normal,growth,matched-c,14,64,512,9144000,9278533350521382048,262144,768
0,retained,reserved,whitefoot,0,64,512,12206000,2251442320717783328,98304,768
0,retained,reserved,matched-c,0,64,512,7399000,2251442320717783328,98304,768
0,retained,reserved,legacy-c,0,64,512,8873000,2251442320717783328,98304,768
0,retained,reserved,matched-c,1,64,512,7539000,6706251124355801440,98304,768
0,retained,reserved,legacy-c,1,64,512,8866000,6706251124355801440,98304,768
0,retained,reserved,whitefoot,1,64,512,11673000,6706251124355801440,98304,768
0,retained,reserved,legacy-c,2,64,512,8902000,11161059927993819552,98304,768
0,retained,reserved,whitefoot,2,64,512,11562000,11161059927993819552,98304,768
0,retained,reserved,matched-c,2,64,512,7233000,11161059927993819552,98304,768
0,retained,reserved,whitefoot,3,64,512,11505000,15615868731631837664,98304,768
0,retained,reserved,matched-c,3,64,512,7110000,15615868731631837664,98304,768
0,retained,reserved,legacy-c,3,64,512,8819000,15615868731631837664,98304,768
0,retained,reserved,matched-c,4,64,512,7319000,1623933461560304160,98304,768
0,retained,reserved,legacy-c,4,64,512,8605000,1623933461560304160,98304,768
0,retained,reserved,whitefoot,4,64,512,11493000,1623933461560304160,98304,768
0,retained,reserved,legacy-c,5,64,512,8604000,6078742265198322272,98304,768
0,retained,reserved,whitefoot,5,64,512,11436000,6078742265198322272,98304,768
0,retained,reserved,matched-c,5,64,512,7174000,6078742265198322272,98304,768
