run,comparison,cohort,arm,image,contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,avl-c,1,0,1,310000,4683979154478348707,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,direct-c,1,0,1,297000,4683979154478348707,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,source-c,1,0,1,374000,4683979154478348707,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,whitefoot,1,0,1,343000,4683979154478348707,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,whitefoot,2,0,1,344000,6661689795545676767,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,source-c,2,0,1,383000,6661689795545676767,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,direct-c,2,0,1,317000,6661689795545676767,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,avl-c,2,0,1,319000,6661689795545676767,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,avl-c,3,0,1,312000,4421721045133421383,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,direct-c,3,0,1,302000,4421721045133421383,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,source-c,3,0,1,381000,4421721045133421383,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,whitefoot,3,0,1,345000,4421721045133421383,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,whitefoot,4,0,1,346000,10534435729410453292,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,source-c,4,0,1,372000,10534435729410453292,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,direct-c,4,0,1,297000,10534435729410453292,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,avl-c,4,0,1,319000,10534435729410453292,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,avl-c,5,0,1,310000,10480987938455170014,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,build-cleanup,4096,direct-c,5,0,1,310000,10480987938455170014,365,137240,365,137240
