contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
normal,16,build-cleanup,4096,avl-c,4,0,1,320000,10534435729410453292,4096,163840,4096,163840
normal,16,build-cleanup,4096,avl-c,5,0,1,304000,10480987938455170014,4096,163840,4096,163840
normal,16,build-cleanup,4096,direct-c,5,0,1,287000,10480987938455170014,365,137240,365,137240
normal,16,build-cleanup,4096,source-c,5,0,1,359000,10480987938455170014,363,182952,363,182952
normal,16,build-cleanup,4096,whitefoot,5,0,1,338000,10480987938455170014,363,182952,363,182952
normal,16,hit-miss,8,whitefoot,0,1024,1,57000,2544613827570477983,1,504,1,504
normal,16,hit-miss,8,source-c,0,1024,1,85000,2544613827570477983,1,504,1,504
normal,16,hit-miss,8,direct-c,0,1024,1,49000,2544613827570477983,1,376,1,376
normal,16,hit-miss,8,avl-c,0,1024,1,41000,2544613827570477983,8,320,8,320
normal,16,hit-miss,8,avl-c,1,1024,1,39000,5030790690630568545,8,320,8,320
normal,16,hit-miss,8,direct-c,1,1024,1,48000,5030790690630568545,1,376,1,376
normal,16,hit-miss,8,source-c,1,1024,1,84000,5030790690630568545,1,504,1,504
normal,16,hit-miss,8,whitefoot,1,1024,1,56000,5030790690630568545,1,504,1,504
normal,16,hit-miss,8,whitefoot,2,1024,1,56000,14621056810497255299,1,504,1,504
normal,16,hit-miss,8,source-c,2,1024,1,85000,14621056810497255299,1,504,1,504
normal,16,hit-miss,8,direct-c,2,1024,1,48000,14621056810497255299,1,376,1,376
normal,16,hit-miss,8,avl-c,2,1024,1,40000,14621056810497255299,8,320,8,320
normal,16,hit-miss,8,avl-c,3,1024,1,40000,2299884205089144646,8,320,8,320
normal,16,hit-miss,8,direct-c,3,1024,1,48000,2299884205089144646,1,376,1,376
normal,16,hit-miss,8,source-c,3,1024,1,85000,2299884205089144646,1,504,1,504
normal,16,hit-miss,8,whitefoot,3,1024,1,56000,2299884205089144646,1,504,1,504
normal,16,hit-miss,8,whitefoot,4,1024,1,56000,9429020719255536417,1,504,1,504
