bundle	round	compiler	seconds	exit	llvm_sha256	sources_identical
tests/programs/byte_string.wf	3	base	0.211308	0	f48dde50eee7dd05cb364590854a66fe68ab6321559d280aafad24913ee7c7a0	True
tests/programs/byte_string.wf	4	base	0.240628	0	f48dde50eee7dd05cb364590854a66fe68ab6321559d280aafad24913ee7c7a0	True
tests/programs/byte_string.wf	4	candidate	0.221091	0	f48dde50eee7dd05cb364590854a66fe68ab6321559d280aafad24913ee7c7a0	True
tests/programs/completion_read_boundary.wf	0	base	0.051917	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	0	candidate	0.058007	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	1	candidate	0.049567	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	1	base	0.055347	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	2	base	0.056038	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	2	candidate	0.053097	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	3	candidate	0.052085	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	3	base	0.054743	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	4	base	0.063733	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/completion_read_boundary.wf	4	candidate	0.054229	0	595c651378ec57d5d2dfc147192f84c54adea45d8a00a0e887d2bcf2cb6e6809	True
tests/programs/compute/bfs.wf	0	base	0.068718	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	0	candidate	0.069708	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	1	candidate	0.070574	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	1	base	0.083953	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	2	base	0.072794	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	2	candidate	0.071077	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	3	candidate	0.071617	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	3	base	0.107159	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	4	base	0.071210	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/bfs.wf	4	candidate	0.073503	0	7767bde7ef7b6ab17ca65b4341c428f878f82a5c5e7648ea6f71ac24f79d35ca	True
tests/programs/compute/fir.wf	0	base	0.049184	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	0	candidate	0.043954	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	1	candidate	0.045165	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	1	base	0.043984	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	2	base	0.043342	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	2	candidate	0.043332	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	3	candidate	0.044385	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	3	base	0.043682	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	4	base	0.063224	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/fir.wf	4	candidate	0.061313	0	82418cf970335b0492005a856170630a2829f972af05f32844440367fec1e05c	True
tests/programs/compute/histogram.wf	0	base	0.051126	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	0	candidate	0.052425	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	1	candidate	0.053265	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	1	base	0.060822	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	2	base	0.054721	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	2	candidate	0.053721	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	3	candidate	0.054144	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	3	base	0.092522	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	4	base	0.053620	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/histogram.wf	4	candidate	0.055840	0	6d6627787a5ce9ccbdb400af37d63aaf4019a177d15a55e0bcd12a7c2d366f22	True
tests/programs/compute/mandelbrot.wf	0	base	0.035069	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	0	candidate	0.036705	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	1	candidate	0.035327	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	1	base	0.035887	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	2	base	0.038239	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	2	candidate	0.036364	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	3	candidate	0.037289	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
tests/programs/compute/mandelbrot.wf	3	base	0.062364	0	9944fe562517609bd7e205166deb548b33fd930cd57f6fe9c3f79395ccb2728c	True
