canonical_key	item_path	member_name	source_path	primary_contract_id	markers
src/alloc/collections/binary_heap/mod.rs.html#1196|provided_or_inherent_method|reserve_exact	alloc::collections::binary_heap::BinaryHeap	reserve_exact	src/alloc/collections/binary_heap/mod.rs.html#1196	HEAP-RESERVE-01	stable_safe_seed;allocation_cross_cut
src/alloc/collections/binary_heap/mod.rs.html#1061|provided_or_inherent_method|retain	alloc::collections::binary_heap::BinaryHeap	retain	src/alloc/collections/binary_heap/mod.rs.html#1061	HEAP-RETAIN-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1342|provided_or_inherent_method|shrink_to	alloc::collections::binary_heap::BinaryHeap	shrink_to	src/alloc/collections/binary_heap/mod.rs.html#1342	HEAP-RESERVE-01	stable_safe_seed;allocation_cross_cut
src/alloc/collections/binary_heap/mod.rs.html#1319|provided_or_inherent_method|shrink_to_fit	alloc::collections::binary_heap::BinaryHeap	shrink_to_fit	src/alloc/collections/binary_heap/mod.rs.html#1319	HEAP-RESERVE-01	stable_safe_seed;allocation_cross_cut
src/alloc/collections/binary_heap/mod.rs.html#1300|provided_or_inherent_method|try_reserve	alloc::collections::binary_heap::BinaryHeap	try_reserve	src/alloc/collections/binary_heap/mod.rs.html#1300	HEAP-RESERVE-01	stable_safe_seed;allocation_cross_cut;one_hop_helper_return
src/alloc/collections/binary_heap/mod.rs.html#1264|provided_or_inherent_method|try_reserve_exact	alloc::collections::binary_heap::BinaryHeap	try_reserve_exact	src/alloc/collections/binary_heap/mod.rs.html#1264	HEAP-RESERVE-01	stable_safe_seed;allocation_cross_cut;one_hop_helper_return
src/alloc/collections/binary_heap/mod.rs.html#535|provided_or_inherent_method|with_capacity	alloc::collections::binary_heap::BinaryHeap	with_capacity	src/alloc/collections/binary_heap/mod.rs.html#535	HEAP-META-01	stable_safe_seed;allocation_cross_cut
src/alloc/collections/btree/map.rs.html#1236|provided_or_inherent_method|append	alloc::collections::btree_map::BTreeMap	append	src/alloc/collections/btree/map.rs.html#1236	OMAP-BULK-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#670|provided_or_inherent_method|clear	alloc::collections::btree_map::BTreeMap	clear	src/alloc/collections/btree/map.rs.html#670	OMAP-CLEAR-01	stable_safe_seed
src/alloc/collections/btree/map.rs.html#979|provided_or_inherent_method|contains_key	alloc::collections::btree_map::BTreeMap	contains_key	src/alloc/collections/btree/map.rs.html#979	OMAP-LOOKUP-01	stable_safe_seed
